Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,HIGHP,77,NCASH,84,W,0.0,,0.0,
2018,G.WEB,60,NCASH,65,W,0.0,,0.0,
2018,NCASH,84,LIBRT,68,W,0.0,,0.0,
2018,NCASH,58,WINTH,85,L,-5.0,L,157.5,U
2018,CHASO,73,NCASH,83,W,0.0,,0.0,
2018,NCASH,76,PRESB,56,W,0.0,,0.0,
2018,LONGW,80,NCASH,90,W,0.0,,0.0,
2018,NCASH,70,RADFD,90,L,0.0,,0.0,
2018,NCASH,74,HIGHP,84,L,0.0,,0.0,
2018,USCUP,70,NCASH,82,W,0.0,,0.0,
2018,WOFFD,65,NCASH,85,W,0.0,,0.0,
2018,MONMO,51,NCASH,62,W,0.0,,0.0,
2018,NCASH,82,APEAY,79,W,0.0,,0.0,
2018,NCASH,76,VANDY,79,L,0.0,,0.0,
2018,LEESM,60,NCASH,92,W,0.0,,0.0,
2018,NCASH,60,RHODEI,84,L,0.0,,0.0,
2018,CAMBP,79,NCASH,85,W,0.0,,0.0,
2018,NCASH,69,STMAR,95,L,0.0,,0.0,
2018,NCASH,67,NCGRE,60,W,0.0,,0.0,
2018,W.CAR,76,NCASH,72,L,0.0,,0.0,
2018,MILGN,60,NCASH,97,W,0.0,,0.0,
2018,NCASH,72,FURMN,83,L,0.0,,0.0,
2018,NCASH,52,CLEMS,83,L,0.0,,0.0,
2018,NCASH,61,G.WEB,72,L,0.0,,0.0,
2018,WINTH,75,NCASH,89,W,-1.5,W,153.0,O
2018,NCASH,85,CHASO,80,W,0.0,,0.0,
2018,LIBRT,82,NCASH,69,L,0.0,,0.0,
2018,RADFD,64,NCASH,66,W,0.0,,0.0,
2018,LONGW,73,NCASH,78,W,0.0,,0.0,
2018,PRESB,61,NCASH,75,W,0.0,,0.0,
2018,NCASH,64,CAMBP,57,W,0.0,,0.0,
2018,LIBRT,69,NCASH,64,L,-1.5,L,138.0,U
2018,CHASO,66,NCASH,71,W,-4.5,W,143.0,U
