Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,WAYLND,50,UTRGV,86,W,0.0,,0.0,
2018,UTRGV,87,CHIST,81,W,0.0,,0.0,
2018,SEATT,79,UTRGV,76,L,0.0,,0.0,
2018,UTVAL,84,UTRGV,76,L,0.0,,0.0,
2018,UTRGV,71,GRCNYN,84,L,0.0,,0.0,
2018,UTRGV,87,CSBAK,74,W,0.0,,0.0,
2018,UTRGV,73,UMKC,61,W,0.0,,0.0,
2018,OLLU,75,UTRGV,96,W,0.0,,0.0,
2018,UTRGV,60,TEXAM,78,L,0.0,,0.0,
2018,UTRGV,64,SMU,95,L,0.0,,0.0,
2018,GRAMB,82,UTRGV,76,L,0.0,,0.0,
2018,UTRGV,68,GATEC,78,L,0.0,,0.0,
2018,UTRGV,75,N.TEX,63,W,0.0,,0.0,
2018,UTRGV,58,TEXST,75,L,0.0,,0.0,
2018,UTRGV,82,TEXCC,75,W,0.0,,0.0,
2018,BCOOK,74,UTRGV,92,W,0.0,,0.0,
2018,NICHL,111,UTRGV,106,L,0.0,,0.0,
2018,HAMPT,69,UTRGV,80,W,0.0,,0.0,
2018,UTRGV,83,OKST,102,L,0.0,,0.0,
2018,TEXAR,86,UTRGV,65,L,0.0,,0.0,
2018,UCI,59,UTRGV,73,W,0.0,,0.0,
2018,TEXCC,78,UTRGV,82,W,0.0,,0.0,
2018,UTRGV,69,RICE,67,W,0.0,,0.0,
2018,CHIST,75,UTRGV,83,W,0.0,,0.0,
2018,UMKC,83,UTRGV,59,L,0.0,,0.0,
2018,UTRGV,72,UTVAL,84,L,0.0,,0.0,
2018,UTRGV,68,SEATT,85,L,0.0,,0.0,
2018,CSBAK,66,UTRGV,68,W,0.0,,0.0,
2018,GRCNYN,81,UTRGV,83,W,0.0,,0.0,
2018,UTRGV,67,NMXST,90,L,0.0,,0.0,
2018,UTRGV,60,SEATT,77,L,-3.5,L,148.5,U
2018,NMXST,86,UTRGV,71,L,0.0,,0.0,
