Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,UTRGV,84,SEATT,96,L,-8.5,L,149.5,O
2017,UTRGV,81,UTVAL,92,L,0.0,,0.0,
2017,CHIST,77,UTRGV,85,W,0.0,,0.0,
2017,GRCNYN,79,UTRGV,66,L,0.0,,0.0,
2017,CSBAK,88,UTRGV,81,L,0.0,,0.0,
2017,UTRGV,79,UMKC,83,L,-4.5,W,160.5,O
2017,UTRGV,83,CHIST,64,W,0.0,,148.5,U
2016,NMXST,92,TEXPA,68,L,0.0,,0.0,
2016,TEXPA,68,NMXST,92,L,0.0,,0.0,
2016,TEXPA,59,SEATT,70,L,0.0,,0.0,
2016,TEXPA,58,CSBAK,77,L,0.0,,0.0,
2016,UMKC,66,TEXPA,71,W,0.0,,0.0,
2016,CHIST,72,TEXPA,82,W,0.0,,0.0,
2016,TEXPA,65,UTVAL,98,L,0.0,,0.0,
2016,TEXPA,63,GRCNYN,83,L,0.0,,0.0,
2016,OLLU,81,TEXPA,89,W,0.0,,0.0,
2015,TEXPA,48,NMXST,53,L,0.0,,0.0,
2015,GRCNYN,72,TEXPA,73,W,0.0,,0.0,
2015,UTVAL,72,TEXPA,54,L,0.0,,0.0,
2015,TEXPA,53,CSBAK,66,L,0.0,,0.0,
2015,TEXPA,47,SEATT,70,L,0.0,,0.0,
2015,TEXSA,68,TEXPA,43,L,0.0,,0.0,
2017,UTRGV,68,TEXCC,84,L,0.0,,0.0,
2017,STFNY,61,UTRGV,71,W,0.0,,0.0,
2017,GRAMB,93,UTRGV,101,W,0.0,,0.0,
2017,UTRGV,72,SEMIZ,83,L,0.0,,0.0,
2017,UTRGV,67,IOWA,95,L,0.0,,0.0,
2017,TEXCC,94,UTRGV,72,L,0.0,,0.0,
2017,UTRGV,75,MEMPH,94,L,0.0,,0.0,
2017,UTRGV,80,TNMAR,88,L,0.0,,0.0,
2016,TEXPA,65,HOUST,78,L,0.0,,0.0,
2016,SEMIZ,74,TEXPA,83,W,0.0,,0.0,
2016,PORST,79,TEXPA,61,L,0.0,,0.0,
2016,TXAMKG,56,TEXPA,78,W,0.0,,0.0,
2016,TEXPA,84,N.FLA,106,L,0.0,,0.0,
2016,TEXPA,59,MIAMI,86,L,0.0,,0.0,
2015,TEXPA,78,NDAKOT,60,W,-6.0,W,0.0,
2015,ALAST,91,TEXPA,79,L,+3.0,L,0.0,
2015,TEXPA,48,UTAH,85,L,-26.0,L,0.0,
2015,TXAMKG,77,TEXPA,82,W,0.0,,0.0,
2015,TEXPA,63,TEXSA,62,W,0.0,,0.0,
2015,WAYLND,80,TEXPA,88,W,0.0,,0.0,
2014,TEXPA,54,BRAD,74,L,0.0,,0.0,
2017,TXAMKG,78,UTRGV,96,W,0.0,,0.0,
2017,OLLU,81,UTRGV,97,W,0.0,,0.0,
2017,WAYLND,55,UTRGV,86,W,0.0,,0.0,
2017,UTRGV,58,HOUST,83,L,0.0,,0.0,
2017,UTRGV,95,LAMAR,81,W,0.0,,0.0,
2017,N.FLA,84,UTRGV,98,W,0.0,,0.0,
2017,TEXST,61,UTRGV,72,W,0.0,,0.0,
2017,UTRGV,89,PORTL,90,L,0.0,,0.0,
2017,UTRGV,74,PORST,87,L,0.0,,0.0,
2016,TEXPA,64,UTEP,85,L,0.0,,0.0,
2016,TEXPA,84,WINTH,116,L,0.0,,0.0,
2016,ID.ST,76,TEXPA,64,L,+4.5,L,145.0,U
2016,TEXPA,50,ND.ST,68,L,-17.0,L,139.0,U
2016,TEXPA,69,UT.ST,94,L,-20.0,L,140.5,O
2016,TEXPA,47,TOWSN,88,L,0.0,,0.0,
2016,TEXPA,59,TEXST,68,L,0.0,,0.0,
2016,TNMAR,72,TEXPA,64,L,0.0,,0.0,
2016,ANGLO,75,TEXPA,76,W,0.0,,0.0,
2016,TEXPA,60,LAMAR,83,L,0.0,,0.0,
2015,TEXPA,72,DUQU,78,L,0.0,,0.0,
2015,TEXPA,72,NEBOM,77,L,0.0,,0.0,
2015,TEXPA,60,CREIG,75,L,0.0,,0.0,
2015,TEXPA,69,STL,75,L,0.0,,0.0,
2015,LAMAR,60,TEXPA,66,W,0.0,,0.0,
2017,UTVAL,88,UTRGV,68,L,0.0,,0.0,
2017,SEATT,86,UTRGV,77,L,0.0,,0.0,
2017,NMXST,107,UTRGV,101,L,0.0,,0.0,
2017,UTRGV,53,CSBAK,75,L,0.0,,0.0,
2017,UTRGV,57,GRCNYN,76,L,0.0,,0.0,
2017,UMKC,73,UTRGV,60,L,0.0,,0.0,
2016,TEXPA,89,CHIST,79,W,0.0,,0.0,
2016,CSBAK,70,TEXPA,57,L,0.0,,0.0,
2016,SEATT,57,TEXPA,67,W,0.0,,0.0,
2016,TEXPA,58,UMKC,75,L,0.0,,0.0,
2016,GRCNYN,64,TEXPA,58,L,0.0,,0.0,
2016,UTVAL,88,TEXPA,77,L,0.0,,0.0,
2015,TEXPA,49,UTVAL,72,L,0.0,,0.0,
2015,TEXPA,59,GRCNYN,64,L,0.0,,0.0,
2015,SEATT,57,TEXPA,68,W,0.0,,0.0,
2015,CSBAK,66,TEXPA,54,L,0.0,,0.0,
2015,TEXPA,73,CHIST,78,L,0.0,,0.0,
2015,TEXPA,45,UMKC,70,L,0.0,,0.0,
2014,TEXPA,63,CSBAK,61,W,0.0,,0.0,
2014,NMXST,78,TEXPA,61,L,0.0,,0.0,
2014,UMKC,59,TEXPA,68,W,0.0,,0.0,
2014,CHIST,68,TEXPA,71,W,0.0,,0.0,
2014,TEXPA,63,IDAHO,70,L,0.0,,0.0,
2017,UTRGV,78,UMKC,82,L,-7.0,W,163.5,U
2017,UTRGV,81,NMXST,107,L,0.0,,0.0,
2016,TEXPA,52,SEATT,75,L,-6.5,L,131.5,U
2016,NMXST,83,TEXPA,44,L,0.0,,0.0,
2015,TEXPA,61,UMKC,70,L,-6.5,L,124.5,O
2015,UMKC,51,TEXPA,53,W,0.0,,0.0,
2015,NMXST,69,TEXPA,48,L,0.0,,0.0,
2014,TEXPA,63,UTVAL,83,L,-7.0,L,122.0,O
2014,GRCNYN,79,TEXPA,78,L,0.0,,0.0,
2014,TEXPA,42,UTVAL,45,L,0.0,,0.0,
2013,TEXPA,55,CHIST,63,L,0.0,,0.0,
2013,NJIT,59,TEXPA,76,W,0.0,,0.0,
2013,NEWOR,57,TEXPA,71,W,0.0,,0.0,
2012,TEXPA,59,NDAKOT,63,L,0.0,,0.0,
2012,TEXPA,58,HOUBPT,65,L,0.0,,0.0,
2011,TEXPA,70,NDAKOT,71,L,0.0,,0.0,
2011,NDAKOT,72,TEXPA,61,L,0.0,,0.0,
2011,SDKOTA,74,TEXPA,75,W,0.0,,0.0,
2010,TEXPA,71,SDKOTA,76,L,0.0,,0.0,
2010,TEXPA,56,UTVAL,53,W,0.0,,0.0,
2010,TEXPA,71,NDAKOT,68,W,0.0,,0.0,
2010,TEXPA,79,SDKOTA,85,L,0.0,,0.0,
2009,TEXPA,63,NJIT,49,W,0.0,,0.0,
2007,TEXPA,57,UTVAL,66,L,0.0,,0.0,
2006,TEXPA,54,IU-FW,55,L,0.0,,0.0,
2005,TEXPA,61,NMXST,78,L,0.0,,0.0,
2004,TEXPA,70,ARKST,83,L,0.0,,0.0,
2003,TEXPA,71,MORIS,72,L,0.0,,0.0,
