Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 27 2018,TEXSA,82,UAB,70,W,-12.5,W,154.0,U
Jan 25 2018,TEXSA,51,MIDTN,75,L,-13.5,L,146.5,U
Jan 20 2018,UTEP,61,TEXSA,65,W,-5.5,L,152.0,U
Jan 13 2018,FLAAT,73,TEXSA,69,L,-7.0,L,154.0,U
Jan 11 2018,FLAIN,79,TEXSA,76,L,-9.0,L,153.5,O
Jan 6 2018,TEXSA,83,S.MISS,93,L,-1.5,L,151.0,O
Jan 4 2018,TEXSA,78,LATEC,76,W,-8.0,W,155.0,U
Nov 30 2017,OTT-AZ,64,TEXSA,125,W,0.0,,0.0,
Nov 28 2017,TEXSA,96,TULSA,100,L,-9.5,W,152.5,O
Nov 24 2017,TEXCC,58,TEXSA,72,W,0.0,,0.0,
Nov 19 2017,TEXSA,90,JMU,77,W,+1.5,W,143.5,O
Nov 18 2017,BRAD,71,TEXSA,69,L,+7.5,W,140.0,P
Nov 17 2017,COCAR,83,TEXSA,69,L,+3.0,L,144.0,O
Nov 15 2017,TEXSA,79,TEXST,78,W,-5.5,W,130.0,O
Nov 12 2017,ECU,59,TEXSA,92,W,0.0,,0.0,
Dec 30 2017,N.TEX,72,TEXSA,71,L,-5.5,L,152.5,U
Dec 28 2017,RICE,66,TEXSA,79,W,-11.5,W,156.5,U
Dec 20 2017,TEXSA,94,NEBRS,104,L,-9.5,L,155.5,O
Dec 16 2017,BETHKS,67,TEXSA,95,W,0.0,,0.0,
Dec 9 2017,HOUBPT,71,TEXSA,87,W,0.0,,0.0,
Dec 4 2017,TEXSA,85,OKLA,97,L,-23.5,W,168.5,O
Dec 2 2017,TEXSA,80,UTVAL,88,L,0.0,,0.0,
Feb 24 2018,LATEC,64,TEXSA,74,W,-1.0,W,153.0,U
Feb 22 2018,S.MISS,56,TEXSA,64,W,-4.5,W,150.5,U
Feb 17 2018,TEXSA,97,CHARL,89,W,+4.0,W,156.5,O
Feb 15 2018,TEXSA,62,OLDDO,100,L,-12.5,L,142.5,O
Feb 10 2018,TEXSA,63,UTEP,59,W,+1.5,W,148.0,U
Feb 3 2018,W.KEN,63,TEXSA,74,W,+7.0,W,153.5,U
Feb 1 2018,MARSH,77,TEXSA,81,W,+1.5,W,171.0,U
Mar 8 2018,TEXSA,81,MARSH,95,L,-6.5,L,161.5,O
Mar 7 2018,UTEP,58,TEXSA,71,W,-3.5,W,139.0,U
Mar 3 2018,TEXSA,79,RICE,60,W,+1.5,W,149.0,U
Mar 1 2018,TEXSA,62,N.TEX,80,L,-5.0,L,148.0,U
