Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,VANDY,81,KENTY,83,L,-9.0,W,146.0,O
2018,TCU,78,VANDY,81,W,+3.5,W,150.5,O
2018,VANDY,62,TENN,67,L,-11.0,W,141.5,U
2018,LSU,71,VANDY,77,W,-1.5,W,144.0,O
2018,VANDY,62,MISST,80,L,-5.0,L,138.5,O
2018,KENTY,74,VANDY,67,L,+2.0,L,145.5,U
2018,TENN,92,VANDY,84,L,+1.5,L,140.5,O
2018,VANDY,60,S.CAR,71,L,-3.5,L,136.0,U
2018,ALA,75,VANDY,76,W,-2.5,L,145.5,O
2018,RADFD,62,VANDY,74,W,-15.0,L,136.5,U
2018,VANDY,59,SETON,72,L,-6.5,L,140.5,U
2018,VIRGA,68,VANDY,42,L,+6.0,L,125.5,U
2018,USC,93,VANDY,89,L,+3.5,L,144.5,O
2018,NCASH,76,VANDY,79,W,0.0,,0.0,
2018,VANDY,60,BELMT,69,L,+3.5,L,149.0,U
2018,APEAY,54,VANDY,73,W,-25.5,L,148.5,U
2018,VANDY,74,FLA,81,L,-9.5,W,142.0,O
2018,ALCRN,51,VANDY,92,W,0.0,,0.0,
2018,HOUBPT,48,VANDY,81,W,0.0,,0.0,
2018,VANDY,64,ARZST,76,L,-12.0,P,155.0,U
2018,MIDTN,66,VANDY,63,L,-3.0,L,139.0,U
2018,KANST,84,VANDY,79,L,-1.5,L,137.5,O
2018,MIZZU,74,VANDY,66,L,-2.0,L,143.0,U
2018,TEXAM,89,VANDY,81,L,+1.5,L,143.5,O
2018,VANDY,78,LSU,88,L,-4.0,L,145.5,O
2018,FLA,68,VANDY,71,W,+3.0,W,143.0,U
2018,MISST,80,VANDY,81,W,-2.5,L,141.5,O
2018,VANDY,54,ARK,72,L,-6.5,L,151.5,U
2018,GA,66,VANDY,81,W,-4.0,W,132.5,O
2018,VANDY,81,AUBRN,93,L,-11.5,L,153.5,O
2018,VANDY,62,GA,78,L,-2.5,L,130.5,O
2018,VANDY,82,MISS,69,W,-3.0,W,151.0,P
