Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 31 2018,VATEC,85,BC,80,W,+1.0,W,154.0,O
Jan 27 2018,VATEC,80,ND,75,W,-3.0,W,143.5,O
Jan 22 2018,UNC,69,VATEC,80,W,+3.5,W,164.0,U
Jan 20 2018,FLAST,91,VATEC,82,L,-1.5,L,161.5,O
Jan 13 2018,VATEC,86,LOUIS,94,L,-5.0,L,148.0,O
Jan 10 2018,VATEC,83,WAKE,75,W,-2.5,W,157.0,O
Jan 6 2018,PITT,67,VATEC,81,W,-16.5,L,144.5,O
Jan 3 2018,VIRGA,78,VATEC,52,L,+3.5,L,133.5,U
Nov 28 2017,IOWA,55,VATEC,79,W,-8.5,W,165.0,U
Nov 25 2017,MORHD,63,VATEC,96,W,-21.5,W,158.5,O
Nov 21 2017,HOUBPT,73,VATEC,99,W,0.0,,0.0,
Nov 17 2017,VATEC,103,WASH,79,W,+7.5,W,155.5,O
Nov 16 2017,VATEC,71,STL,77,L,+13.0,L,144.0,O
Nov 12 2017,CITDL,93,VATEC,132,W,-26.0,W,187.5,O
Nov 10 2017,DETRT,79,VATEC,111,W,-18.5,W,159.0,O
Dec 31 2017,VATEC,56,SYRA,68,L,-3.0,L,143.5,U
Dec 28 2017,NCA&T,59,VATEC,76,W,0.0,,0.0,
Dec 19 2017,PRESB,55,VATEC,63,W,0.0,,0.0,
Dec 16 2017,VATEC,86,KENTY,93,L,-6.0,L,157.0,O
Dec 10 2017,MD-ES,40,VATEC,93,W,0.0,,0.0,
Dec 6 2017,RADFD,68,VATEC,95,W,-20.5,W,0.0,
Dec 2 2017,VATEC,83,MISS,80,W,+2.0,W,165.0,U
Feb 26 2018,DUKE,63,VATEC,64,W,+5.0,W,154.5,U
Feb 24 2018,LOUIS,75,VATEC,68,L,-4.0,L,151.5,U
Feb 21 2018,CLEMS,58,VATEC,65,W,-4.0,W,141.5,U
Feb 17 2018,VATEC,76,GATEC,56,W,+4.0,W,139.5,U
Feb 14 2018,VATEC,52,DUKE,74,L,-10.5,L,163.0,U
Feb 10 2018,VATEC,61,VIRGA,60,W,-12.0,W,128.0,U
Feb 7 2018,NCST,75,VATEC,85,W,-6.0,W,161.0,U
Feb 3 2018,MIAMI,84,VATEC,75,L,-5.0,L,149.0,O
Mar 7 2018,ND,71,VATEC,65,L,+2.5,L,141.5,U
Mar 3 2018,VATEC,68,MIAMI,69,L,-3.5,W,143.5,U
