Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2018,FLAST,72,WAKE,76,W,+4.5,W,155.5,U
2018,WAKE,77,LOUIS,96,L,-9.0,L,145.0,O
2018,DUKE,84,WAKE,70,L,+10.0,L,158.5,U
2018,VIRGA,59,WAKE,49,L,+7.5,L,128.0,U
2018,WAKE,63,NCST,72,L,-4.5,L,157.5,U
2018,WAKE,71,DUKE,89,L,-17.5,L,163.5,U
2018,VATEC,83,WAKE,75,L,-2.5,L,157.0,O
2018,WAKE,71,BC,77,L,-3.5,L,150.5,U
2018,SYRA,67,WAKE,73,W,-1.5,W,136.5,O
2018,ILL,73,WAKE,80,W,-2.5,W,157.5,U
2018,NCGRE,75,WAKE,81,W,-6.0,P,148.5,O
2018,HOUST,78,WAKE,73,L,+1.5,L,153.0,U
2018,QUINN,55,WAKE,72,W,-15.5,W,155.0,U
2018,DRAKE,77,WAKE,74,L,-9.5,L,158.5,U
2018,LIBRT,79,WAKE,66,L,0.0,,0.0,
2018,GASOU,85,WAKE,83,L,-10.5,L,162.5,O
2018,WAKE,69,UNC,73,L,-14.0,W,161.5,U
2018,TENN,79,WAKE,60,L,-1.5,L,148.0,U
2018,WAKE,84,COCAR,80,W,+5.0,L,149.5,O
2018,ARMY,80,WAKE,109,W,0.0,,0.0,
2018,WAKE,80,CHARL,57,W,+7.5,W,154.0,U
2018,RICHM,53,WAKE,82,W,-9.0,W,146.0,U
2018,ND,76,WAKE,71,L,0.0,L,146.5,O
2018,WAKE,63,PITT,57,W,+9.5,L,141.5,U
2018,NCST,90,WAKE,84,L,-2.5,L,157.5,O
2018,GATEC,62,WAKE,79,W,-5.5,W,138.0,O
2018,WAKE,70,SYRA,78,L,-7.5,L,134.0,O
2018,WAKE,81,MIAMI,87,L,-8.5,W,144.5,O
2018,CLEMS,75,WAKE,67,L,+2.5,L,141.5,O
2018,WAKE,64,SYRA,73,L,-3.5,L,135.0,O
2018,WAKE,56,GATEC,64,L,-2.5,L,138.0,U
