Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,WAKE,85,BC,80,W,+6.5,L,157.5,O
2017,DUKE,85,WAKE,83,L,+6.5,W,164.5,O
2017,WAKE,76,SYRA,81,L,-4.0,L,154.5,O
2017,WAKE,93,NCST,88,W,-1.0,W,166.5,O
2017,MIAMI,79,WAKE,96,W,+1.5,W,142.0,O
2017,UNC,93,WAKE,87,L,+8.5,W,164.5,O
2017,WAKE,62,VIRGA,79,L,-12.0,L,131.5,O
2017,BC,66,WAKE,79,W,-15.0,L,154.5,U
2016,WAKE,62,ND,85,L,-10.0,L,157.0,U
2016,VIRGA,72,WAKE,71,L,+7.5,W,140.5,O
2016,WAKE,63,MIAMI,77,L,-14.0,P,148.5,U
2016,WAKE,68,UNC,83,L,-19.0,W,166.5,U
2016,SYRA,83,WAKE,55,L,-2.0,L,145.0,U
2016,WAKE,91,VATEC,93,L,-1.0,L,151.0,O
2016,NCST,74,WAKE,77,W,-3.0,P,147.5,O
2016,DUKE,91,WAKE,75,L,+7.5,L,158.0,O
2016,WAKE,57,LOUIS,65,L,-15.0,W,149.0,U
2015,VATEC,70,WAKE,73,W,-8.0,L,136.5,O
2015,WAKE,76,FLAST,82,L,-4.5,L,140.0,O
2015,WAKE,57,CLEMS,59,L,-5.0,W,127.0,U
2015,UNC,87,WAKE,71,L,+8.0,L,147.0,O
2017,WAKE,58,NWEST,65,L,-5.0,L,151.5,U
2017,COCAR,74,WAKE,86,W,-16.0,L,151.5,O
2017,WAKE,78,COLCH,61,W,+4.0,W,136.0,O
2017,VILLA,96,WAKE,77,L,+12.5,L,155.5,O
2017,WAKE,103,UTEP,81,W,+10.0,W,158.0,O
2017,BUCKN,74,WAKE,94,W,-11.5,W,153.5,O
2017,RADFD,59,WAKE,80,W,-14.5,W,146.5,U
2016,WAKE,69,RUTGR,68,W,+6.0,L,155.0,U
2016,WAKE,80,UCLA,77,W,-5.5,W,158.0,U
2016,VANDY,86,WAKE,64,L,+11.0,L,156.5,U
2016,WAKE,82,INDY,78,W,-13.0,W,168.0,U
2016,RICHM,91,WAKE,82,L,-1.5,L,147.0,O
2016,WAKE,90,BUCKN,82,W,-4.0,W,152.0,O
2016,UMBC,73,WAKE,78,W,0.0,,0.0,
2015,DELST,72,WAKE,65,L,0.0,,0.0,
2015,MTSTM,49,WAKE,83,W,0.0,,0.0,
2015,NICHL,48,WAKE,75,W,0.0,,0.0,
2015,IONA,85,WAKE,81,L,-3.5,L,0.0,
2015,WAKE,53,ARK,83,L,-13.5,L,156.5,U
2015,WAKE,71,TULAN,49,W,+2.5,W,0.0,
2015,NCASH,69,WAKE,80,W,0.0,,0.0,
2014,WAKE,63,TENN,82,L,-4.0,L,146.5,U
2014,USC,63,WAKE,77,W,-4.5,W,150.0,U
2017,CLEMS,73,WAKE,68,L,+1.0,L,151.0,U
2017,WAKE,72,FLAST,88,L,-7.5,L,163.0,U
2017,LSU,76,WAKE,110,W,-10.5,W,157.5,O
2017,WAKE,65,XAVIR,69,L,-9.5,W,153.5,U
2017,WAKE,78,NCGRE,75,W,+8.5,L,150.5,O
2017,CHARL,74,WAKE,91,W,-14.0,W,165.0,P
2017,WAKE,75,RICHM,67,W,+2.0,W,154.0,U
2016,WAKE,77,LSU,71,W,-7.0,W,163.0,U
2016,XAVIR,78,WAKE,70,L,+7.0,L,153.5,U
2016,COCAR,77,WAKE,83,W,0.0,,0.0,
2016,NCGRE,71,WAKE,81,W,-15.0,L,149.0,O
2016,ARK,85,WAKE,88,W,-4.5,L,165.5,O
2015,PRNCE,66,WAKE,80,W,-4.5,W,0.0,
2015,WAKE,65,RICHM,63,W,-6.5,W,123.5,O
2015,BUCKN,53,WAKE,60,W,0.0,,0.0,
2015,WAKE,50,FLA,63,L,-14.0,W,124.5,U
2015,SAMFD,68,WAKE,86,W,-18.0,P,0.0,
2015,WAKE,65,NCST,78,L,-9.5,L,135.5,O
2015,MINN,84,WAKE,69,L,+4.5,L,137.5,O
2014,WAKE,53,XAVIR,68,L,-8.5,L,137.0,U
2014,NCGRE,51,WAKE,59,W,-17.5,L,151.0,U
2014,STBON,62,WAKE,77,W,-5.5,W,146.0,U
2014,RICHM,66,WAKE,76,W,-1.5,W,135.0,O
2014,TULAN,57,WAKE,72,W,-16.5,L,149.0,U
2017,PITT,59,WAKE,63,W,-7.5,L,157.0,U
2017,WAKE,94,DUKE,99,L,-11.5,W,159.5,O
2017,WAKE,83,CLEMS,95,L,-4.0,L,154.5,O
2017,NCST,58,WAKE,88,W,-7.5,W,167.5,U
2017,WAKE,81,ND,88,L,-5.5,L,157.5,O
2017,GATEC,69,WAKE,81,W,-9.5,W,146.5,O
2016,VATEC,81,WAKE,74,L,-4.0,L,151.5,O
2016,ND,69,WAKE,58,L,+8.0,L,154.0,U
2016,BC,48,WAKE,74,W,-9.0,W,137.5,U
2016,WAKE,96,PITT,101,L,-12.0,W,151.5,O
2016,WAKE,88,NCST,99,L,-8.0,L,151.0,O
2016,WAKE,66,GATEC,71,L,-8.5,W,152.5,U
2016,FLAST,91,WAKE,71,L,+3.0,L,156.5,O
2016,CLEMS,76,WAKE,62,L,+2.0,L,139.5,U
2015,VIRGA,70,WAKE,34,L,+7.0,L,121.5,U
2015,WAKE,75,ND,88,L,-12.0,L,145.5,O
2015,WAKE,60,VIRGA,61,L,-18.0,W,117.5,O
2015,MIAMI,70,WAKE,72,W,+2.5,W,135.0,O
2015,WAKE,59,GATEC,73,L,-5.5,L,134.0,U
2015,NCST,84,WAKE,88,W,+1.0,W,142.5,O
2014,CLEMS,57,WAKE,62,W,+3.0,W,122.5,U
2014,WAKE,72,UNC,105,L,-14.0,L,146.5,O
2014,WAKE,60,MARYL,71,L,-9.5,L,142.5,U
