Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,WASH,66,ARIZ,77,L,-16.5,W,154.0,U
2017,WASH,75,ARZST,86,L,-4.0,L,171.5,U
2017,UTAH,94,WASH,72,L,+2.5,L,156.5,O
2017,COLO,83,WASH,85,W,-2.5,L,154.0,O
2017,WASH,69,STANF,76,L,-5.0,L,154.0,U
2017,WASH,59,CAL,69,L,-11.5,W,151.0,U
2017,OREST,61,WASH,87,W,-10.5,W,143.0,O
2017,OREG,83,WASH,61,L,+11.0,L,158.5,U
2017,WASST,79,WASH,74,L,-12.0,L,163.0,U
2016,WASH,88,USC,98,L,-8.5,L,171.5,O
2016,WASH,86,UCLA,84,W,-5.0,W,168.0,O
2016,UTAH,80,WASH,75,L,+4.5,L,158.0,U
2016,COLO,83,WASH,95,W,-1.5,W,164.5,O
2016,WASH,89,ARZST,85,W,-6.5,W,158.5,O
2016,WASH,67,ARIZ,99,L,-14.0,L,162.0,O
2016,WASH,99,WASST,95,W,-1.0,W,160.5,O
2016,USC,85,WASH,87,W,+1.0,W,163.5,O
2016,UCLA,93,WASH,96,W,+1.5,W,160.0,O
2015,STANF,84,WASH,74,L,+2.0,L,140.0,O
2015,WASH,56,UTAH,77,L,-13.5,L,127.5,O
2015,WASH,52,COLO,50,W,-1.5,W,130.0,U
2015,OREG,77,WASH,85,W,-5.5,W,142.5,O
2015,OREST,43,WASH,56,W,-7.0,W,123.5,U
2015,WASST,80,WASH,77,L,-11.5,L,137.5,O
2017,WASH,71,TCU,86,L,-8.0,L,159.0,U
2017,WASH,80,TCU,93,L,-1.5,L,155.5,O
2017,W.KEN,47,WASH,86,W,-7.0,W,163.5,U
2017,LONGB,88,WASH,94,W,-11.5,L,168.0,O
2017,NARIZ,58,WASH,92,W,-19.0,W,158.5,U
2017,FULLR,88,WASH,104,W,-15.0,W,163.5,O
2017,YALE,98,WASH,90,L,-14.5,L,153.0,O
2016,WASH,71,CHARL,66,W,+13.5,L,163.0,U
2016,TEXAS,82,WASH,70,L,+3.5,L,154.5,U
2016,GONZG,80,WASH,64,L,+9.5,L,169.0,U
2016,PENN,67,WASH,104,W,-15.0,W,155.5,O
2016,MTSTM,67,WASH,100,W,0.0,,0.0,
2016,WASH,77,TEXAS,71,W,-11.0,W,151.0,U
2015,WASH,68,UTEP,65,W,-3.5,W,133.5,U
2015,WASH,80,LONGB,70,W,-1.0,W,140.0,O
2015,SJ.ST,56,WASH,78,W,-11.5,W,133.0,O
2015,PACIF,69,WASH,76,W,-13.0,L,134.5,O
2015,WASH,63,SEATT,48,W,0.0,,0.0,
2015,SC.ST,59,WASH,77,W,-23.0,L,147.5,U
2014,LONGB,89,WASH,92,W,-9.0,L,152.5,O
2014,MONTA,79,WASH,83,W,-7.5,L,153.0,O
2014,BC,89,WASH,78,L,+3.5,L,159.5,O
2014,INDY,102,WASH,84,L,+9.0,L,170.0,O
2017,WASH,94,SEATT,72,W,0.0,,160.5,O
2017,CALPO,61,WASH,77,W,-14.0,W,157.0,U
2017,WMICH,86,WASH,92,W,-12.5,L,165.5,O
2017,NEV,87,WASH,85,L,-4.5,L,162.0,O
2017,WASH,71,GONZG,98,L,-14.5,L,162.0,O
2016,SABAR,83,WASH,78,L,-9.5,L,154.0,O
2016,SEATT,68,WASH,79,W,0.0,,0.0,
2016,OAKLN,97,WASH,83,L,-11.5,L,172.5,O
2016,MONTA,62,WASH,92,W,-9.0,W,145.5,O
2016,TCU,67,WASH,92,W,-6.5,W,150.5,O
2016,FULLR,69,WASH,87,W,-11.0,W,158.0,U
2015,STONY,62,WASH,57,L,-14.0,L,132.0,U
2015,TULAN,57,WASH,66,W,-14.0,L,134.5,U
2015,WASH,69,OKLA,67,W,-6.0,W,145.0,U
2015,GRAMB,38,WASH,86,W,-36.0,W,125.5,U
2015,EWASH,77,WASH,81,W,-7.5,L,146.0,O
2015,SD.ST,36,WASH,49,W,+2.0,W,125.5,U
2014,HARTF,67,WASH,73,W,-11.0,L,147.0,U
2014,MSVAL,80,WASH,95,W,-22.5,L,164.5,O
2014,UCONN,82,WASH,70,L,+5.5,L,146.0,O
2014,WASH,73,TULAN,62,W,+7.5,W,152.5,U
2014,ID.ST,66,WASH,85,W,-11.0,W,148.5,O
2017,WASH,71,WASST,79,L,-3.5,L,153.5,U
2017,ARIZ,76,WASH,68,L,+9.0,W,150.5,U
2017,ARZST,83,WASH,81,L,-1.0,L,166.0,U
2017,WASH,61,UTAH,85,L,-15.0,L,152.0,U
