Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 29 2017,WISGB,92,DETRT,93,L,+5.0,L,167.0,O
Jan 27 2017,WISGB,80,OAKLN,72,W,-7.5,W,161.0,U
Jan 23 2017,CLEST,73,WISGB,83,W,-6.5,W,147.0,O
Jan 20 2017,YOUNG,92,WISGB,89,L,-10.5,L,166.0,O
Jan 16 2017,WISGB,56,VALPO,80,L,-9.0,L,152.5,U
Jan 12 2017,WRIGH,61,WISGB,78,W,-5.5,W,154.5,U
Jan 10 2017,N.KENT,71,WISGB,80,W,-4.0,W,159.0,U
Jan 6 2017,WISML,74,WISGB,80,W,-9.5,L,143.5,O
Jan 29 2016,WISGB,94,WISML,95,L,-4.5,W,164.5,O
Jan 25 2016,DETRT,108,WISGB,115,W,-5.5,W,181.0,O
Jan 23 2016,OAKLN,111,WISGB,95,L,-2.5,L,183.5,O
Jan 19 2016,WISGB,99,CHIST,66,W,0.0,,0.0,
Jan 16 2016,WISGB,70,VALPO,85,L,-13.5,L,149.0,O
Jan 14 2016,WISGB,78,ILCHI,76,W,+13.0,L,159.0,U
Jan 9 2016,WISGB,93,YOUNG,103,L,+7.5,L,168.0,O
Jan 7 2016,WISGB,87,CLEST,67,W,+3.0,W,149.0,O
Jan 4 2016,WRIGH,68,WISGB,76,W,-7.0,W,149.0,U
Jan 2 2016,N.KENT,70,WISGB,86,W,-12.5,W,160.0,U
Jan 31 2015,WISGB,62,CLEST,76,L,+1.0,L,121.0,O
Jan 23 2015,VALPO,50,WISGB,51,W,-6.0,L,128.0,U
Nov 30 2016,WISGB,61,KANST,80,L,-14.5,L,145.0,U
Nov 26 2016,CMICH,89,WISGB,77,L,-4.5,L,174.5,U
Nov 21 2016,UMKC,77,WISGB,95,W,-2.0,W,159.0,O
Nov 20 2016,WISGB,77,BOWLG,61,W,-3.5,W,157.5,U
Nov 19 2016,WISGB,77,MURRAY,93,L,-1.5,L,158.0,O
Nov 15 2016,WISGB,58,PACIF,76,L,+1.0,L,167.5,U
Nov 12 2016,NLAND,49,WISGB,84,W,0.0,,0.0,
Nov 30 2015,WISGB,87,SIUED,69,W,+4.5,W,159.0,U
Nov 28 2015,WISGB,81,E.ILL,72,W,+7.5,W,149.5,O
Nov 24 2015,AKRON,63,WISGB,66,W,+5.0,W,157.5,U
Nov 22 2015,MNDLTH,74,WISGB,94,W,0.0,,0.0,
Nov 19 2015,WISGB,77,GATEC,107,L,-12.5,L,159.5,O
Nov 17 2015,WISGB,90,E.TEN,103,L,-1.5,L,146.5,O
Nov 13 2015,WISGB,89,STANF,93,L,-7.5,W,144.5,O
Nov 26 2014,WISGB,59,FLAGC,45,W,+3.0,W,0.0,
Nov 25 2014,WISGB,64,EVANS,62,W,+3.5,L,0.0,
Nov 24 2014,WISGB,66,E.CAR,49,W,+8.5,W,0.0,
Nov 19 2014,WISGB,60,WISCN,84,L,-15.5,L,139.5,O
Nov 15 2014,ILSPR,57,WISGB,88,W,0.0,,0.0,
Nov 30 2013,TULSA,59,WISGB,67,W,-5.5,W,148.5,U
Nov 29 2013,WISGB,64,HARVD,76,L,-4.0,L,144.0,U
Nov 28 2013,PEPPR,89,WISGB,97,W,-10.5,L,145.0,O
Nov 23 2013,MNDLTH,57,WISGB,92,W,0.0,,0.0,
Nov 16 2013,WISCN,69,WISGB,66,L,+4.5,W,133.5,O
Nov 9 2013,NMICH,49,WISGB,71,W,0.0,,0.0,
Dec 31 2016,WISGB,90,YOUNG,77,W,+5.0,W,168.0,U
Dec 29 2016,WISGB,76,CLEST,75,W,-1.5,W,149.0,O
Dec 22 2016,STMYMN,59,WISGB,108,W,0.0,,0.0,
Dec 19 2016,SIUED,92,WISGB,94,W,-14.0,L,152.0,O
Dec 14 2016,WISGB,59,WISCN,73,L,-22.5,W,146.0,U
Dec 6 2016,WISGB,97,CMICH,107,L,-5.5,L,172.0,O
Dec 3 2016,WISGB,78,TOLDO,77,W,-5.5,W,164.5,U
Dec 28 2015,WISGB,78,MORHD,72,W,-5.0,W,147.5,O
