Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,WISML,70,OAKLN,79,L,-12.0,W,141.0,O
2017,WISML,73,DETRT,69,W,-2.5,W,150.5,U
2017,YOUNG,85,WISML,94,W,-3.5,W,146.5,O
2017,CLEST,62,WISML,63,W,-1.0,P,128.5,U
2017,WISML,57,ILCHI,71,L,-4.5,L,136.5,U
2017,WRIGH,70,WISML,67,L,0.0,L,132.5,O
2017,N.KENT,58,WISML,68,W,+4.0,W,135.0,U
2017,WISML,74,WISGB,80,L,-9.5,W,143.5,O
2016,WISGB,94,WISML,95,W,-4.5,L,164.5,O
2016,OAKLN,82,WISML,79,L,-3.5,L,163.0,U
2016,DETRT,80,WISML,83,W,-6.5,L,159.5,O
2016,WISML,87,ILCHI,62,W,+11.5,W,138.0,O
2016,WISML,56,VALPO,68,L,-12.5,W,132.5,U
2016,WISML,65,CLEST,62,W,+5.0,L,134.0,U
2016,WISML,81,YOUNG,65,W,+6.5,W,155.0,U
2016,N.KENT,67,WISML,76,W,-11.0,L,144.5,U
2016,WRIGH,84,WISML,82,L,-7.5,L,132.0,O
2015,DETRT,74,WISML,78,W,-1.0,W,135.0,O
2015,ILCHI,65,WISML,71,W,-7.5,L,132.5,O
2015,WISML,48,VALPO,73,L,-12.5,L,127.5,U
2017,JAXVL,67,WISML,72,W,0.0,,0.0,
2017,WISML,58,SD.ST,81,L,-5.5,L,133.5,O
2017,WISML,54,UCI,37,W,-10.5,W,127.0,U
2017,E.TEN,86,WISML,62,L,+13.5,L,139.0,O
2017,WISML,59,DPAUL,77,L,-9.0,L,135.0,O
2017,WISML,54,MEMPH,68,L,-17.0,W,155.0,U
2017,MSOE,58,WISML,88,W,0.0,,0.0,
2016,WISML,84,CMICH,78,W,-1.0,W,148.5,O
2016,WISML,92,DUQU,96,L,0.0,L,154.5,O
2016,MURRAY,66,WISML,63,L,0.0,L,145.0,U
2016,TRNINL,61,WISML,85,W,0.0,,0.0,
2016,WISML,78,ND,86,L,-16.0,W,148.5,O
2016,WISML,71,SACLA,65,W,+3.5,W,132.5,O
2016,WISML,71,LIPSC,65,W,+7.0,L,146.0,U
2016,DENVR,58,WISML,71,W,-5.0,W,130.0,U
2015,CNCSTP,59,WISML,64,W,0.0,,0.0,
2015,ORALR,69,WISML,66,L,-1.0,L,0.0,
2015,ULLAF,52,WISML,56,W,+3.0,W,0.0,
2015,WISML,68,OKST,82,L,-17.5,W,0.0,
2015,IUPUI,70,WISML,68,L,-12.5,L,0.0,
2015,MNCROO,54,WISML,75,W,0.0,,0.0,
2015,WISML,73,AUBRN,83,L,-10.5,W,150.0,O
2014,WISML,84,UMKC,79,W,0.0,,0.0,
2017,WISML,53,CLEST,62,L,-5.5,L,130.5,U
2017,WISML,87,YOUNG,88,L,-3.5,W,148.5,O
2017,BELMT,62,WISML,56,L,+8.0,W,142.0,U
2017,W.ILL,75,WISML,59,L,-5.5,L,129.0,O
2017,WISML,69,OHIO,71,L,-16.5,W,140.5,U
2017,WISML,56,LOYCH,72,L,-11.5,L,127.5,O
2017,WISML,83,MONST,78,W,-8.0,W,144.0,O
2017,WISML,69,MONTA,75,L,-8.0,W,130.0,O
2016,WISML,74,MINN,65,W,-4.5,W,143.0,U
2016,SDKOTA,92,WISML,91,L,-9.0,L,150.0,O
2016,JUDSON,74,WISML,125,W,0.0,,0.0,
2016,WISML,68,WISCN,67,W,-13.0,W,134.0,O
2016,SIUED,51,WISML,64,W,-16.0,L,146.0,U
2015,WISML,60,SDKOTA,84,L,-3.5,L,0.0,
2015,WISML,54,ARK,84,L,-18.0,L,140.0,U
2015,WISML,56,SIUED,61,L,+1.0,L,0.0,
2015,MONTA,58,WISML,73,W,-3.0,W,0.0,
2015,WISCN,93,WISML,54,L,+19.0,L,124.5,O
2015,WISML,61,DPAUL,83,L,-7.0,L,142.0,O
2015,UMKC,56,WISML,65,W,0.0,,0.0,
2014,WISML,67,ALAST,54,W,+9.0,W,143.0,U
2014,WISML,59,NEAST,62,L,-2.5,L,138.5,U
2017,OAKLN,86,WISML,75,L,+9.0,L,143.0,O
2017,DETRT,81,WISML,74,L,-3.5,L,150.5,O
2017,WISML,61,VALPO,67,L,-13.5,W,135.0,U
2017,WISGB,80,WISML,56,L,+3.0,L,146.0,U
2017,WISML,63,N.KENT,69,L,-9.0,W,137.5,U
2017,WISML,65,WRIGH,76,L,-8.0,L,139.0,O
2017,ILCHI,105,WISML,100,L,-2.0,L,139.0,O
2017,VALPO,71,WISML,53,L,+8.5,L,133.5,U
2016,ILCHI,85,WISML,98,W,-17.0,L,141.5,O
2016,VALPO,80,WISML,76,L,+5.0,W,135.5,O
2016,YOUNG,51,WISML,87,W,-16.5,W,157.0,U
2016,CLEST,54,WISML,88,W,-11.5,W,129.5,O
2016,WISML,68,WISGB,70,L,-2.0,P,169.5,U
2016,WISML,66,DETRT,80,L,+1.5,L,165.5,U
2016,WISML,93,OAKLN,85,W,-6.5,W,162.0,O
2016,WISML,71,N.KENT,75,L,+5.0,L,145.0,O
2016,WISML,83,WRIGH,84,L,-2.0,W,135.5,O
2015,WISML,82,YOUNG,74,W,+2.5,W,142.5,O
2015,WISML,61,WRIGH,58,W,-3.0,W,127.5,U
2015,CLEST,60,WISML,66,W,+4.0,W,126.5,U
2015,WISML,71,ILCHI,60,W,-1.0,W,135.0,U
2015,VALPO,62,WISML,55,L,+6.0,L,134.5,U
2015,OAKLN,67,WISML,84,W,+2.5,W,145.5,O
2015,WISML,70,WISGB,81,L,-13.5,W,130.0,O
2017,WISML,53,N.KENT,59,L,-5.5,L,133.5,U
2017,WISML,74,ILCHI,68,W,-2.0,W,138.0,O
2017,WISML,43,VALPO,41,W,-9.0,W,136.5,U
2017,WISML,85,DETRT,60,W,+1.0,W,147.5,U
2016,WISML,61,WISGB,70,L,+3.0,L,158.0,U
2016,N.KENT,69,WISML,86,W,-9.5,W,144.5,O
2014,WISML,53,VILLA,73,L,-16.5,L,138.0,U
2014,WISML,69,WRIGH,63,W,-6.5,W,126.0,O
2014,WISML,73,WISGB,66,W,-11.5,W,138.0,O
2014,WISML,74,VALPO,57,W,-4.5,W,137.0,U
2014,DETRT,73,WISML,83,W,-3.0,W,140.0,O
2013,WISML,46,WISGB,62,L,-13.5,L,129.5,U
2012,WISML,73,TCU,83,L,-3.0,L,140.0,O
2012,BUTLR,71,WISML,49,L,+2.5,L,121.0,U
2011,WISML,61,NWEST,70,L,-9.5,W,141.0,U
2011,BUTLR,59,WISML,44,L,+3.5,L,134.0,U
2011,VALPO,63,WISML,70,W,-1.0,W,139.0,U
2010,WISML,59,BUTLR,68,L,-14.5,W,131.0,U
2010,CLEST,75,WISML,82,W,+1.5,W,132.5,O
2010,ILCHI,67,WISML,73,W,-11.5,L,138.5,O
2009,WISML,70,WRIGH,80,L,-3.0,L,122.5,O
2009,LOYCH,68,WISML,77,W,-7.5,W,129.5,O
2008,LOYCH,57,WISML,51,L,-4.5,L,124.5,U
2008,ILCHI,63,WISML,55,L,-2.5,L,138.0,U
2006,WISML,60,FLA,82,L,-7.5,L,144.5,U
2006,WISML,82,OKLA,74,W,-3.5,W,136.0,O
2006,BUTLR,71,WISML,87,W,-5.5,W,126.0,O
2006,LOYCH,66,WISML,80,W,-9.5,W,123.0,O
