Date,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
Jan 30 2018,XAVIR,73,STJON,68,W,+4.0,W,149.0,U
Jan 24 2018,MARQ,70,XAVIR,89,W,-7.0,W,164.0,U
Jan 20 2018,XAVIR,73,SETON,64,W,-3.0,W,157.5,U
Jan 17 2018,STJON,82,XAVIR,88,W,-11.5,L,155.5,O
Jan 13 2018,CREIG,70,XAVIR,92,W,-3.5,W,167.0,U
Jan 10 2018,XAVIR,65,VILLA,89,L,-9.5,L,165.0,U
Jan 6 2018,XAVIR,72,PROV,81,L,+5.5,L,156.0,U
Jan 2 2018,BUTLR,79,XAVIR,86,W,-6.5,W,155.5,O
Nov 28 2017,BAYLR,63,XAVIR,76,W,-4.5,W,146.0,U
Nov 24 2017,XAVIR,86,ARZST,102,L,+6.5,L,166.0,O
Nov 23 2017,GWASH,64,XAVIR,83,W,-18.0,W,149.0,U
Nov 20 2017,HAMPT,60,XAVIR,96,W,-31.5,W,151.0,O
Nov 16 2017,XAVIR,80,WISCN,70,W,-3.5,W,145.0,O
Nov 13 2017,RIDER,75,XAVIR,101,W,-24.0,W,154.0,O
Nov 10 2017,MORHD,49,XAVIR,101,W,-27.5,W,148.5,O
Dec 30 2017,DPAUL,72,XAVIR,77,W,-14.0,L,155.0,U
Dec 27 2017,XAVIR,91,MARQ,87,W,+3.0,W,162.0,O
Dec 22 2017,XAVIR,77,NIOWA,67,W,+6.0,W,138.5,O
Dec 19 2017,MARSH,77,XAVIR,81,W,-19.5,L,175.5,U
Dec 16 2017,E.TEN,66,XAVIR,68,W,-21.0,L,156.5,U
Dec 9 2017,COLO,69,XAVIR,96,W,-16.5,W,156.0,O
Dec 6 2017,KENT,70,XAVIR,96,W,-23.5,W,156.0,O
Dec 2 2017,CINCY,76,XAVIR,89,W,-2.5,W,147.0,O
Feb 28 2018,PROV,74,XAVIR,84,W,-10.5,L,153.5,O
Feb 21 2018,XAVIR,89,GTOWN,77,W,+5.5,W,159.5,O
Feb 17 2018,VILLA,95,XAVIR,79,L,+1.0,L,164.5,O
Feb 14 2018,SETON,90,XAVIR,102,W,-6.5,W,159.0,O
Feb 10 2018,XAVIR,72,CREIG,71,W,-2.5,W,162.0,U
Feb 6 2018,XAVIR,98,BUTLR,93,W,-4.5,W,154.5,O
Feb 3 2018,GTOWN,91,XAVIR,96,W,-14.0,L,155.5,O
Mar 9 2018,PROV,75,XAVIR,72,L,-7.0,L,147.0,P
Mar 8 2018,XAVIR,88,STJON,60,W,+6.5,W,152.5,U
Mar 3 2018,XAVIR,65,DPAUL,62,W,+7.5,L,157.5,U
