Year,Away,Score,Home,Score,Result,Home Spread,ATS,Total,OU
2017,BROWN,75,YALE,85,W,-9.5,W,153.0,O
2017,YALE,75,BROWN,74,W,+6.0,L,151.0,U
2017,YALE,58,PRNCE,66,L,-6.5,L,140.0,U
2017,YALE,68,PENN,60,W,+1.0,W,137.0,U
2017,MITCH,46,YALE,102,W,0.0,,0.0,
2017,HARTF,72,YALE,88,W,-17.5,L,143.5,O
2016,PRNCE,75,YALE,79,W,-4.0,P,137.5,O
2016,PENN,58,YALE,81,W,-13.5,W,132.0,O
2016,YALE,90,BROWN,66,W,+8.5,W,141.5,O
2016,BROWN,68,YALE,77,W,-15.0,L,139.5,O
2016,DWEB,53,YALE,94,W,0.0,,0.0,
2016,NJIT,65,YALE,83,W,0.0,,0.0,
2016,YALE,88,HARTF,53,W,0.0,,0.0,
2015,YALE,65,CORNL,57,W,+3.5,W,124.5,U
2015,YALE,63,COLUM,59,W,+1.0,W,116.5,O
2015,BROWN,65,YALE,69,W,-10.0,L,132.0,O
2015,YALE,80,BROWN,62,W,+4.5,W,133.5,O
2015,DWEB,47,YALE,102,W,0.0,,0.0,
2015,YALE,71,NJIT,78,L,0.0,,0.0,
2015,YALE,74,VANDY,79,L,-6.0,W,0.0,
2014,COLUM,59,YALE,69,W,-2.5,W,127.5,O
2014,YALE,56,BROWN,73,L,-1.0,L,140.5,U
2014,BROWN,67,YALE,74,W,-6.0,W,140.5,O
2014,BARUCH,49,YALE,88,W,0.0,,0.0,
2014,VERMT,67,YALE,59,L,0.0,,0.0,
2017,YALE,70,BRYANT,79,L,0.0,,0.0,
2017,YALE,65,VERMT,67,L,0.0,,0.0,
2017,YALE,70,PITT,75,L,-12.0,W,145.5,U
2017,YALE,38,VIRGA,62,L,-18.0,L,130.0,U
2017,LEHIH,81,YALE,89,W,0.0,,0.0,
2017,YALE,98,WASH,90,W,-14.5,W,153.0,O
2016,YALE,54,ALBNY,88,L,0.0,,0.0,
2016,YALE,61,DUKE,80,L,-14.5,L,149.0,U
2016,YALE,69,SMU,71,L,-13.5,W,139.5,O
2016,YALE,79,LEHIH,67,W,0.0,,0.0,
2016,SACRD,77,YALE,99,W,0.0,,0.0,
2016,FAIRF,57,YALE,70,W,-6.5,W,126.0,O
2015,HARTF,57,YALE,69,W,0.0,,0.0,
2015,YALE,66,PROV,72,L,-6.0,P,128.0,O
2015,LAFAY,60,YALE,82,W,0.0,,0.0,
2015,YALE,66,KENT,59,W,-2.0,W,0.0,
2015,YALE,53,S.ILL,46,W,+3.5,W,0.0,
2015,YALE,70,ILCHI,58,W,+8.5,W,0.0,
2015,NEWBR,51,YALE,97,W,0.0,,0.0,
2015,YALE,85,QUINN,88,L,-1.5,L,0.0,
2014,YALE,54,HARTF,49,W,0.0,,0.0,
2017,YALE,77,TEMPL,83,L,-5.5,L,135.0,O
2017,CCONN,59,YALE,90,W,0.0,,0.0,
2017,DELA,63,YALE,81,W,-10.0,W,129.0,O
2017,YALE,66,SACRD,52,W,0.0,,0.0,
2017,ALBNY,55,YALE,59,W,0.0,,0.0,
2016,YALE,62,CCONN,42,W,0.0,,0.0,
2016,YALE,56,USC,68,L,-6.5,L,145.5,U
2016,YALE,65,ILL,69,L,-4.0,P,140.5,U
2016,VERMT,54,YALE,72,W,0.0,,0.0,
2016,BRYANT,40,YALE,79,W,0.0,,0.0,
2015,YALE,70,SACRD,64,W,0.0,,0.0,
2015,ALBNY,64,YALE,60,L,0.0,,0.0,
2015,YALE,57,VERMT,56,W,0.0,,0.0,
2015,YALE,47,FLA,85,L,-10.0,L,117.0,O
2015,YALE,45,UCONN,44,W,-8.5,W,0.0,
2015,YALE,67,BRYANT,60,W,0.0,,0.0,
2014,YALE,62,ALBNY,70,L,0.0,,0.0,
2014,YALE,74,PROV,76,L,-10.0,W,130.5,O
2014,NH,61,YALE,71,W,0.0,,0.0,
2014,BRYANT,72,YALE,64,L,0.0,,0.0,
2013,YALE,62,STMAR,78,L,-21.5,W,135.5,O
2013,YALE,75,NEV,85,L,-11.5,W,134.5,O
2013,ALBMAG,63,YALE,112,W,0.0,,0.0,
2013,YALE,56,NH,64,L,0.0,,0.0,
2017,YALE,99,DART,86,W,+5.5,W,138.0,O
2017,YALE,64,HARVD,77,L,-5.0,L,140.5,O
2017,PENN,71,YALE,55,L,-4.0,L,136.5,U
2017,PRNCE,71,YALE,52,L,+3.0,L,133.5,U
2017,HARVD,75,YALE,67,L,-4.5,L,136.5,O
2017,DART,64,YALE,73,W,-15.0,L,139.0,U
2017,YALE,78,CORNL,71,W,+6.5,W,145.0,O
2017,YALE,87,COLUM,78,W,+3.5,W,144.0,O
2016,DART,71,YALE,76,W,-15.0,L,135.0,O
2016,HARVD,50,YALE,59,W,-11.5,L,132.0,U
2016,YALE,79,PENN,58,W,+9.0,W,136.5,O
2016,YALE,63,PRNCE,75,L,-3.0,L,140.5,U
2016,YALE,67,HARVD,55,W,+7.0,W,130.0,U
2016,YALE,75,DART,65,W,+9.5,W,134.0,O
2016,CORNL,52,YALE,83,W,-13.5,W,143.0,U
2016,COLUM,72,YALE,86,W,-7.5,W,138.0,O
2015,PENN,50,YALE,55,W,-14.5,L,127.5,U
2015,PRNCE,60,YALE,81,W,-7.0,W,131.0,O
2015,COLUM,56,YALE,50,L,-7.5,L,124.0,U
2015,CORNL,51,YALE,62,W,-10.5,W,124.5,U
2015,YALE,81,PRNCE,73,W,+2.5,W,132.5,O
2015,YALE,75,PENN,48,W,+7.5,W,125.5,U
2017,YALE,59,PRNCE,71,L,-7.0,L,129.0,O
2017,YALE,73,HARVD,71,W,-3.0,W,140.0,O
2017,COLUM,71,YALE,75,W,-7.0,L,145.0,O
2017,CORNL,63,YALE,90,W,-10.0,W,147.0,O
2016,YALE,64,DUKE,71,L,-6.5,L,148.5,U
2016,YALE,79,BAYLR,75,W,-5.5,W,136.5,O
2016,YALE,71,COLUM,55,W,+1.0,W,139.0,U
2016,YALE,88,CORNL,64,W,+13.5,W,143.0,O
2015,YALE,51,HARVD,53,L,-2.5,W,117.0,U
2015,YALE,58,DART,59,L,+3.5,L,122.5,U
2015,YALE,62,HARVD,52,W,-5.0,W,121.5,U
2014,YALE,72,COLUM,69,W,-5.0,W,127.0,O
2014,YALE,71,HOLYC,66,W,-4.5,W,126.0,O
2014,QUINN,68,YALE,69,W,-4.0,L,145.0,U
2014,DART,69,YALE,61,L,-9.5,L,129.5,O
2014,HARVD,70,YALE,58,L,+6.5,L,126.0,O
2014,YALE,70,PENN,63,W,+3.0,W,134.0,U
2013,PENN,65,YALE,79,W,-7.5,W,131.0,O
2013,PRNCE,66,YALE,71,W,+3.5,W,124.5,O
2013,YALE,79,CORNL,70,W,+1.5,W,138.0,O
2013,YALE,46,COLUM,59,L,-4.5,L,127.5,U
2012,YALE,56,FAIRF,68,L,-8.5,L,127.0,U
2012,YALE,47,PENN,68,L,-5.0,L,127.5,U
2012,YALE,57,PRNCE,64,L,-6.0,L,130.0,U
2011,YALE,55,CORNL,68,L,-5.0,L,137.5,U
2011,YALE,87,COLUM,81,W,-2.5,W,135.0,O
2010,CORNL,79,YALE,59,L,+11.0,L,139.0,U
2014,YALE,57,MURRAY,65,L,-8.0,P,138.5,U
2014,YALE,75,VMI,62,W,-1.5,W,163.5,U
