Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1102,1355,+6.5,104.3,109.5,110.2,111.4,1
1102,1424,-4.0,104.3,109.5,98.3,105.3,0
1102,1305,-11.5,104.3,109.5,114.6,101.3,0
1102,1363,-4.5,104.3,109.5,100.4,104.5,0
1102,1201,+1.5,104.3,109.5,104.6,98.2,1
1102,1161,-7.0,104.3,109.5,108.5,100.9,0
1102,1363,-3.0,99.1,106.0,97.2,104.7,0
1102,1307,-15.5,99.1,106.0,108.3,103.2,0
1102,1201,+6.0,99.1,106.0,107.4,100.8,0
1102,1161,+3.5,99.1,106.0,112.3,110.2,0
1102,1424,-16.0,99.1,106.0,103.4,98.3,0
1102,1429,-9.0,99.1,106.0,111.2,108.0,0
1102,1305,-2.5,99.1,106.0,102.4,98.5,0
1102,1461,-5.0,99.1,106.0,108.3,108.5,0
1102,1363,-9.5,99.1,106.0,97.2,104.7,1
1102,1424,-10.0,108.1,111.2,107.9,101.7,0
1102,1363,-8.5,108.1,111.2,86.5,111.0,1
1102,1129,+5.5,108.1,111.2,111.9,98.1,0
1102,1355,+9.5,108.1,111.2,108.8,102.0,0
1102,1429,-6.5,108.1,111.2,107.5,103.2,0
1102,1307,-11.0,108.1,111.2,101.6,98.7,0
1102,1161,+4.5,108.1,111.2,111.6,101.6,0
1102,1363,-13.5,108.1,111.2,86.5,111.0,1
1102,1305,-1.5,108.1,111.2,97.8,106.4,0
1102,1187,-2.0,104.3,109.5,97.0,98.5,0
1102,1103,+7.0,104.3,109.5,112.6,106.4,0
1102,1160,-15.0,99.1,106.0,108.8,95.9,0
1102,1399,-8.5,99.1,106.0,108.5,111.6,1
1102,1356,-5.5,99.1,106.0,107.2,104.4,0
1102,1403,-10.0,108.1,111.2,102.3,101.3,0
1102,1160,-15.0,108.1,111.2,107.5,100.5,0
1102,1154,-9.5,108.1,111.2,103.2,121.8,1
1102,1119,-5.0,108.1,111.2,100.2,107.8,0
1102,1160,+13.5,99.6,106.6,107.7,96.5,0
1102,1350,+9.0,99.6,106.6,105.3,97.3,0
1102,1429,-2.0,104.3,109.5,106.9,104.5,1
1102,1461,-8.5,104.3,109.5,104.8,102.0,0
1102,1413,-7.0,104.3,109.5,97.8,102.2,1
1102,1160,+8.5,104.3,109.5,112.6,102.3,0
1102,1176,-5.5,104.3,109.5,107.7,109.2,0
1102,1283,+3.5,104.3,109.5,108.3,106.0,1
1102,1413,-4.0,99.1,106.0,93.9,100.5,1
1102,1326,-14.0,99.1,106.0,107.0,97.0,0
1102,1176,-5.0,99.1,106.0,102.9,105.9,1
1102,1154,-15.5,99.1,106.0,103.1,117.6,1
1102,1355,-14.0,108.1,111.2,108.8,102.0,0
1102,1240,-11.0,108.1,111.2,95.2,108.4,1
1102,1413,-7.0,108.1,111.2,112.3,106.2,0
1102,1303,-6.0,108.1,111.2,102.9,110.5,1
1102,1413,-1.0,99.6,106.6,101.3,116.4,0
1102,1415,-7.0,99.6,106.6,98.7,107.7,1
1102,1429,-7.0,104.3,109.5,106.9,104.5,0
1102,1424,-3.5,104.3,109.5,98.3,105.3,1
1102,1363,-4.5,104.3,109.5,100.4,104.5,0
1102,1305,+5.5,104.3,109.5,114.6,101.3,0
1102,1129,-10.0,104.3,109.5,109.2,102.2,0
1102,1307,+1.5,104.3,109.5,106.5,103.1,0
1102,1461,-1.5,104.3,109.5,104.8,102.0,0
1102,1201,-9.5,104.3,109.5,104.6,98.2,0
1102,1201,-11.0,99.1,106.0,107.4,100.8,0
1102,1307,+8.0,99.1,106.0,108.3,103.2,1
1102,1424,+8.0,99.1,106.0,103.4,98.3,1
1102,1355,-17.5,99.1,106.0,111.4,101.8,0
1102,1305,-11.0,99.1,106.0,102.4,98.5,0
1102,1129,+11.5,99.1,106.0,109.5,100.9,1
1102,1461,+4.5,99.1,106.0,108.3,108.5,1
1102,1429,-1.5,108.1,111.2,107.5,103.2,0
1102,1305,-6.5,108.1,111.2,97.8,106.4,1
1102,1161,-12.5,108.1,111.2,111.6,101.6,0
1102,1424,-1.5,108.1,111.2,107.9,101.7,1
1102,1129,-9.5,108.1,111.2,111.9,98.1,0
1102,1461,-1.0,108.1,111.2,104.8,99.1,1
1102,1161,-7.5,104.3,109.5,108.5,100.9,0
1102,1461,-4.5,104.3,109.5,104.8,102.0,1
1102,1129,+4.5,104.3,109.5,109.2,102.2,0
1102,1355,-13.0,104.3,109.5,110.2,111.4,0
1102,1424,-10.5,99.1,106.0,103.4,98.3,0
1102,1161,-10.0,99.1,106.0,112.3,110.2,0
1102,1429,+4.5,99.1,106.0,111.2,108.0,0
1102,1129,-11.0,108.1,111.2,111.9,98.1,0
1102,1307,-3.0,108.1,111.2,101.6,98.7,1
1102,1201,-6.5,108.1,111.2,102.8,105.7,0
1102,1201,-6.0,99.6,106.6,110.2,105.2,0
1102,1129,+7.5,99.6,106.6,114.6,104.1,1
1102,1307,-17.0,99.6,106.6,113.5,96.3,0
1102,1424,+5.0,99.6,106.6,108.2,99.0,0
1102,1451,-9.0,111.7,104.9,109.1,98.4,0
1102,1218,-3.0,111.7,104.9,102.8,106.6,1
1102,1424,-10.5,111.7,104.9,106.0,90.0,0
1102,1307,+4.0,111.7,104.9,109.9,90.9,1
1102,1355,-14.0,111.7,104.9,112.0,105.2,0
1102,1201,-2.0,111.7,104.9,100.0,94.5,0
1102,1307,-14.5,100.0,102.2,110.8,91.4,0
1102,1161,+2.5,100.0,102.2,111.9,103.7,0
1102,1365,-5.5,107.2,103.8,107.9,103.3,0
1102,1315,-14.5,107.2,103.8,92.7,105.5,1
1102,1424,-12.5,107.2,103.8,110.6,92.9,0
1102,1307,-13.0,107.2,103.8,111.9,97.2,0
1102,1395,-6.5,107.2,103.8,102.4,102.9,1
1102,1307,-17.5,96.8,105.5,113.6,97.4,0
