Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-16.5,118.4,95.1,107.7,107.4,1
-22.0,118.4,95.1,104.4,106.1,1
-5.5,118.4,95.1,124.0,100.4,1
-3.5,118.4,95.1,114.2,100.7,1
-16.5,118.4,95.1,111.9,109.1,1
-11.0,118.4,95.1,112.6,102.3,1
-10.0,118.4,95.1,113.5,99.3,1
-6.5,118.4,95.1,104.8,98.9,1
-11.0,116.8,95.8,110.7,99.1,1
-7.5,116.8,95.8,119.1,96.4,0
-2.5,116.8,95.8,112.5,94.2,0
-6.0,116.8,95.8,108.0,100.5,1
-18.0,116.8,95.8,103.7,105.9,1
-14.0,116.8,95.8,110.4,99.2,1
-3.5,116.8,95.8,113.9,99.7,0
-3.0,116.8,95.8,112.6,101.9,0
-3.5,116.8,95.8,109.6,101.2,1
-19.0,119.9,87.5,100.0,94.1,1
-15.0,119.9,87.5,115.2,101.3,1
-12.0,119.9,87.5,104.2,99.0,1
-3.5,119.9,87.5,113.6,98.9,1
-17.0,118.4,95.1,103.5,107.5,1
+1.0,118.4,95.1,117.7,97.0,0
-13.5,118.4,95.1,105.5,102.7,1
-33.0,118.4,95.1,96.6,106.9,1
-28.5,118.4,95.1,97.6,109.7,1
-17.5,118.4,95.1,100.9,93.7,1
-1.0,118.4,95.1,111.4,95.9,1
-5.5,116.8,95.8,109.5,100.9,1
-6.0,116.8,95.8,110.0,95.5,0
-23.5,116.8,95.8,101.8,108.9,1
-29.0,116.8,95.8,101.6,118.2,1
-12.5,116.8,95.8,109.5,100.9,1
-28.0,116.8,95.8,86.6,102.6,1
-23.0,116.8,95.8,100.6,106.3,1
-5.0,119.9,87.5,108.8,102.0,1
-9.0,119.9,87.5,106.6,98.4,1
-14.5,119.9,87.5,102.0,104.1,1
-15.5,119.9,87.5,106.3,99.2,1
-26.5,119.9,87.5,106.0,102.4,1
-28.5,119.9,87.5,98.5,103.4,1
-3.0,116.5,86.4,124.7,100.4,1
-12.5,116.5,86.4,105.2,101.8,1
-22.5,116.5,86.4,104.4,99.3,1
-2.5,118.4,95.1,104.9,92.7,1
-11.0,118.4,95.1,106.5,103.1,1
-3.5,118.4,95.1,108.7,97.3,1
-16.5,118.4,95.1,101.6,100.6,1
-7.0,118.4,95.1,101.5,100.9,1
-15.0,118.4,95.1,101.8,100.0,1
+4.5,118.4,95.1,118.4,86.3,0
-17.0,116.8,95.8,108.5,101.9,1
-11.5,116.8,95.8,103.4,98.3,1
-27.5,116.8,95.8,92.5,113.1,1
-16.5,116.8,95.8,104.7,104.5,1
-12.5,116.8,95.8,107.4,100.8,1
-7.0,116.8,95.8,116.3,95.5,1
-12.5,119.9,87.5,107.9,101.7,0
-5.5,119.9,87.5,106.2,99.6,1
-26.0,119.9,87.5,111.4,111.3,1
-10.5,119.9,87.5,110.0,100.5,1
-27.5,119.9,87.5,92.9,109.0,1
-4.5,119.9,87.5,121.7,93.9,1
-23.5,119.9,87.5,107.6,111.4,1
-29.0,116.5,86.4,100.4,108.1,1
-2.5,116.5,86.4,123.9,100.5,1
-2.5,118.4,95.1,124.0,100.4,0
-9.0,118.4,95.1,114.2,100.7,1
-9.0,118.4,95.1,107.7,107.4,1
-14.0,118.4,95.1,104.4,106.1,1
-7.0,118.4,95.1,104.9,92.7,1
-13.5,118.4,95.1,104.8,98.9,1
-3.5,118.4,95.1,118.2,93.2,0
-15.5,118.4,95.1,97.0,105.8,1
-3.5,116.8,95.8,115.6,98.8,0
-5.5,116.8,95.8,108.8,95.9,0
-12.5,116.8,95.8,109.6,101.2,1
-9.5,116.8,95.8,113.9,99.7,1
-12.0,116.8,95.8,112.6,101.9,1
-4.5,116.8,95.8,110.4,99.2,1
-10.0,116.8,95.8,103.7,105.9,1
-2.5,119.9,87.5,116.4,89.2,1
-9.0,119.9,87.5,107.5,100.5,1
-14.0,119.9,87.5,112.9,98.2,1
-24.0,119.9,87.5,101.6,100.1,1
-16.0,119.9,87.5,109.1,110.8,1
-11.5,119.9,87.5,108.8,103.8,1
-8.0,119.9,87.5,109.8,98.7,0
-12.5,116.5,86.4,111.7,99.7,1
-4.0,116.5,86.4,107.7,96.5,1
-7.5,118.4,95.1,115.7,99.0,0
-4.5,118.4,95.1,100.9,93.7,1
-18.0,118.4,95.1,103.6,103.5,1
-1.5,118.4,95.1,118.2,93.2,1
+2.5,118.4,95.1,124.0,100.4,1
-8.0,118.4,95.1,112.6,102.3,1
-8.5,118.4,95.1,111.9,109.1,1
-1.0,116.8,95.8,119.1,96.4,0
-7.5,116.8,95.8,108.8,95.9,1
-13.5,116.8,95.8,108.0,100.5,1
-7.0,116.8,95.8,112.5,94.2,1
-1.5,119.9,87.5,129.0,95.2,0
-11.5,119.9,87.5,116.6,97.1,1
-10.0,119.9,87.5,115.6,94.8,1
-23.5,119.9,87.5,104.1,107.9,1
-12.5,119.9,87.5,115.2,101.3,1
-11.0,119.9,87.5,112.9,98.2,1
-18.5,119.9,87.5,104.2,99.0,1
-14.5,119.9,87.5,113.6,98.9,1
-19.0,119.9,87.5,104.2,99.0,1
-3.5,116.5,86.4,122.0,96.1,0
-7.5,116.5,86.4,107.0,104.2,1
-7.5,116.5,86.4,114.0,93.8,1
-20.0,116.5,86.4,106.4,107.0,1
-4.0,NaN,NaN,NaN,NaN,0
