Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-11.0,109.1,100.5,103.0,103.4,1
-3.5,109.1,100.5,105.5,102.7,0
-8.5,109.1,100.5,99.5,106.5,1
-17.0,109.1,100.5,102.0,114.2,1
-10.5,109.1,100.5,100.0,108.4,0
-12.5,109.1,100.5,102.8,98.0,1
-15.5,109.1,100.5,99.5,106.5,1
-10.5,109.1,100.5,100.9,93.7,0
-11.5,113.1,99.2,106.1,103.0,1
-15.5,113.1,99.2,103.7,108.9,1
-3.0,113.1,99.2,106.1,103.0,0
-9.0,113.1,99.2,103.7,108.9,1
-9.5,113.1,99.2,107.1,111.1,0
-7.5,113.1,99.2,116.3,95.5,1
-17.5,113.1,99.2,107.4,111.1,1
-16.5,113.1,99.2,101.8,108.9,1
-9.0,113.1,99.2,100.6,106.3,1
-13.5,119.4,102.7,105.9,108.0,1
-13.0,119.4,102.7,105.7,103.5,1
-4.0,119.4,102.7,104.0,98.0,0
-2.5,119.4,102.7,106.0,102.4,0
-9.0,119.4,102.7,103.1,109.5,1
-9.5,109.1,100.5,106.9,104.5,1
-6.5,109.1,100.5,106.3,100.5,0
-16.0,109.1,100.5,95.4,105.0,1
-18.0,109.1,100.5,101.8,105.4,1
-3.5,109.1,100.5,109.0,96.4,1
-6.0,113.1,99.2,114.0,110.5,1
-4.0,113.1,99.2,108.5,101.9,0
-14.5,119.4,102.7,106.3,102.8,1
-1.5,119.4,102.7,110.9,97.0,0
-16.5,119.4,102.7,NaN,NaN,1
-3.0,119.4,102.7,108.8,102.0,0
-16.0,119.4,102.7,NaN,NaN,1
-13.5,119.4,102.7,104.0,100.9,1
-2.0,114.5,100.7,109.8,105.3,1
-4.5,114.5,100.7,117.8,92.4,0
-7.0,114.5,100.7,111.8,97.3,1
-7.5,114.5,100.7,118.9,97.8,0
-6.0,109.1,100.5,103.0,103.4,1
-12.5,109.1,100.5,105.5,102.7,1
-24.0,109.1,100.5,97.9,115.8,1
-1.0,109.1,100.5,107.2,95.8,0
-4.5,109.1,100.5,112.6,102.3,1
-13.0,109.1,100.5,108.5,109.0,1
-6.0,109.1,100.5,114.2,100.7,0
-6.5,113.1,99.2,109.2,96.0,0
-3.5,113.1,99.2,109.6,98.5,1
-2.0,113.1,99.2,108.3,103.2,1
-7.5,113.1,99.2,100.3,101.0,0
-13.0,113.1,99.2,110.5,110.0,1
-5.0,113.1,99.2,108.8,95.9,0
-8.0,113.1,99.2,111.2,108.0,1
-5.0,113.1,99.2,103.4,100.9,1
-10.0,113.1,99.2,115.6,98.8,0
-11.0,119.4,102.7,109.0,105.8,1
+5.5,119.4,102.7,121.7,93.9,0
-10.0,119.4,102.7,106.5,102.3,1
-4.0,119.4,102.7,113.6,98.9,1
-10.5,119.4,102.7,99.9,108.3,1
-20.5,109.1,100.5,118.4,86.3,1
-11.5,109.1,100.5,98.7,108.9,1
+4.5,109.1,100.5,100.9,93.7,0
-16.0,109.1,100.5,100.0,108.4,1
-2.5,109.1,100.5,102.8,98.0,1
-9.0,109.1,100.5,102.0,114.2,0
-18.5,109.1,100.5,98.7,108.9,1
+10.0,109.1,100.5,118.4,86.3,0
-3.0,113.1,99.2,116.3,95.5,0
-18.0,113.1,99.2,107.1,111.1,1
-18.0,113.1,99.2,93.9,103.7,1
-11.5,113.1,99.2,93.9,103.7,1
-10.0,113.1,99.2,101.8,108.9,1
-8.0,113.1,99.2,107.4,111.1,1
-17.0,113.1,99.2,100.6,106.3,0
-1.0,113.1,99.2,109.2,96.0,1
-13.5,119.4,102.7,121.7,93.9,1
-2.5,119.4,102.7,109.0,105.8,1
-11.0,119.4,102.7,104.0,98.0,1
-16.0,119.4,102.7,103.1,109.5,1
-5.5,119.4,102.7,106.0,102.4,1
-8.0,119.4,102.7,103.0,111.6,1
-5.5,109.1,100.5,110.6,100.8,0
-8.0,109.1,100.5,100.9,93.7,0
-8.0,109.1,100.5,103.0,103.4,1
-2.5,113.1,99.2,107.5,92.0,0
-4.0,113.1,99.2,113.4,97.6,1
-8.0,113.1,99.2,110.6,98.9,1
-9.5,113.1,99.2,109.3,104.2,1
-4.0,113.1,99.2,116.3,95.5,0
-15.5,113.1,99.2,101.8,108.9,1
-3.0,119.4,102.7,114.5,100.6,0
-8.0,119.4,102.7,121.7,93.9,0
-9.5,119.4,102.7,109.0,105.8,1
-12.5,119.4,102.7,105.9,108.0,1
-5.0,114.5,100.7,118.9,99.9,0
-5.0,114.5,100.7,114.0,93.8,0
-5.5,114.5,100.7,112.5,104.3,1
-12.0,114.5,100.7,105.7,106.6,1
-4.5,114.5,100.7,105.4,102.5,1
-5.5,110.2,97.2,110.4,98.2,1
-8.5,110.2,97.2,104.0,100.1,1
-6.0,110.2,97.2,107.7,98.5,1
-11.5,110.2,97.2,102.8,103.0,0
-8.5,110.2,97.2,98.4,101.9,1
-5.5,106.3,93.5,111.5,91.3,0
-1.5,106.3,93.5,115.5,103.2,1
-2.5,106.3,93.5,113.1,94.7,0
-14.0,106.3,93.5,102.0,106.3,1
-3.5,110.2,97.2,114.3,96.4,0
