Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-5.5,111.2,95.0,115.1,100.7,0
-5.0,111.2,95.0,112.2,97.4,0
-8.0,111.2,95.0,120.9,97.7,0
-4.5,111.2,95.0,112.1,98.6,1
-2.5,111.2,95.0,110.1,103.6,0
-9.5,111.2,95.0,119.1,97.4,0
-3.0,111.2,95.0,109.4,93.9,1
+1.5,111.2,95.0,120.6,101.7,0
-4.5,111.2,95.0,120.7,99.0,0
-1.5,111.2,95.0,116.4,99.2,1
-1.5,111.2,95.0,110.0,99.4,1
-7.5,111.2,95.0,114.0,92.1,0
-19.0,111.2,95.0,105.3,112.9,1
+3.0,111.2,95.0,121.9,101.8,0
-4.0,111.2,95.0,115.1,100.7,1
-5.5,111.2,95.0,120.6,101.7,0
+1.0,111.2,95.0,119.1,97.4,0
+1.0,111.2,95.0,114.0,92.1,1
-3.0,111.2,95.0,109.4,93.9,1
+2.5,111.2,95.0,120.9,97.7,1
-2.0,111.2,95.0,112.1,98.6,1
-9.0,111.2,95.0,110.1,103.6,1
-5.5,111.2,95.0,119.1,97.4,0
-2.5,111.2,95.0,112.2,97.4,0
