Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1130,1448,+6.5,103.9,104.2,120.9,104.7,0
1130,1439,-13.0,103.9,104.2,117.3,103.5,0
1130,,-15.5,103.9,104.2,100.9,93.7,0
1130,1314,+19.0,103.9,104.2,120.7,92.5,0
1130,1438,+14.0,103.9,104.2,112.2,88.0,0
1130,1393,-12.0,103.9,104.2,115.7,102.3,0
1130,1301,+5.5,103.9,104.2,112.6,107.6,1
1130,1181,-26.0,103.9,104.2,121.0,96.8,0
1130,1448,-15.0,103.9,104.2,120.9,104.7,0
1130,1393,+10.0,103.9,104.2,115.7,102.3,1
1130,1314,-26.5,95.3,100.8,124.4,94.6,0
1130,1199,+10.0,95.3,100.8,113.1,98.9,0
1130,1323,-19.0,95.3,100.8,120.6,104.0,0
1130,,+15.0,95.3,100.8,109.2,96.0,0
1130,1338,-19.5,95.3,100.8,114.9,98.3,0
1130,1393,-11.0,95.3,100.8,112.7,94.1,0
1130,1323,+9.5,95.3,100.8,120.6,104.0,0
1130,1181,+14.5,95.3,100.8,121.9,100.0,0
1130,1155,-5.5,107.9,102.3,104.5,96.7,0
1130,1257,+10.0,107.9,102.3,110.2,88.9,0
1130,1210,-4.5,107.9,102.3,103.7,96.0,1
1130,1393,-8.5,107.9,102.3,107.0,94.2,0
1130,1350,-6.0,103.9,104.2,110.0,102.8,0
1130,1243,+13.5,103.9,104.2,113.0,95.6,0
1130,1406,+3.0,103.9,104.2,105.5,101.2,1
1130,1271,-11.5,103.9,104.2,NaN,NaN,1
1130,1365,-6.0,95.3,100.8,101.8,108.9,0
1130,1414,+5.5,95.3,100.8,106.0,96.9,0
1130,1277,-12.5,95.3,100.8,123.4,95.5,0
1130,1217,-4.5,95.3,100.8,100.3,101.0,1
1130,1173,-5.5,107.9,102.3,109.2,95.0,0
1130,1452,-9.0,107.9,102.3,112.6,94.9,0
1130,1307,+5.0,107.9,102.3,101.6,98.7,1
1130,1269,+5.0,107.9,102.3,106.5,102.3,0
1130,1449,-3.5,114.3,111.8,111.8,105.0,1
1130,1163,+9.5,114.3,111.8,113.6,91.5,0
1130,1194,-17.0,114.3,111.8,101.1,107.5,1
1130,1405,-8.5,114.3,111.8,115.0,109.1,0
1130,1344,+10.0,103.9,104.2,108.5,96.0,1
1130,1193,+1.5,103.9,104.2,99.8,103.1,0
1130,1357,-9.5,103.9,104.2,97.6,109.7,1
1130,1120,+10.0,103.9,104.2,111.9,103.3,1
1130,1217,+1.5,103.9,104.2,106.7,101.9,0
1130,1171,-8.0,103.9,104.2,99.2,112.1,1
1130,1200,+3.5,95.3,100.8,102.3,102.4,1
1130,1174,-5.5,95.3,100.8,101.5,111.7,1
1130,1344,-14.5,95.3,100.8,110.0,95.5,0
1130,1336,-1.0,95.3,100.8,103.4,100.8,0
1130,1425,-7.5,107.9,102.3,101.6,100.1,0
1130,1344,+2.5,107.9,102.3,112.6,95.9,1
1130,1265,-14.5,107.9,102.3,94.6,107.4,1
