Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-9.5,104.1,114.0,106.2,105.2,0
+6.0,104.1,114.0,106.2,105.2,0
-9.5,104.1,114.0,102.6,102.8,1
-15.5,104.1,114.0,109.0,96.4,0
-6.5,104.1,114.0,98.7,109.2,0
-1.5,102.4,111.6,100.1,107.7,1
+9.5,102.4,111.6,112.3,101.7,0
+8.5,102.4,111.6,110.4,96.0,0
-15.0,102.4,111.6,110.4,96.0,0
-7.0,99.4,107.8,107.5,107.4,0
-4.5,99.4,107.8,96.9,99.7,0
-10.0,99.4,107.8,107.3,98.6,0
+4.5,99.4,107.8,107.3,98.6,0
-12.5,101.1,100.5,100.4,120.9,1
-1.0,101.1,100.5,102.8,101.5,1
-6.0,101.1,100.5,102.8,101.5,0
-3.0,101.1,100.5,104.4,99.3,0
-6.5,95.8,101.7,102.7,105.7,0
+5.5,104.1,114.0,107.5,104.9,0
-2.0,104.1,114.0,100.7,114.3,0
-24.5,104.1,114.0,111.5,95.2,0
-5.5,104.1,114.0,101.4,109.3,1
-23.5,104.1,114.0,114.9,92.8,0
-22.0,102.4,111.6,119.3,97.3,0
-15.0,102.4,111.6,110.0,95.5,0
-3.5,102.4,111.6,94.1,108.2,0
-2.0,102.4,111.6,96.7,102.0,0
-8.0,99.4,107.8,97.4,109.4,1
-5.5,99.4,107.8,94.8,109.0,0
-17.5,99.4,107.8,108.3,96.7,0
-6.5,99.4,107.8,102.7,103.4,0
-2.0,99.4,107.8,107.8,103.2,0
-4.0,99.4,107.8,100.0,101.7,1
-4.5,104.1,114.0,101.8,105.9,0
-4.0,104.1,114.0,101.6,113.0,1
-13.0,104.1,114.0,108.5,96.0,0
+7.0,102.4,111.6,108.4,99.0,0
-2.5,102.4,111.6,102.0,116.0,0
-18.5,102.4,111.6,109.2,96.0,0
-12.0,99.4,107.8,103.9,92.2,0
-15.5,99.4,107.8,112.6,95.9,1
-1.5,101.1,100.5,101.9,110.7,0
-8.5,101.1,100.5,98.3,94.9,0
+12.0,95.8,101.7,107.9,97.2,1
-11.5,104.1,114.0,106.7,101.9,0
-1.0,104.1,114.0,99.2,112.1,1
+11.0,104.1,114.0,109.0,96.4,0
+3.0,104.1,114.0,102.6,102.8,0
-6.5,104.1,114.0,99.2,112.1,0
+3.5,104.1,114.0,106.7,101.9,0
-4.5,104.1,114.0,101.1,107.3,0
-2.5,104.1,114.0,99.7,108.4,1
+1.5,102.4,111.6,100.3,101.0,0
-18.0,102.4,111.6,112.3,101.7,0
-7.0,102.4,111.6,100.1,107.7,0
-4.0,102.4,111.6,99.5,105.5,0
-7.0,102.4,111.6,100.3,101.0,0
+7.0,102.4,111.6,112.4,106.7,0
+2.0,102.4,111.6,98.2,108.5,1
+3.5,99.4,107.8,107.4,106.9,0
-4.5,99.4,107.8,97.7,108.2,1
-1.0,99.4,107.8,96.9,99.7,1
+2.0,99.4,107.8,107.5,107.4,0
-2.0,99.4,107.8,97.7,108.2,1
-8.5,99.4,107.8,107.4,106.9,0
-5.0,104.1,114.0,99.7,108.4,0
+2.0,104.1,114.0,101.1,107.3,1
-3.0,102.4,111.6,98.2,108.5,0
-15.5,102.4,111.6,112.4,106.7,0
-14.0,99.4,107.8,104.8,95.6,0
-8.5,99.4,107.8,102.0,102.7,0
-2.5,101.1,100.5,104.5,103.5,0
+9.5,101.1,100.5,112.9,95.3,0
-8.5,101.1,100.5,103.6,108.6,0
-9.0,101.1,100.5,106.4,99.9,0
+7.0,95.8,101.7,108.8,100.9,1
-5.0,95.8,101.7,94.9,102.6,0
-7.5,95.8,101.7,101.1,103.5,1
-5.0,95.8,101.7,99.9,108.6,1
-14.5,95.2,110.9,107.8,100.5,0
-13.0,95.2,110.9,104.0,101.1,0
-4.5,102.9,109.4,101.3,105.8,0
-7.0,102.9,109.4,105.2,107.6,0
-4.0,100.0,112.1,92.2,105.7,0
+14.0,100.0,112.1,117.4,101.5,0
-5.0,95.3,109.1,92.8,108.8,1
-1.5,95.3,109.1,102.4,110.1,1
-8.5,108.9,105.8,109.7,102.1,0
-8.5,108.9,105.8,92.4,108.3,1
-5.0,108.9,105.8,99.7,111.5,1
-10.5,108.9,105.8,96.1,108.8,1
-14.5,98.5,105.7,109.8,102.1,0
-4.0,98.5,105.7,92.5,103.1,1
