Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
,1253,+7.0,113.5,102.1,106.5,108.7,0
,1413,+13.5,113.5,102.1,104.7,101.1,0
,1142,+4.0,113.5,102.1,98.7,113.3,1
,1415,+6.5,113.5,102.1,94.9,103.7,1
,1414,+7.5,113.5,102.1,100.5,98.0,0
,1253,+11.0,113.5,102.1,106.5,108.7,0
,1218,+7.5,113.5,102.1,99.6,102.7,0
,1143,+13.5,113.5,102.1,98.7,105.5,0
,1127,+3.0,113.5,102.1,97.5,109.8,0
,1369,-1.0,113.5,102.1,NaN,NaN,0
,1206,+12.5,113.5,102.1,102.4,107.6,0
,1201,+18.5,113.5,102.1,110.1,99.9,0
,1226,+2.0,113.5,102.1,103.6,109.1,0
,1170,+5.0,113.5,102.1,100.2,110.6,0
,1186,+12.0,113.5,102.1,108.3,104.8,0
,1258,+5.0,113.5,102.1,107.9,113.3,0
,1226,+2.5,113.5,102.1,103.6,109.1,0
,1285,+14.5,113.5,102.1,110.1,99.3,0
,1168,+7.5,113.5,102.1,105.0,103.6,0
,1364,+8.5,113.5,102.1,111.9,107.2,0
,1142,+5.5,113.5,102.1,98.7,113.3,0
,1168,+12.0,113.5,102.1,105.0,103.6,0
,1415,-1.0,113.5,102.1,94.9,103.7,0
,1218,+13.0,113.5,102.1,99.6,102.7,1
,1414,+14.0,113.5,102.1,100.5,98.0,0
,1364,+14.0,113.5,102.1,111.9,107.2,0
,1413,+8.0,113.5,102.1,104.7,101.1,0
