Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-9.5,113.1,86.1,115.8,95.2,1
-11.5,113.1,86.1,107.9,106.9,1
-14.5,113.1,86.1,109.0,100.8,1
-28.5,113.1,86.1,97.1,109.8,1
-8.0,113.1,86.1,99.2,93.4,1
-22.5,113.1,86.1,99.1,109.5,1
-7.5,113.1,86.1,109.9,101.1,1
-7.5,113.1,86.1,109.0,100.8,1
-42.5,113.1,86.1,96.0,116.1,1
-12.5,113.1,86.1,105.9,100.8,1
-17.5,113.1,86.1,107.6,108.4,1
-16.0,113.1,86.1,114.3,103.7,1
-29.0,113.1,86.1,96.1,108.3,1
-18.5,113.1,86.1,107.9,106.9,1
-28.0,113.1,86.1,97.8,110.5,1
-4.5,113.1,86.1,116.4,102.0,1
-13.0,113.1,86.1,109.6,97.2,1
-1.5,113.1,86.1,115.1,96.4,0
-2.5,113.1,86.1,120.7,99.0,0
-16.5,113.1,86.1,108.6,102.4,1
-18.5,113.1,86.1,105.3,105.5,1
-6.0,113.1,86.1,121.9,101.8,0
-2.0,113.1,86.1,115.8,95.2,0
-7.5,113.1,86.1,109.9,101.1,1
-14.0,113.1,86.1,99.2,93.4,1
-12.5,113.1,86.1,105.3,105.5,1
-16.5,113.1,86.1,107.9,106.9,1
-15.5,113.1,86.1,109.9,101.1,1
-3.0,113.1,86.1,121.9,101.8,1
-13.0,113.1,86.1,107.2,107.0,1
