Spread,Oeff1,Deff1,Oeff2,Deff2,Result
+5.0,103.0,108.5,105.9,100.8,0
-10.5,103.0,108.5,113.7,107.0,0
-15.5,103.0,108.5,114.5,104.0,0
+5.0,103.0,108.5,111.7,105.2,0
-8.5,103.0,108.5,100.9,107.0,0
-7.0,103.0,108.5,105.9,100.8,1
-7.5,103.0,108.5,107.5,104.9,1
+3.5,103.0,108.5,110.1,99.9,0
+7.5,103.0,108.5,114.5,104.0,0
-9.5,103.0,108.5,108.5,104.0,0
-12.5,103.0,108.5,115.8,100.0,0
-3.0,103.0,108.5,107.2,107.0,0
-17.0,103.0,108.5,100.2,110.6,1
-3.5,103.0,108.5,95.9,107.9,1
-11.0,103.0,108.5,110.6,97.5,0
-9.0,103.0,108.5,106.5,108.7,1
-6.0,103.0,108.5,100.1,105.8,1
-15.0,103.0,108.5,110.9,100.3,0
-16.5,103.0,108.5,117.3,101.7,0
+3.0,103.0,108.5,105.4,99.7,1
+5.0,103.0,108.5,113.7,107.0,0
-17.0,103.0,108.5,119.9,101.7,0
+7.0,103.0,108.5,110.6,97.5,0
-13.5,103.0,108.5,110.1,99.9,0
-9.0,103.0,108.5,95.9,107.9,1
-2.5,103.0,108.5,100.9,107.0,0
+12.0,103.0,108.5,119.9,101.7,0
-6.0,103.0,108.5,107.5,104.9,0
