Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-1.5,107.5,113.7,104.8,113.8,0
-5.0,107.5,113.7,104.8,113.8,1
-8.5,107.5,113.7,103.5,99.8,0
-8.5,107.5,113.7,105.6,108.1,0
-11.5,107.5,113.7,105.3,105.5,0
-13.5,107.5,113.7,113.0,95.9,0
-25.5,107.5,113.7,127.4,96.0,0
-11.5,107.5,113.7,113.8,103.1,0
-11.0,107.5,113.7,102.1,112.4,0
-3.0,107.5,113.7,104.0,107.2,0
-5.5,107.5,113.7,101.1,110.3,1
-1.5,107.5,113.7,105.6,108.1,1
+2.0,107.5,113.7,103.5,99.8,0
-4.0,107.5,113.7,104.0,107.2,0
-7.5,107.5,113.7,98.7,110.9,1
-8.0,107.5,113.7,101.4,99.3,0
-3.0,107.5,113.7,98.7,110.9,0
