Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1165,1171,-6.5,99.7,108.4,99.2,112.1,1
1165,1217,+6.0,99.7,108.4,106.7,101.9,0
1165,1162,+7.5,99.7,108.4,101.1,107.3,1
1165,1162,-1.0,99.7,108.4,101.1,107.3,0
1165,1171,+4.0,98.2,108.5,99.5,105.5,1
1165,1217,+10.0,98.2,108.5,100.3,101.0,1
1165,1162,+5.5,98.2,108.5,112.4,106.7,0
1165,1162,+9.0,98.2,108.5,112.4,106.7,0
1165,1463,+3.5,96.9,99.7,107.3,98.6,0
1165,1135,-4.5,96.9,99.7,99.4,107.8,1
1165,1162,+6.5,96.9,99.7,107.5,107.4,1
1165,1162,+3.0,96.9,99.7,107.5,107.4,0
1165,1138,+11.0,96.9,99.7,111.3,99.4,0
1165,1135,+12.5,100.4,120.9,101.1,100.5,0
1165,1162,+9.0,100.4,120.9,107.6,103.0,0
1165,1162,+15.5,100.4,120.9,107.6,103.0,0
1165,1382,+18.5,100.4,120.9,111.2,102.4,0
1165,1162,+8.0,99.9,108.6,101.1,103.5,1
1165,1318,+2.0,99.7,108.4,107.0,106.4,1
1165,1222,+17.0,99.7,108.4,113.5,99.9,0
1165,1284,+15.0,99.7,108.4,109.1,100.5,0
1165,1373,+14.5,99.7,108.4,106.2,106.3,0
1165,1338,+25.0,98.2,108.5,114.9,98.3,0
1165,1145,+11.0,98.2,108.5,108.1,114.4,0
1165,1210,+17.0,98.2,108.5,113.8,99.6,0
1165,1145,+1.0,96.9,99.7,103.6,101.8,1
1165,1180,+4.0,96.9,99.7,99.3,106.5,0
1165,1336,+12.5,96.9,99.7,105.3,97.2,0
1165,1376,+13.0,96.9,99.7,105.6,94.3,0
1165,1206,+12.5,96.9,99.7,102.9,106.0,1
1165,1444,+14.0,100.4,120.9,106.3,103.0,0
1165,1393,+20.0,99.7,108.4,115.7,102.3,0
1165,1369,-3.5,99.7,108.4,NaN,NaN,1
1165,1407,+4.5,99.7,108.4,109.7,107.6,0
1165,1425,+23.5,99.7,108.4,114.2,100.7,0
1165,1461,+9.5,99.7,108.4,104.8,102.0,0
1165,1389,+7.0,98.2,108.5,96.7,102.0,1
1165,1284,+10.5,98.2,108.5,107.3,99.2,0
1165,1393,+19.0,98.2,108.5,112.7,94.1,0
1165,1373,+7.0,98.2,108.5,108.1,104.5,1
1165,1393,+17.5,96.9,99.7,107.0,94.2,0
1165,1389,-2.5,96.9,99.7,100.0,101.7,0
1165,1373,+7.5,96.9,99.7,105.7,114.0,1
1165,1389,+9.0,100.4,120.9,98.1,103.9,0
1165,1323,+26.0,100.4,120.9,113.5,105.8,0
1165,1181,+28.0,99.9,108.6,119.1,92.1,0
1165,1343,+12.5,99.7,108.4,109.0,96.4,0
1165,1335,+5.0,99.7,108.4,102.6,102.8,0
1165,1217,+10.5,99.7,108.4,106.7,101.9,0
1165,1171,+1.5,99.7,108.4,99.2,112.1,1
1165,1335,+6.5,99.7,108.4,102.6,102.8,0
1165,1343,+16.0,99.7,108.4,109.0,96.4,0
1165,1463,+6.5,99.7,108.4,106.2,105.2,0
1165,1135,-2.5,99.7,108.4,104.1,114.0,0
1165,1343,+17.5,98.2,108.5,112.3,101.7,0
1165,1335,+4.5,98.2,108.5,100.1,107.7,0
1165,1217,+2.0,98.2,108.5,100.3,101.0,0
1165,1171,-2.0,98.2,108.5,99.5,105.5,0
1165,1335,-3.0,98.2,108.5,100.1,107.7,0
1165,1343,+9.5,98.2,108.5,112.3,101.7,0
1165,1463,+13.5,98.2,108.5,110.4,96.0,0
1165,1135,-2.0,98.2,108.5,102.4,111.6,0
1165,1171,-2.5,96.9,99.7,102.0,102.7,0
1165,1217,+7.5,96.9,99.7,104.8,95.6,1
1165,1135,+1.0,96.9,99.7,99.4,107.8,0
1165,1463,+10.5,96.9,99.7,107.3,98.6,0
1165,1217,+11.0,96.9,99.7,104.8,95.6,0
1165,1171,+5.5,96.9,99.7,102.0,102.7,1
1165,1135,+5.0,99.7,108.4,104.1,114.0,1
1165,1463,+10.0,99.7,108.4,106.2,105.2,0
1165,1135,-3.0,98.2,108.5,102.4,111.6,1
1165,1463,+13.5,98.2,108.5,110.4,96.0,0
1165,1335,-1.0,96.9,99.7,97.7,108.2,0
1165,1343,+6.5,96.9,99.7,107.4,106.9,0
1165,1335,+4.0,100.4,120.9,99.1,106.6,0
1165,1343,+13.5,100.4,120.9,106.4,99.9,0
1165,1171,+9.5,100.4,120.9,103.6,108.6,0
1165,1217,+14.0,99.9,108.6,108.1,101.1,0
1165,1171,+2.5,99.9,108.6,96.4,106.7,0
1165,1463,+1.5,99.9,108.6,102.7,105.7,0
1165,1135,-5.0,99.9,108.6,95.8,101.7,0
1165,1217,+8.0,98.1,101.6,108.8,94.4,0
1165,1171,-9.0,98.1,101.6,91.2,104.1,1
1165,1463,-5.0,105.2,107.6,99.5,101.1,1
1165,1135,-7.0,105.2,107.6,102.9,109.4,1
1165,1246,+8.5,117.4,101.5,114.9,88.3,0
1165,1458,+4.0,117.4,101.5,115.2,91.6,1
1165,1396,+3.0,117.4,101.5,107.8,87.7,1
1165,1463,-11.0,117.4,101.5,96.1,106.5,1
1165,1135,-14.0,117.4,101.5,100.0,112.1,1
1165,1281,+12.5,108.5,103.3,116.6,91.8,0
1165,1343,-14.5,108.5,103.3,95.5,104.3,1
1165,1335,-14.5,108.5,103.3,96.1,105.8,1
1165,1390,+15.5,110.1,105.7,113.6,90.9,0
1165,1343,-7.0,110.1,105.7,93.2,108.9,1
