Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-10.0,102.9,110.1,111.9,109.7,0
+6.0,102.9,110.1,106.2,98.9,0
+3.5,102.9,110.1,111.1,112.4,1
-18.0,102.9,110.1,118.0,105.5,0
-7.0,102.9,110.1,104.4,102.2,0
-6.0,102.9,110.1,97.3,108.5,1
-10.0,102.9,110.1,107.0,106.4,0
+12.0,102.9,110.1,118.0,105.5,0
+4.5,102.9,110.1,107.0,106.4,0
+7.5,99.5,106.7,111.6,103.2,0
+2.5,99.5,106.7,105.4,104.4,0
+6.5,99.5,106.7,110.7,101.5,0
-9.0,99.5,106.7,108.1,99.6,0
-7.0,99.5,106.7,105.4,104.4,0
-10.5,99.5,106.7,111.6,103.2,0
+1.5,99.5,106.7,98.6,94.4,1
+4.5,99.5,106.7,113.3,104.5,0
-5.5,99.5,106.7,106.6,106.4,0
-1.5,99.3,106.5,101.5,102.4,1
+6.0,99.3,106.5,108.3,103.1,1
+1.0,99.3,106.5,96.1,105.5,1
+6.5,102.9,110.1,110.6,108.7,0
-3.5,102.9,110.1,101.4,109.3,0
-4.0,102.9,110.1,96.3,110.8,1
-10.5,102.9,110.1,101.5,99.3,0
-20.0,102.9,110.1,109.1,100.5,0
-4.5,99.5,106.7,93.9,103.7,0
-3.5,99.5,106.7,NaN,NaN,0
-1.5,99.5,106.7,103.6,100.1,0
+4.0,99.5,106.7,107.3,99.2,0
-9.5,99.5,106.7,114.3,98.9,0
-4.0,99.3,106.5,97.3,111.0,1
-4.0,99.3,106.5,96.9,99.7,1
+1.5,99.3,106.5,101.6,100.1,0
-10.5,99.3,106.5,106.0,102.4,0
-2.5,99.3,106.5,100.3,100.0,0
-14.5,99.3,106.5,107.5,100.5,0
-5.5,105.2,101.8,107.8,99.2,1
-12.5,105.2,101.8,116.5,86.4,0
-1.5,105.2,101.8,106.5,106.9,1
-4.0,105.2,101.8,104.6,107.5,1
-1.0,102.9,110.1,98.8,104.1,0
-6.5,102.9,110.1,102.6,102.8,0
-2.5,102.9,110.1,101.6,113.0,1
-4.0,102.9,110.1,100.9,104.6,0
+6.0,102.9,110.1,102.2,103.3,0
-13.5,99.5,106.7,110.7,101.5,0
-8.5,99.5,106.7,110.5,103.4,0
-5.0,99.5,106.7,100.1,107.7,1
+6.0,99.5,106.7,103.4,100.8,0
-17.0,99.5,106.7,109.0,96.2,0
-7.5,99.5,106.7,99.2,108.5,1
+4.5,99.3,106.5,113.6,107.4,0
+5.5,99.3,106.5,105.3,97.2,0
-7.5,99.3,106.5,111.3,99.4,0
+1.5,99.3,106.5,101.3,95.3,0
-8.0,105.2,101.8,109.7,103.4,0
-4.0,105.2,101.8,112.3,99.4,0
-1.5,105.2,101.8,113.3,109.1,1
-14.5,105.2,101.8,101.9,113.6,1
-12.5,102.9,110.1,106.2,98.9,0
+1.0,102.9,110.1,98.8,104.1,0
+3.5,102.9,110.1,104.4,102.2,0
-1.5,102.9,110.1,97.3,108.5,0
+3.0,102.9,110.1,105.5,101.2,0
+5.5,102.9,110.1,111.9,109.7,1
-7.5,102.9,110.1,111.1,112.4,0
-12.0,102.9,110.1,105.5,101.2,0
+4.0,99.5,106.7,107.0,103.7,0
-4.5,99.5,106.7,101.5,111.7,1
-14.0,99.5,106.7,113.3,104.5,1
+3.5,99.5,106.7,106.6,106.4,0
-11.0,99.5,106.7,107.0,103.7,0
-1.5,99.5,106.7,101.5,111.7,0
-7.5,99.5,106.7,98.6,94.4,0
+4.5,99.5,106.7,108.1,99.6,0
-16.5,99.3,106.5,113.9,108.8,1
+2.5,99.3,106.5,101.7,109.6,0
-9.0,99.3,106.5,108.3,103.1,0
-4.5,99.3,106.5,105.5,108.2,0
+3.5,99.3,106.5,112.0,106.6,0
-4.0,99.3,106.5,100.9,109.3,1
-3.0,102.9,110.1,98.8,104.1,0
-10.5,99.5,106.7,111.6,103.2,0
-4.5,99.5,106.7,106.6,106.4,1
+3.0,99.3,106.5,96.1,105.5,0
-5.0,105.2,101.8,101.4,104.5,0
-2.0,105.2,101.8,101.4,104.5,0
-1.0,102.1,102.0,103.5,100.3,0
-13.0,102.1,102.0,97.1,108.9,1
-7.5,109.9,96.4,106.2,96.3,0
-7.5,109.9,96.4,106.9,97.3,1
-7.5,109.9,96.4,106.5,99.4,1
+3.0,109.9,96.4,106.9,93.5,0
-2.0,109.9,96.4,102.0,95.9,1
-13.0,109.9,96.4,100.3,106.7,1
-5.0,99.7,92.9,112.0,98.5,0
-9.5,99.7,92.9,105.8,116.3,1
-5.5,100.5,97.7,101.1,105.4,0
-7.0,98.6,95.9,101.2,109.2,0
-1.0,90.8,99.4,97.7,102.3,0
-4.5,90.8,99.4,97.9,103.0,0
-6.5,103.5,92.9,112.2,101.8,0
-1.0,103.5,92.9,116.6,102.0,0
-8.0,103.5,92.9,101.2,104.0,1
-8.0,100.3,93.4,96.8,102.6,0
-6.5,106.3,100.7,107.4,97.5,0
-2.0,106.3,100.7,107.3,101.1,0
-8.0,106.7,100.9,110.8,98.3,0
-3.0,106.7,100.9,98.7,95.0,0
