Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1181,1323,-1.5,121.0,96.8,118.1,98.4,1
1181,1448,-6.5,121.0,96.8,120.9,104.7,1
1181,1301,-16.5,121.0,96.8,112.6,107.6,0
1181,,-9.5,121.0,96.8,100.9,93.7,1
1181,1257,-3.5,121.0,96.8,117.2,91.7,0
1181,1199,-1.5,121.0,96.8,115.5,95.5,0
1181,1130,-26.0,121.0,96.8,103.9,104.2,1
1181,1210,-21.0,121.0,96.8,100.0,91.0,1
1181,,-4.0,121.9,100.0,109.2,96.0,0
1181,1301,-4.5,121.9,100.0,114.1,103.7,1
1181,1393,-11.5,121.9,100.0,112.7,94.1,0
1181,1323,-8.5,121.9,100.0,120.6,104.0,0
1181,1155,-7.5,121.9,100.0,113.3,98.9,0
1181,1439,-18.0,121.9,100.0,110.6,98.9,1
1181,1448,-7.5,121.9,100.0,107.3,102.5,1
1181,1130,-14.5,121.9,100.0,95.3,100.8,1
1181,1438,-5.5,124.5,92.0,115.6,85.5,1
1181,1323,-1.5,124.5,92.0,125.4,100.4,0
1181,1385,-7.0,124.5,92.0,110.7,97.0,1
1181,1338,-14.0,124.5,92.0,113.5,104.8,1
1181,1257,-3.0,124.5,92.0,110.2,88.9,1
1181,,-15.0,124.5,92.0,106.0,102.4,0
1181,1277,-13.0,121.0,96.8,111.4,95.9,1
1181,1111,-30.0,121.0,96.8,99.5,109.2,1
1181,1456,-23.0,121.0,96.8,111.9,109.7,1
1181,1348,-7.0,121.0,96.8,111.5,95.2,1
1181,1336,-19.0,121.0,96.8,104.5,97.2,1
1181,1242,-2.0,121.0,96.8,121.9,94.5,0
1181,1265,-30.5,121.0,96.8,100.7,114.3,1
1181,1429,-17.5,121.9,100.0,111.2,108.0,1
1181,1463,-14.5,121.9,100.0,110.4,96.0,1
1181,,-6.0,121.9,100.0,109.2,96.0,1
1181,1433,-10.0,121.9,100.0,112.1,95.0,1
1181,1246,+1.5,121.9,100.0,121.8,96.6,0
1181,1373,-24.0,121.9,100.0,108.1,104.5,1
1181,1119,-28.0,124.5,92.0,100.2,107.8,1
1181,1202,-41.0,124.5,92.0,98.3,111.5,1
1181,1390,-10.0,124.5,92.0,113.6,98.9,1
1181,1396,-17.5,124.5,92.0,105.3,94.2,1
1181,1277,-8.5,124.5,92.0,116.6,94.9,1
1181,1193,-32.5,124.5,92.0,95.4,106.3,1
1181,1439,-4.5,121.0,96.8,117.3,103.5,0
1181,1189,-26.0,121.0,96.8,104.4,102.2,1
1181,1398,-28.0,121.0,96.8,100.3,99.7,1
1181,1424,-24.0,121.0,96.8,98.3,105.3,1
1181,1196,-7.5,121.0,96.8,116.9,89.5,1
1181,1263,-37.0,121.0,96.8,91.1,110.7,1
1181,1253,-21.5,121.9,100.0,108.5,101.9,1
1181,1189,-24.5,121.9,100.0,106.6,106.4,1
1181,1428,-7.0,121.9,100.0,115.6,98.8,0
1181,1204,-30.5,121.9,100.0,105.0,109.3,1
