Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1182,1203,-3.0,104.9,108.5,103.7,106.4,1
1182,1348,-16.5,104.9,108.5,111.7,97.3,0
1182,1350,-3.5,104.9,108.5,107.6,108.4,0
1182,1206,-5.5,104.9,108.5,102.4,107.6,1
1182,1387,-4.5,104.9,108.5,102.4,100.3,0
1182,1247,-1.5,104.9,108.5,105.1,104.1,1
1182,1433,-9.0,104.9,108.5,106.4,104.1,0
1182,1200,-1.5,104.9,108.5,94.7,106.4,1
1182,1165,-6.0,104.9,108.5,104.8,113.8,0
1182,1440,-15.5,104.9,108.5,90.3,107.7,1
1182,1173,+3.0,104.9,108.5,108.6,108.6,1
1182,1356,+3.0,104.9,108.5,106.3,103.7,0
1182,1362,+5.0,104.9,108.5,103.1,100.8,1
1182,1338,+5.5,104.9,108.5,99.2,104.8,0
1182,1172,+7.0,104.9,108.5,117.4,102.5,0
1182,1382,-10.0,104.9,108.5,112.3,101.1,0
1182,1386,-7.0,104.9,108.5,105.7,100.7,0
1182,1200,-8.5,104.9,108.5,94.7,106.4,0
1182,1173,-8.0,104.9,108.5,108.6,108.6,0
1182,1382,+4.0,104.9,108.5,112.3,101.1,0
1182,1350,-2.0,104.9,108.5,107.6,108.4,0
1182,1269,-1.5,104.9,108.5,106.7,110.8,0
