Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-2.5,108.3,104.8,107.4,101.3,1
-5.5,108.3,104.8,103.4,109.6,1
-4.0,108.3,104.8,102.7,110.1,0
-8.5,108.3,104.8,93.9,109.5,1
-2.0,108.3,104.8,109.5,105.8,0
-10.5,108.3,104.8,100.2,110.6,1
-1.5,108.3,104.8,108.6,107.9,1
-15.0,108.3,104.8,111.9,100.0,0
-1.5,108.3,104.8,101.9,113.0,1
+7.0,108.3,104.8,109.0,101.8,0
-13.0,108.3,104.8,111.7,105.2,0
-16.5,108.3,104.8,108.5,99.7,1
-9.5,108.3,104.8,106.3,99.2,0
-5.0,108.3,104.8,107.4,101.3,0
-12.0,108.3,104.8,113.5,102.1,1
-10.0,108.3,104.8,105.9,100.8,0
-11.0,108.3,104.8,110.0,98.8,0
-5.5,108.3,104.8,103.1,100.8,0
-3.5,108.3,104.8,103.6,109.1,1
-5.5,108.3,104.8,107.1,106.0,1
-9.5,108.3,104.8,102.4,111.6,1
+4.0,108.3,104.8,110.1,99.3,1
-6.5,108.3,104.8,109.5,105.8,0
-5.0,108.3,104.8,108.6,107.9,0
-1.0,108.3,104.8,100.2,110.6,1
-4.5,108.3,104.8,110.1,99.3,0
-7.5,108.3,104.8,102.7,110.1,1
-4.0,108.3,104.8,108.6,107.9,1
-15.5,108.3,104.8,93.9,109.5,1
-11.0,108.3,104.8,102.7,110.1,1
