Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1189,1220,-3.0,104.4,102.2,111.1,112.4,1
1189,1318,-5.5,104.4,102.2,107.0,106.4,1
1189,1456,-3.5,104.4,102.2,111.9,109.7,1
1189,1180,-7.0,104.4,102.2,102.9,110.1,1
1189,1241,-1.5,104.4,102.2,98.8,104.1,0
1189,1220,-2.5,104.4,102.2,111.1,112.4,1
1189,1406,-2.0,104.4,102.2,105.5,101.2,1
1189,1456,-5.5,104.4,102.2,111.9,109.7,0
1189,1423,-12.0,104.4,102.2,118.0,105.5,0
1189,1318,-5.5,106.6,106.4,107.0,103.7,1
1189,1220,-11.5,106.6,106.4,111.6,103.2,0
1189,1241,+2.5,106.6,106.4,108.1,99.6,0
1189,1456,-8.5,106.6,106.4,113.3,104.5,0
1189,1158,-4.5,106.6,106.4,98.6,94.4,1
1189,1423,+4.0,106.6,106.4,110.7,101.5,0
1189,1220,+3.0,106.6,106.4,111.6,103.2,0
1189,1241,-8.0,106.6,106.4,108.1,99.6,1
1189,1180,-5.5,106.6,106.4,99.5,106.7,1
1189,1318,-9.5,98.5,105.7,108.3,103.1,0
1189,1423,-5.0,98.5,105.7,101.5,102.4,0
1189,1174,-3.5,98.5,105.7,101.7,109.6,1
1189,1198,-8.5,104.4,102.2,102.9,112.5,1
1189,1142,-6.5,104.4,102.2,100.1,113.0,1
1189,1296,-4.0,104.4,102.2,98.9,102.4,1
1189,1227,-7.0,104.4,102.2,NaN,NaN,1
1189,1378,-4.5,104.4,102.2,96.4,107.7,1
1189,1150,-4.0,104.4,102.2,103.1,109.5,0
1189,1393,-17.0,106.6,106.4,112.7,94.1,0
1189,1276,-19.0,106.6,106.4,114.6,100.5,0
1189,1150,-4.5,106.6,106.4,105.8,108.7,1
1189,1275,-6.0,98.5,105.7,102.5,106.6,1
1189,1321,-12.5,98.5,105.7,107.8,103.2,0
1189,1150,+5.5,98.5,105.7,109.9,108.0,0
1189,1194,-1.5,98.5,105.7,98.7,109.0,1
1189,1209,+2.0,104.6,107.5,115.6,104.3,1
1189,1158,+1.5,104.4,102.2,106.2,98.9,0
1189,1181,+26.0,104.4,102.2,121.0,96.8,0
1189,1389,-5.0,104.4,102.2,102.5,95.9,1
1189,,-10.5,104.4,102.2,100.9,93.7,0
1189,1318,+3.0,106.6,106.4,107.0,103.7,0
1189,1181,-24.5,106.6,106.4,121.9,100.0,0
1189,1422,-7.5,106.6,106.4,102.2,107.5,1
1189,1198,-1.5,106.6,106.4,103.2,108.8,1
1189,1265,-10.5,98.5,105.7,94.6,107.4,1
1189,1422,-1.0,98.5,105.7,99.8,109.5,1
1189,1181,-33.0,98.5,105.7,124.5,92.0,0
1189,1281,-13.0,98.5,105.7,102.0,104.1,0
1189,1181,-16.5,104.6,107.5,124.7,100.4,0
1189,1194,-3.0,104.6,107.5,101.1,107.5,1
