Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1191,1229,+8.0,104.1,103.2,107.6,93.6,0
1191,1320,-7.0,104.1,103.2,97.6,97.6,0
1191,1260,-7.5,104.1,103.2,108.9,102.5,0
1191,1455,+11.0,104.1,103.2,118.7,92.6,0
1191,1356,-3.5,104.1,103.2,104.8,103.7,0
1191,1283,-7.5,104.1,103.2,108.3,106.0,0
1191,1179,-3.0,104.1,103.2,103.0,111.1,0
1191,1133,-11.5,104.1,103.2,98.4,102.7,0
1191,1320,-2.5,104.1,103.2,97.6,97.6,1
1191,1455,+3.0,108.3,97.8,111.3,88.7,0
1191,1356,-3.0,108.3,97.8,107.2,104.4,1
1191,1232,-4.0,108.3,97.8,99.4,99.8,0
1191,1260,-13.5,108.3,97.8,100.0,101.8,1
1191,1229,-5.5,108.3,97.8,104.0,99.4,1
1191,1179,-16.0,108.3,97.8,104.1,112.7,1
1191,1133,-25.0,108.3,97.8,86.6,102.6,1
1191,1455,-10.0,108.3,97.8,111.3,88.7,0
1191,1283,-7.0,108.3,97.8,100.4,105.8,1
1191,1179,-6.0,106.6,101.3,105.3,114.3,0
1191,1232,-6.5,106.6,101.3,102.7,103.4,1
1191,1356,-8.5,106.6,101.3,98.8,103.6,1
1191,1292,-4.5,104.1,103.2,112.2,97.2,0
1191,1423,+7.0,104.1,103.2,118.0,105.5,0
1191,1405,-3.0,104.1,103.2,108.8,106.1,0
1191,1287,-1.5,104.1,103.2,106.7,109.8,1
1191,1257,-22.5,104.1,103.2,117.2,91.7,0
1191,1414,+3.0,108.3,97.8,106.0,96.9,1
1191,1365,-12.0,108.3,97.8,101.8,108.9,1
1191,1344,-1.5,108.3,97.8,110.0,95.5,0
1191,1125,-5.5,108.3,97.8,114.0,110.5,1
1191,1369,-20.0,108.3,97.8,NaN,NaN,1
1191,1362,-1.0,106.6,101.3,105.7,103.5,1
1191,1453,+3.5,106.6,101.3,104.7,94.6,0
1191,1201,-6.0,106.6,101.3,102.8,105.7,1
1191,1275,-4.0,106.6,101.3,102.5,106.6,1
1191,1325,-7.0,103.1,107.3,106.5,102.7,0
1191,1231,-14.0,103.1,107.3,107.8,96.2,0
1191,1434,-5.0,103.1,107.3,104.2,103.7,1
1191,1229,-7.5,104.1,103.2,107.6,93.6,0
1191,1122,-8.5,104.1,103.2,106.2,117.3,1
1191,1293,-2.5,104.1,103.2,107.2,109.8,1
1191,1132,-6.5,104.1,103.2,100.1,107.2,1
1191,1232,-10.0,108.3,97.8,99.4,99.8,1
1191,1201,-2.5,108.3,97.8,107.4,100.8,1
1191,1116,-2.5,108.3,97.8,110.7,100.3,0
1191,1293,-3.5,108.3,97.8,106.3,106.4,1
1191,1325,-8.0,106.6,101.3,103.0,108.5,1
1191,1293,-6.5,106.6,101.3,116.5,104.5,0
1191,1125,-5.5,106.6,101.3,110.2,107.9,1
1191,1237,-15.5,106.6,101.3,94.0,103.4,1
1191,1460,-7.5,106.6,101.3,99.0,105.5,1
1191,1232,-5.0,104.1,103.2,99.6,102.3,1
1191,1455,-21.0,104.1,103.2,118.7,92.6,0
1191,1133,-3.5,104.1,103.2,98.4,102.7,0
1191,1179,-8.0,104.1,103.2,103.0,111.1,1
1191,1356,-4.0,104.1,103.2,104.8,103.7,1
1191,1260,+2.0,104.1,103.2,108.9,102.5,1
1191,1232,-4.0,104.1,103.2,99.6,102.3,0
1191,1320,-4.0,108.3,97.8,109.6,98.5,0
1191,1133,-15.5,108.3,97.8,86.6,102.6,1
1191,1356,-7.0,108.3,97.8,107.2,104.4,1
1191,1179,-10.0,108.3,97.8,104.1,112.7,1
1191,1260,-5.0,108.3,97.8,100.0,101.8,1
1191,1229,-10.0,108.3,97.8,104.0,99.4,0
1191,1283,-13.5,108.3,97.8,100.4,105.8,1
1191,1320,-1.0,108.3,97.8,109.6,98.5,0
1191,1229,-1.0,106.6,101.3,107.7,96.1,0
1191,1320,-12.0,106.6,101.3,116.3,95.3,0
1191,1455,-15.0,106.6,101.3,115.8,93.6,0
1191,1179,-10.0,106.6,101.3,105.3,114.3,1
1191,1356,-1.0,106.6,101.3,98.8,103.6,1
1191,1283,-7.5,106.6,101.3,98.9,106.5,1
1191,1133,-8.0,106.6,101.3,93.7,101.3,0
1191,1229,-10.0,104.1,103.2,107.6,93.6,0
1191,1232,-1.0,104.1,103.2,99.6,102.3,1
1191,1232,-7.5,108.3,97.8,99.4,99.8,1
1191,1283,-13.5,108.3,97.8,100.4,105.8,1
1191,1404,-6.5,106.6,101.3,NaN,NaN,1
1191,1418,-3.0,106.6,101.3,NaN,NaN,1
1191,1183,-3.5,106.6,101.3,100.3,105.2,1
1191,NaN,-7.0,106.6,101.3,NaN,NaN,1
1191,1229,-4.5,106.6,101.3,107.7,96.1,0
1191,1455,-17.5,103.1,107.3,117.8,92.4,0
1191,1179,-2.5,103.1,107.3,105.0,106.5,1
1191,1260,-3.0,103.1,107.3,102.2,108.7,1
1191,1187,-1.5,106.4,98.3,108.9,104.9,0
