Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1206,1382,+7.5,102.4,107.6,112.3,101.1,0
1206,1433,+5.5,102.4,107.6,106.4,104.1,0
1206,1182,+5.5,102.4,107.6,104.9,108.5,0
1206,1203,+6.0,102.4,107.6,103.7,106.4,0
1206,1387,+1.5,102.4,107.6,102.4,100.3,1
1206,1386,+4.0,102.4,107.6,105.7,100.7,1
1206,1172,+5.5,102.4,107.6,117.4,102.5,0
1206,1269,+8.0,102.4,107.6,106.7,110.8,1
1206,1241,-1.0,102.4,107.6,101.5,107.7,1
1206,1201,+6.5,102.4,107.6,110.1,99.9,0
1206,1256,+4.5,102.4,107.6,106.9,105.7,0
1206,,-12.5,102.4,107.6,113.5,102.1,1
1206,1257,+19.0,102.4,107.6,113.1,96.5,0
1206,1348,+17.5,102.4,107.6,111.7,97.3,0
1206,1336,+9.5,102.4,107.6,113.0,95.9,0
1206,1204,+2.0,102.4,107.6,106.3,104.5,0
1206,1456,-6.0,102.4,107.6,115.4,115.5,0
1206,1120,+15.0,102.4,107.6,118.2,97.5,0
1206,1433,+9.0,102.4,107.6,106.4,104.1,1
1206,1269,-5.0,102.4,107.6,106.7,110.8,1
1206,1386,+8.0,102.4,107.6,105.7,100.7,1
1206,1247,+9.5,102.4,107.6,105.1,104.1,0
1206,1173,+4.5,102.4,107.6,108.6,108.6,1
1206,1203,-1.5,102.4,107.6,103.7,106.4,1
1206,1200,+1.5,102.4,107.6,94.7,106.4,0
1206,1350,+7.0,102.4,107.6,107.6,108.4,1
1206,1386,+6.5,102.4,107.6,105.7,100.7,0
1206,1269,-1.5,102.4,107.6,106.7,110.8,1
1206,1350,+1.0,102.4,107.6,107.6,108.4,0
