Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-3.5,105.2,107.3,109.7,107.6,0
-1.5,105.2,107.3,98.7,105.5,0
-5.5,105.2,107.3,101.8,105.4,1
-8.0,105.2,107.3,99.5,109.2,1
-3.0,105.2,107.3,NaN,NaN,1
-9.0,105.2,107.3,NaN,NaN,1
-7.0,105.2,107.3,98.7,105.5,1
-5.5,105.2,107.3,109.7,107.6,1
-3.5,105.0,109.3,100.3,107.8,1
-15.0,105.0,109.3,NaN,NaN,0
-3.5,105.0,109.3,102.7,110.9,1
-11.0,105.0,109.3,99.9,101.2,0
+2.5,105.0,109.3,NaN,NaN,1
+8.0,105.0,109.3,NaN,NaN,0
-4.0,105.0,109.3,95.8,104.1,0
-16.5,105.0,109.3,106.9,99.5,0
-8.0,100.5,98.6,NaN,NaN,1
-9.0,100.5,98.6,98.3,107.9,1
-1.0,100.5,98.6,NaN,NaN,1
-2.0,100.5,98.6,93.7,98.9,1
-5.5,100.5,98.6,99.8,109.5,0
-2.0,100.5,98.6,NaN,NaN,1
-17.5,105.2,107.3,93.6,116.2,1
-8.5,105.2,107.3,112.6,106.4,0
-4.0,105.2,107.3,109.6,108.2,0
-14.0,105.2,107.3,112.6,107.6,0
-9.0,105.0,109.3,103.1,117.6,0
-11.5,105.0,109.3,101.7,104.2,0
-16.5,105.0,109.3,111.9,102.0,0
-6.0,100.5,98.6,96.0,104.6,1
-23.0,100.5,98.6,108.3,96.7,0
-11.0,98.3,110.4,94.2,120.0,1
+8.0,98.3,110.4,108.0,109.6,0
-9.5,98.3,110.4,100.7,101.4,0
-13.5,98.3,110.4,115.5,103.2,0
-1.5,105.2,107.3,103.9,101.5,1
-2.0,105.2,107.3,102.9,112.5,1
-13.0,105.2,107.3,109.7,93.7,0
-7.0,105.0,109.3,99.5,103.9,0
-30.5,105.0,109.3,121.9,100.0,0
-4.5,100.5,98.6,103.4,105.9,0
-6.5,100.5,98.6,99.2,108.3,1
-3.5,100.5,98.6,102.7,112.3,0
-13.5,98.3,110.4,115.6,104.3,0
-13.5,98.3,110.4,104.1,103.1,0
-2.5,105.2,107.3,98.3,105.2,0
-7.0,105.2,107.3,106.3,103.3,1
+6.0,105.2,107.3,110.6,100.8,0
-2.5,105.2,107.3,101.3,101.7,1
-1.0,105.2,107.3,99.5,109.2,0
-2.5,105.2,107.3,101.8,105.4,0
-6.5,105.2,107.3,NaN,NaN,1
-6.5,105.0,109.3,102.7,110.9,1
-1.0,105.0,109.3,99.9,101.2,1
+5.5,105.0,109.3,NaN,NaN,0
-4.0,105.0,109.3,100.3,107.8,1
-1.0,105.0,109.3,95.8,104.1,0
-3.5,105.0,109.3,99.5,103.9,1
+4.5,105.0,109.3,106.9,99.5,1
-4.0,100.5,98.6,NaN,NaN,0
-5.5,100.5,98.6,98.3,107.9,1
-10.0,100.5,98.6,101.0,112.2,1
-11.0,100.5,98.6,99.8,109.5,0
-1.5,100.5,98.6,NaN,NaN,1
-11.0,100.5,98.6,96.2,107.0,1
-6.0,100.5,98.6,NaN,NaN,0
-4.5,105.2,107.3,101.0,99.7,0
+1.5,105.2,107.3,109.7,107.6,0
-8.5,105.2,107.3,103.9,101.5,0
-4.0,105.0,109.3,95.8,104.1,0
-11.0,105.0,109.3,NaN,NaN,0
-8.5,105.0,109.3,NaN,NaN,0
-6.5,100.5,98.6,111.6,101.3,0
-3.0,100.5,98.6,NaN,NaN,1
-10.0,100.5,98.6,111.6,101.3,0
-6.5,100.5,98.6,103.4,105.9,1
-6.5,98.3,110.4,100.6,102.6,0
-4.0,98.3,110.4,100.6,110.1,1
-5.0,98.3,110.4,94.9,115.6,1
-5.5,98.3,110.4,96.3,118.5,0
-16.5,95.8,107.0,112.1,100.7,0
-4.0,95.8,107.0,89.2,96.7,1
-19.5,95.8,107.0,112.1,100.7,0
-1.5,97.8,104.6,97.9,106.1,0
-1.5,97.8,104.6,97.7,106.7,1
-9.5,89.7,109.0,104.7,109.0,0
-2.5,98.1,111.9,96.9,105.1,0
-5.0,98.1,111.9,96.2,104.8,0
-7.5,98.0,112.7,101.5,109.6,0
+6.5,98.0,112.7,102.6,105.3,0
-2.5,106.0,102.2,106.7,106.9,0
+5.0,106.0,102.2,117.0,93.4,0
