Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1211,1362,-18.5,119.8,95.0,103.1,100.8,1
1211,1339,-22.0,119.8,95.0,99.6,108.5,1
1211,1365,-19.5,119.8,95.0,99.8,109.5,1
1211,,-7.5,119.8,95.0,113.5,102.1,0
1211,1362,-14.0,119.8,95.0,103.1,100.8,1
1211,1339,-30.0,119.8,95.0,99.6,108.5,1
1211,1258,-19.0,119.8,95.0,107.9,113.3,1
1211,1337,-23.0,119.8,95.0,105.7,114.5,1
1211,1400,-2.5,119.8,95.0,109.4,93.9,1
1211,1196,+2.5,119.8,95.0,115.1,96.4,0
1211,1326,-5.0,119.8,95.0,116.1,95.0,1
1211,1429,-18.0,119.8,95.0,107.5,104.9,1
1211,1365,-23.5,119.8,95.0,99.8,109.5,1
1211,1334,-23.0,119.8,95.0,107.2,106.9,1
1211,1355,-6.0,119.8,95.0,114.5,104.0,0
1211,1237,-28.0,119.8,95.0,98.2,109.5,1
1211,1315,-29.5,119.8,95.0,103.4,109.6,1
1211,1449,-10.0,119.8,95.0,106.3,99.2,1
1211,1437,-5.0,119.8,95.0,127.4,96.0,0
1211,1166,-9.0,119.8,95.0,116.4,99.2,1
1211,1140,-5.5,119.8,95.0,109.0,98.0,1
1211,1360,-12.0,119.8,95.0,104.7,100.4,1
1211,1337,-24.5,119.8,95.0,105.7,114.5,1
1211,1258,-24.0,119.8,95.0,107.9,113.3,1
1211,,-1.0,119.8,95.0,113.5,102.1,1
1211,1334,-13.0,119.8,95.0,107.2,106.9,1
1211,1140,-12.0,119.8,95.0,109.0,98.0,1
1211,1360,-19.5,119.8,95.0,104.7,100.4,1
1211,1140,-9.0,119.8,95.0,109.0,98.0,1
1211,1362,-12.5,119.8,95.0,103.1,100.8,1
1211,1258,-19.0,119.8,95.0,107.9,113.3,1
