Spread,Oeff1,Deff1,Oeff2,Deff2,Result
+5.0,93.4,106.9,102.2,101.9,0
-1.0,99.8,107.2,98.3,111.6,1
-22.5,96.6,104.0,107.0,94.2,0
-22.5,96.6,104.0,108.3,96.7,0
-2.5,96.4,100.8,98.5,106.8,0
-2.5,93.4,106.9,94.2,106.1,1
-9.5,99.8,107.2,94.9,108.5,1
-2.0,96.6,104.0,94.3,113.2,1
-9.0,93.4,106.9,101.8,105.4,0
-2.5,93.4,106.9,NaN,NaN,0
-23.0,99.8,107.2,120.6,91.0,0
-3.0,99.8,107.2,103.3,112.8,1
-6.5,99.8,107.2,87.4,104.2,1
-5.5,99.8,107.2,94.9,108.5,1
-35.0,96.6,104.0,121.3,84.4,0
-9.0,96.6,104.0,101.9,101.6,1
+1.5,96.6,104.0,101.5,109.7,1
-5.5,96.6,104.0,105.5,107.5,1
-4.5,96.6,104.0,NaN,NaN,1
-5.5,96.6,104.0,94.3,113.2,1
-11.0,96.4,100.8,110.3,101.3,0
-7.0,96.4,100.8,100.3,112.6,0
-1.0,89.2,99.4,96.7,108.1,0
-1.5,92.1,102.6,NaN,NaN,0
-7.0,92.1,102.6,95.2,96.9,1
