Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-6.5,111.2,110.4,102.2,109.9,1
-2.5,111.2,110.4,107.9,100.7,0
-5.5,111.2,110.4,109.9,105.1,0
-8.5,111.2,110.4,102.2,109.9,1
-2.5,111.2,110.4,103.1,111.0,1
-5.0,111.2,110.4,106.1,105.1,1
-5.5,111.2,110.4,103.8,111.6,0
-7.5,111.2,110.4,101.5,107.7,1
-5.5,111.2,110.4,107.9,100.7,1
-4.5,111.2,110.4,96.8,109.0,0
+10.0,111.2,110.4,118.2,97.5,0
+9.0,111.2,110.4,113.8,93.5,0
+3.0,111.2,110.4,108.6,108.6,1
-1.5,111.2,110.4,115.4,115.5,0
+20.5,111.2,110.4,127.4,96.0,0
-6.0,111.2,110.4,99.6,104.5,0
-4.0,111.2,110.4,109.3,106.8,1
-4.0,111.2,110.4,103.9,105.0,1
-4.0,111.2,110.4,106.1,105.1,1
-3.0,111.2,110.4,101.5,107.7,1
-9.5,111.2,110.4,103.1,111.0,1
-4.5,111.2,110.4,115.4,115.5,1
-3.0,111.2,110.4,104.5,112.1,0
-1.0,111.2,110.4,103.8,111.6,1
+1.5,111.2,110.4,109.9,105.1,0
-8.0,111.2,110.4,104.5,112.1,1
-5.5,111.2,110.4,104.5,112.1,0
