Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1229,1191,-8.0,107.6,93.6,104.1,103.2,1
1229,1232,-13.0,107.6,93.6,99.6,102.3,1
1229,1179,-17.0,107.6,93.6,103.0,111.1,1
1229,1133,-11.0,107.6,93.6,98.4,102.7,1
1229,1455,+3.0,107.6,93.6,118.7,92.6,1
1229,1356,-4.0,107.6,93.6,104.8,103.7,1
1229,1232,-4.0,107.6,93.6,99.6,102.3,1
1229,1283,-8.0,107.6,93.6,108.3,106.0,1
1229,1260,+1.0,107.6,93.6,108.9,102.5,1
1229,1283,+1.0,104.0,99.4,100.4,105.8,0
1229,1179,-8.5,104.0,99.4,104.1,112.7,1
1229,1320,+1.0,104.0,99.4,109.6,98.5,1
1229,1133,-11.0,104.0,99.4,86.6,102.6,1
1229,1191,+5.5,104.0,99.4,108.3,97.8,0
1229,1356,+4.5,104.0,99.4,107.2,104.4,0
1229,1232,+5.0,104.0,99.4,99.4,99.8,0
1229,1260,-7.0,104.0,99.4,100.0,101.8,1
1229,1179,-1.5,104.0,99.4,104.1,112.7,1
1229,1260,-3.5,107.7,96.1,105.9,102.6,1
1229,1283,-11.5,107.7,96.1,98.9,106.5,1
1229,1320,+1.0,107.7,96.1,116.3,95.3,0
1229,1237,-11.5,107.6,93.6,107.0,109.8,1
1229,1395,+7.0,107.6,93.6,114.5,97.0,0
1229,1236,-6.0,107.6,93.6,108.8,108.0,1
1229,1293,-2.0,107.6,93.6,107.2,109.8,0
1229,1246,+20.5,104.0,99.4,121.8,96.6,0
1229,1395,-2.5,104.0,99.4,101.6,98.5,0
1229,1268,+12.5,104.0,99.4,116.2,95.9,0
1229,1355,-4.5,104.0,99.4,111.4,101.8,0
1229,1287,-11.0,104.0,99.4,106.6,102.8,1
1229,1355,+9.5,104.0,99.4,111.4,101.8,0
1229,1464,-13.0,107.7,96.1,106.0,114.9,1
1229,1371,+3.0,107.7,96.1,109.3,101.3,0
1229,1330,+4.5,107.7,96.1,106.5,96.3,1
1229,1451,-4.0,107.7,96.1,99.9,108.3,1
1229,1429,-9.0,107.7,96.1,107.5,103.2,0
1229,1362,+9.5,101.9,99.9,112.5,104.3,1
1229,NaN,-15.0,101.9,99.9,NaN,NaN,1
1229,1436,+4.5,101.9,99.9,109.9,99.7,0
1229,1264,+3.5,101.9,99.9,107.2,97.0,0
1229,1321,+9.5,101.9,99.9,98.3,94.9,1
1229,1191,-7.5,107.6,93.6,104.1,103.2,1
1229,1409,-6.0,107.6,93.6,104.3,102.9,1
1229,1362,-6.5,107.6,93.6,102.8,98.0,0
1229,1218,-5.0,107.6,93.6,97.0,106.0,1
1229,1386,-5.0,107.6,93.6,102.2,103.3,1
1229,1404,-13.0,107.6,93.6,NaN,NaN,1
1229,1409,-3.5,107.6,93.6,104.3,102.9,0
1229,1307,-7.5,107.6,93.6,106.5,103.1,1
1229,1283,-7.5,104.0,99.4,100.4,105.8,1
1229,1398,-9.5,104.0,99.4,101.5,101.6,1
1229,1386,+6.5,104.0,99.4,114.3,98.9,0
1229,1227,-8.5,104.0,99.4,NaN,NaN,1
1229,1293,-5.5,104.0,99.4,106.3,106.4,1
1229,1412,-2.5,104.0,99.4,109.3,104.2,0
1229,1232,-11.0,107.7,96.1,102.7,103.4,0
1229,NaN,-10.0,107.7,96.1,NaN,NaN,1
1229,1293,+4.0,107.7,96.1,116.5,104.5,0
1229,1404,-8.5,107.7,96.1,NaN,NaN,1
1229,1177,+1.5,107.7,96.1,108.6,106.8,1
1229,1412,-3.5,107.7,96.1,104.9,101.9,1
1229,1433,+5.0,107.7,96.1,111.1,94.9,0
1229,1177,-1.5,101.9,99.9,106.1,107.3,1
1229,1320,-3.0,107.6,93.6,97.6,97.6,1
1229,1356,-9.5,107.6,93.6,104.8,103.7,1
1229,1260,-8.0,107.6,93.6,108.9,102.5,1
1229,1283,-3.5,107.6,93.6,108.3,106.0,1
1229,1133,-16.0,107.6,93.6,98.4,102.7,1
1229,1179,-7.5,107.6,93.6,103.0,111.1,1
1229,1455,+9.5,107.6,93.6,118.7,92.6,0
1229,1320,-7.0,107.6,93.6,97.6,97.6,1
1229,1455,+16.0,104.0,99.4,111.3,88.7,0
1229,1356,-4.5,104.0,99.4,107.2,104.4,1
1229,1320,+5.5,104.0,99.4,109.6,98.5,0
1229,1232,-6.0,104.0,99.4,99.4,99.8,1
1229,1133,-17.5,104.0,99.4,86.6,102.6,1
1229,1191,+10.0,104.0,99.4,108.3,97.8,1
1229,1455,+12.5,104.0,99.4,111.3,88.7,1
1229,1260,+3.0,104.0,99.4,100.0,101.8,1
1229,1191,+1.0,107.7,96.1,106.6,101.3,1
1229,1356,-9.5,107.7,96.1,98.8,103.6,1
1229,1260,-10.0,107.7,96.1,105.9,102.6,1
1229,1133,-5.0,107.7,96.1,93.7,101.3,1
1229,1455,+5.0,107.7,96.1,115.8,93.6,0
1229,1320,+6.0,107.7,96.1,116.3,95.3,0
1229,1356,-5.0,107.7,96.1,98.8,103.6,0
1229,1416,-4.5,107.6,93.6,104.2,93.3,0
1229,1414,-10.0,107.6,93.6,101.8,100.0,1
1229,1455,+6.5,107.6,93.6,118.7,92.6,0
1229,1356,-7.5,107.6,93.6,104.8,103.7,1
1229,1191,-10.0,107.6,93.6,104.1,103.2,1
1229,1232,-4.5,104.0,99.4,99.4,99.8,0
1229,1330,+4.5,107.7,96.1,106.5,96.3,0
1229,1453,-2.5,107.7,96.1,104.7,94.6,1
1229,1320,+6.5,107.7,96.1,116.3,95.3,0
1229,1455,+8.5,107.7,96.1,115.8,93.6,1
1229,1191,-4.5,107.7,96.1,106.6,101.3,1
1229,1373,+2.5,101.9,99.9,101.6,101.3,0
1229,1401,-3.0,101.9,99.9,101.4,95.9,1
1229,1287,-6.5,101.9,99.9,102.9,103.9,1
1229,1283,-1.0,101.9,99.9,106.5,105.5,0
1229,1356,+3.0,101.9,99.9,106.1,106.0,0
1229,1455,+3.0,109.7,98.2,111.8,91.5,0
1229,1320,-1.5,109.7,98.2,106.8,96.0,1
1229,1320,+3.5,109.7,98.2,106.8,96.0,0
1229,1390,+9.0,109.3,101.5,106.7,92.4,0
1229,1279,+6.5,109.3,101.5,104.7,96.9,1
1229,1166,+6.0,109.3,101.5,119.2,102.7,0
1229,1455,+12.0,109.3,101.5,116.1,93.8,1
1229,1320,+2.5,109.3,101.5,106.9,97.3,1
1229,1356,+1.0,96.4,102.5,97.0,101.4,0
1229,1173,+7.5,107.5,98.7,108.1,89.1,0
1229,1455,+3.0,107.5,98.7,108.9,96.6,0
