Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1228,1458,+7.5,107.2,95.8,115.1,92.1,0
1228,1336,+2.5,107.2,95.8,104.5,97.2,0
1228,1234,-5.0,107.2,95.8,113.0,102.5,1
1228,1276,+7.0,107.2,95.8,122.3,99.2,0
1228,1345,+11.5,107.2,95.8,117.0,93.9,0
1228,1268,-4.0,107.2,95.8,113.1,98.7,0
1228,1276,+2.0,107.2,95.8,122.3,99.2,1
1228,1231,+11.0,107.2,95.8,116.1,101.6,0
1228,1326,+1.0,107.2,95.8,111.2,101.0,1
1228,1458,+3.5,106.9,103.0,110.1,93.6,0
1228,1326,-2.0,106.9,103.0,107.0,97.0,0
1228,1278,-2.0,106.9,103.0,101.5,104.3,1
1228,1231,+11.5,106.9,103.0,121.7,98.7,0
1228,1304,-5.0,106.9,103.0,110.4,101.6,0
1228,1345,+9.5,106.9,103.0,116.9,93.1,1
1228,1277,+13.0,106.9,103.0,123.4,95.5,0
1228,1326,+9.0,106.9,103.0,107.0,97.0,0
1228,1336,-6.0,108.3,96.7,105.3,97.2,1
1228,1278,+7.0,108.3,96.7,112.7,99.7,0
1228,1345,-3.0,108.3,96.7,110.9,97.0,1
1228,1231,-5.5,108.3,96.7,119.8,106.0,0
1228,1321,-2.0,108.3,96.7,107.8,103.2,1
1228,1301,-2.0,107.2,95.8,112.6,107.6,1
1228,1199,+7.5,107.2,95.8,115.5,95.5,0
1228,1452,+8.5,107.2,95.8,116.5,89.4,0
1228,1178,-19.5,107.2,95.8,102.3,114.5,1
1228,NaN,-30.5,107.2,95.8,NaN,NaN,1
1228,1297,-17.5,107.2,95.8,106.8,104.9,1
1228,1369,-24.0,107.2,95.8,NaN,NaN,1
1228,1235,+8.0,106.9,103.0,121.2,100.3,0
1228,1412,-1.5,106.9,103.0,109.3,104.2,1
1228,1151,-5.0,106.9,103.0,107.5,101.0,0
1228,1344,+7.0,106.9,103.0,110.0,95.5,0
1228,1295,-5.5,106.9,103.0,101.9,99.8,1
1228,1124,-4.0,108.3,96.7,116.6,94.5,1
1228,1232,-11.5,108.3,96.7,102.7,103.4,1
1228,1135,-17.5,108.3,96.7,99.4,107.8,1
1228,1122,-22.0,108.3,96.7,94.8,109.0,1
1228,1204,-23.0,108.3,96.7,100.5,98.6,1
1228,NaN,-14.0,106.5,93.4,NaN,NaN,1
1228,1424,-1.5,106.5,93.4,108.2,99.0,1
1228,1268,+3.0,107.2,95.8,113.1,98.7,0
1228,1281,-7.0,107.2,95.8,101.5,100.9,1
1228,1140,-1.0,107.2,95.8,109.1,100.5,1
1228,1141,-9.5,107.2,95.8,111.6,117.6,1
1228,1237,-12.5,107.2,95.8,107.0,109.8,1
1228,1433,+6.5,107.2,95.8,110.1,96.0,1
1228,1276,+5.5,106.9,103.0,114.6,100.5,0
