Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-2.0,104.8,102.6,103.2,101.6,0
-4.5,104.8,102.6,104.5,100.8,0
-2.0,104.8,102.6,106.3,103.7,0
-4.0,104.8,102.6,105.8,103.7,1
-3.5,104.8,102.6,99.5,96.9,1
-9.0,104.8,102.6,108.5,104.0,0
-2.5,104.8,102.6,103.3,99.1,1
-4.5,104.8,102.6,106.3,105.3,0
-6.0,104.8,102.6,111.3,96.2,1
-5.5,104.8,102.6,100.9,107.0,1
-1.5,104.8,102.6,103.6,103.8,0
-2.0,104.8,102.6,100.8,103.8,0
-4.5,104.8,102.6,108.7,97.4,0
+9.0,104.8,102.6,118.2,97.5,0
-13.5,104.8,102.6,109.7,99.3,1
-3.5,104.8,102.6,105.8,103.7,0
+1.0,104.8,102.6,103.2,101.6,1
-6.0,104.8,102.6,103.8,111.6,0
-10.5,104.8,102.6,113.6,101.1,0
-11.5,104.8,102.6,99.8,109.1,1
-3.5,104.8,102.6,103.2,105.3,0
-5.0,104.8,102.6,104.5,100.8,1
-5.5,104.8,102.6,99.5,96.9,1
-3.5,104.8,102.6,106.3,103.7,0
-1.0,104.8,102.6,106.3,105.3,0
+3.0,104.8,102.6,111.3,96.2,0
-3.0,104.8,102.6,108.5,104.0,0
-4.0,104.8,102.6,103.3,99.1,1
-1.0,104.8,102.6,105.8,103.7,0
