Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1233,1193,-3.0,110.2,107.4,102.4,106.6,0
1233,1264,-6.5,110.2,107.4,99.6,104.5,1
1233,1145,-6.0,110.2,107.4,107.8,104.3,0
1233,1284,-2.0,110.2,107.4,103.9,105.0,1
1233,1351,-2.5,110.2,107.4,109.3,106.8,1
1233,1373,-12.5,110.2,107.4,96.8,109.0,1
1233,1193,-5.5,110.2,107.4,102.4,106.6,1
1233,1389,-5.5,110.2,107.4,95.9,100.8,1
1233,1325,+3.5,110.2,107.4,100.8,103.8,1
1233,1157,-4.0,110.2,107.4,102.1,106.2,0
1233,1297,+2.5,110.2,107.4,108.2,100.9,0
1233,1451,-4.0,110.2,107.4,107.1,106.0,1
1233,1393,+10.5,110.2,107.4,107.7,94.1,0
1233,1310,-2.5,110.2,107.4,110.6,114.1,1
1233,1348,+12.0,110.2,107.4,111.7,97.3,0
1233,1385,+9.5,110.2,107.4,106.7,96.6,0
1233,1463,-4.0,110.2,107.4,104.0,107.2,1
1233,1351,+5.0,110.2,107.4,109.3,106.8,0
1233,1264,-6.5,110.2,107.4,99.6,104.5,1
1233,1310,-5.0,110.2,107.4,110.6,114.1,0
1233,1373,-7.5,110.2,107.4,96.8,109.0,0
1233,1389,-2.5,110.2,107.4,95.9,100.8,1
1233,1284,-8.0,110.2,107.4,103.9,105.0,0
1233,1265,-8.5,110.2,107.4,98.8,113.2,1
1233,1346,-11.5,110.2,107.4,102.1,112.4,1
1233,1193,-2.5,110.2,107.4,102.4,106.6,1
1233,1389,-5.0,110.2,107.4,95.9,100.8,1
1233,1264,-5.0,110.2,107.4,99.6,104.5,1
