Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1254,1263,-5.5,100.2,107.7,91.1,110.7,1
1254,1392,+8.5,97.0,106.8,102.8,99.5,0
1254,1131,+9.5,103.0,118.6,106.3,102.5,0
1254,1186,+4.0,103.0,118.6,105.7,111.3,0
1254,1414,+10.5,103.0,118.6,103.9,95.7,0
1254,1231,+23.5,103.0,118.6,107.8,96.2,0
1254,1136,-3.5,100.2,107.7,101.7,112.0,1
1254,1291,-1.0,100.2,107.7,99.5,103.4,0
1254,1385,+14.0,100.2,107.7,109.0,102.7,1
1254,1291,+5.5,100.2,107.7,99.5,103.4,1
1254,,-5.5,100.2,107.7,100.9,93.7,1
1254,,+4.0,100.1,111.9,109.2,96.0,1
1254,1352,-4.0,100.2,107.7,91.6,100.4,0
1254,1447,+7.5,100.1,111.9,100.7,103.1,0
1254,1357,+2.0,100.1,111.9,99.6,112.7,1
1254,,+12.0,97.0,106.8,106.0,102.4,0
1254,1241,-1.0,110.5,112.6,100.2,101.1,0
1254,1291,-3.5,110.5,112.6,102.5,106.3,1
1254,1447,+6.0,110.5,112.6,97.2,98.4,1
1254,1346,-2.5,110.5,112.6,102.3,105.9,1
1254,1277,+19.0,108.7,107.9,114.7,86.9,0
1254,1352,+1.0,108.7,107.9,105.9,100.9,1
1254,1346,-1.0,108.7,107.9,104.0,102.5,1
1254,1357,-7.0,108.7,107.9,102.6,108.6,1
1254,1314,+18.5,109.6,104.2,111.8,89.6,0
1254,1352,-4.5,109.6,104.2,103.2,101.4,1
1254,1148,-6.5,109.6,104.2,100.8,100.1,1
1254,,-13.5,109.6,104.2,98.9,102.7,1
1254,1346,+9.5,99.8,110.8,103.5,104.5,0
1254,1192,-8.5,99.8,110.8,92.2,109.6,1
