Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1253,1414,-3.0,106.5,108.7,100.5,98.0,0
1253,,-7.0,106.5,108.7,113.5,102.1,1
1253,1168,-2.0,106.5,108.7,105.0,103.6,1
1253,1413,+7.0,106.5,108.7,104.7,101.1,0
1253,1415,+1.5,106.5,108.7,94.9,103.7,1
1253,,-11.0,106.5,108.7,113.5,102.1,1
1253,1414,+7.0,106.5,108.7,100.5,98.0,0
1253,1218,+1.5,106.5,108.7,99.6,102.7,1
1253,1112,+23.0,106.5,108.7,119.0,99.6,0
1253,1304,+9.5,106.5,108.7,110.9,97.5,0
1253,1333,+9.0,106.5,108.7,108.8,101.4,1
1253,1281,+11.0,106.5,108.7,113.3,97.8,0
1253,1452,+26.5,106.5,108.7,119.1,97.4,0
1253,1333,+11.5,106.5,108.7,108.8,101.4,0
1253,1362,+15.0,106.5,108.7,103.1,100.8,1
1253,1161,+9.0,106.5,108.7,103.0,108.5,0
1253,1277,+30.5,106.5,108.7,120.0,93.6,0
1253,1185,+2.0,106.5,108.7,103.4,101.2,0
1253,1381,-2.5,106.5,108.7,102.7,110.1,0
1253,1390,+6.5,106.5,108.7,108.5,99.7,1
1253,1201,+7.0,106.5,108.7,110.1,99.9,0
1253,1168,+5.0,106.5,108.7,105.0,103.6,0
1253,1218,+4.5,106.5,108.7,99.6,102.7,0
1253,1364,-1.5,106.5,108.7,111.9,107.2,0
1253,1142,-8.0,106.5,108.7,98.7,113.3,1
1253,1413,-4.5,106.5,108.7,104.7,101.1,0
1253,1168,+1.5,106.5,108.7,105.0,103.6,0
1253,1415,-8.5,106.5,108.7,94.9,103.7,1
1253,1364,+7.5,106.5,108.7,111.9,107.2,1
