Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-6.5,106.9,105.7,105.7,110.6,1
-11.5,106.9,105.7,99.0,110.8,1
-7.0,106.9,105.7,103.2,105.3,1
-7.5,106.9,105.7,109.5,104.0,0
-9.0,106.9,105.7,110.4,96.6,0
-10.5,106.9,105.7,97.9,105.1,1
-8.0,106.9,105.7,105.3,105.6,0
-11.5,106.9,105.7,108.4,94.6,0
-4.5,106.9,105.7,99.5,96.9,1
-4.5,106.9,105.7,102.4,107.6,1
-9.0,106.9,105.7,102.4,111.6,1
-17.5,106.9,105.7,NaN,NaN,1
-2.5,106.9,105.7,109.3,103.9,0
-8.5,106.9,105.7,113.6,101.1,0
-3.0,106.9,105.7,108.1,107.6,1
-20.0,106.9,105.7,96.0,116.1,1
-11.5,106.9,105.7,109.4,93.9,0
-4.5,106.9,105.7,NaN,NaN,0
-1.0,106.9,105.7,105.3,105.6,0
-5.5,106.9,105.7,97.9,105.1,0
+2.5,106.9,105.7,110.4,96.6,0
-2.0,106.9,105.7,109.5,104.0,1
+2.5,106.9,105.7,108.7,97.4,0
-14.0,106.9,105.7,99.2,112.8,1
-3.5,106.9,105.7,98.3,104.5,0
-3.5,106.9,105.7,95.8,102.8,1
-7.5,106.9,105.7,108.7,97.4,0
-3.5,106.9,105.7,103.2,105.3,1
-2.5,106.9,105.7,105.7,110.6,0
