Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-3.0,NaN,NaN,106.3,103.3,0
-9.5,NaN,NaN,98.3,105.2,1
-6.0,NaN,NaN,110.6,100.8,0
-3.0,NaN,NaN,101.3,101.7,1
-8.5,NaN,NaN,103.9,101.5,0
-9.0,NaN,NaN,105.2,107.3,0
-14.0,NaN,NaN,NaN,NaN,1
-2.0,NaN,NaN,98.3,105.2,1
-6.0,NaN,NaN,106.9,99.5,1
-12.0,NaN,NaN,99.5,103.9,1
-14.5,NaN,NaN,98.3,109.0,1
-17.5,NaN,NaN,95.8,104.1,1
-3.0,NaN,NaN,99.9,101.2,1
-8.0,NaN,NaN,105.0,109.3,1
-4.0,NaN,NaN,100.3,107.8,0
-5.5,NaN,NaN,NaN,NaN,0
-16.5,NaN,NaN,102.7,110.9,1
-1.0,NaN,NaN,93.7,98.9,1
-6.0,NaN,NaN,101.0,112.2,0
-10.0,NaN,NaN,111.6,101.3,0
-8.0,NaN,NaN,96.2,107.0,1
-7.5,NaN,NaN,NaN,NaN,0
-13.0,NaN,NaN,101.0,112.2,0
-2.5,NaN,NaN,103.1,109.6,0
-8.5,NaN,NaN,109.7,93.7,0
-1.5,NaN,NaN,105.5,97.4,0
-11.0,NaN,NaN,109.2,96.0,0
-5.0,NaN,NaN,106.2,109.4,1
-3.0,NaN,NaN,103.1,106.9,0
-3.5,NaN,NaN,105.8,103.3,0
-9.0,NaN,NaN,102.6,94.9,0
-3.0,NaN,NaN,98.2,103.2,1
-3.5,NaN,NaN,109.9,112.0,1
-13.5,NaN,NaN,118.9,99.5,0
-12.0,NaN,NaN,111.1,96.9,0
+7.5,NaN,NaN,107.3,92.5,0
-22.5,NaN,NaN,112.6,88.5,0
-1.0,NaN,NaN,106.3,103.3,0
-13.5,NaN,NaN,102.0,114.2,1
-9.0,NaN,NaN,108.7,96.3,0
-4.5,NaN,NaN,107.9,100.9,1
-9.5,NaN,NaN,112.6,101.9,0
-2.5,NaN,NaN,104.6,103.7,0
-2.5,NaN,NaN,NaN,NaN,0
-1.0,NaN,NaN,NaN,NaN,1
+5.0,NaN,NaN,109.0,99.8,1
-4.0,NaN,NaN,99.5,109.2,1
-1.5,NaN,NaN,101.8,105.4,1
-4.5,NaN,NaN,NaN,NaN,1
-7.0,NaN,NaN,98.7,105.5,1
-5.0,NaN,NaN,109.7,107.6,0
-4.5,NaN,NaN,103.9,101.5,0
-10.5,NaN,NaN,95.8,104.1,0
-8.0,NaN,NaN,98.3,109.0,1
-8.0,NaN,NaN,99.5,103.9,0
-2.0,NaN,NaN,106.9,99.5,0
-3.5,NaN,NaN,NaN,NaN,0
-15.5,NaN,NaN,100.3,107.8,1
-8.5,NaN,NaN,102.7,110.9,1
-9.5,NaN,NaN,NaN,NaN,1
-4.0,NaN,NaN,100.5,98.6,1
-1.5,NaN,NaN,103.4,105.9,1
-5.5,NaN,NaN,93.7,98.9,1
-4.5,NaN,NaN,99.8,109.5,1
-1.0,NaN,NaN,NaN,NaN,0
-7.5,NaN,NaN,103.4,105.9,0
-11.0,NaN,NaN,98.3,107.9,1
-8.5,NaN,NaN,115.6,104.3,0
-3.0,NaN,NaN,103.9,101.5,0
-5.5,NaN,NaN,98.3,105.2,1
+2.0,NaN,NaN,110.6,100.8,1
-6.0,NaN,NaN,101.3,101.7,1
-4.5,NaN,NaN,106.0,96.9,0
-2.0,NaN,NaN,105.0,106.0,1
-8.5,NaN,NaN,NaN,NaN,1
-2.5,NaN,NaN,NaN,NaN,0
-13.0,NaN,NaN,95.8,104.1,1
-11.0,NaN,NaN,105.0,109.3,1
-8.5,NaN,NaN,99.9,101.2,0
-3.0,NaN,NaN,106.6,101.3,0
-6.5,NaN,NaN,103.4,96.5,1
-2.5,NaN,NaN,107.5,112.6,1
-5.5,NaN,NaN,111.6,101.3,0
-6.5,NaN,NaN,93.7,98.9,1
-4.5,NaN,NaN,96.2,107.0,1
-7.5,NaN,NaN,NaN,NaN,1
-13.5,NaN,NaN,124.2,102.5,0
-6.5,NaN,NaN,115.6,104.3,1
-3.5,NaN,NaN,101.1,102.1,1
-7.0,NaN,NaN,105.9,110.3,1
-2.5,NaN,NaN,106.6,106.0,1
-1.5,NaN,NaN,101.1,102.1,0
-9.0,NaN,NaN,101.1,108.1,1
-15.0,NaN,NaN,107.3,92.5,0
