Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-4.0,95.9,106.0,100.1,107.2,0
+4.0,95.9,106.0,106.1,104.9,0
+3.5,95.9,106.0,105.3,102.2,1
-8.5,95.9,106.0,111.6,117.6,0
-10.0,95.9,106.0,98.9,102.4,0
+7.5,95.9,106.0,112.6,106.4,0
-8.0,95.9,106.0,104.7,105.3,0
-12.0,95.9,106.0,108.8,106.1,0
+3.5,95.9,106.0,98.9,102.4,1
+5.5,97.4,104.7,101.6,101.7,1
+4.5,97.4,104.7,110.5,110.0,0
-10.0,97.4,104.7,110.1,101.5,0
-1.0,97.4,104.7,105.9,102.9,0
-6.5,97.4,104.7,103.5,102.6,0
-9.0,97.4,104.7,106.4,107.8,0
+3.0,97.4,104.7,108.6,104.5,0
-3.5,97.4,104.7,100.9,106.7,0
-2.5,102.5,106.6,100.4,108.0,1
-14.0,102.5,106.6,113.3,105.8,0
-7.0,102.5,106.6,102.8,104.0,1
-4.0,95.9,106.0,97.1,108.9,1
-1.5,95.9,106.0,106.8,104.9,0
-5.0,95.9,106.0,106.2,117.3,1
-4.0,95.9,106.0,97.3,108.5,0
-7.5,95.9,106.0,106.5,106.2,0
-3.0,97.4,104.7,102.1,104.0,1
-3.0,97.4,104.7,NaN,NaN,0
+2.0,97.4,104.7,107.0,103.7,1
-7.5,97.4,104.7,95.7,108.1,0
-9.0,97.4,104.7,101.5,111.6,1
-15.5,97.4,104.7,117.1,94.6,0
-6.0,102.5,106.6,98.5,105.7,0
-4.0,102.5,106.6,106.3,107.2,0
-8.0,102.5,106.6,107.8,103.2,0
+4.0,102.5,106.6,106.6,101.3,0
-14.0,102.5,106.6,98.7,111.8,1
-16.0,98.9,103.5,112.9,99.8,0
-14.0,98.9,103.5,111.2,96.4,0
-2.5,95.9,106.0,98.9,107.0,1
-12.0,95.9,106.0,104.2,93.3,0
+3.5,95.9,106.0,107.0,109.8,1
-10.0,95.9,106.0,101.5,100.9,0
-12.5,95.9,106.0,108.8,108.0,0
-16.0,97.4,104.7,106.6,94.0,0
-4.5,97.4,104.7,101.4,99.4,1
-2.5,97.4,104.7,99.9,103.9,0
-22.5,102.5,106.6,115.6,94.8,0
-8.5,102.5,106.6,99.0,105.5,0
-7.5,102.5,106.6,NaN,NaN,0
+9.5,102.5,106.6,109.2,95.0,0
-2.5,98.9,103.5,106.1,106.0,1
-2.0,98.9,103.5,101.9,113.6,1
+4.0,98.9,103.5,100.4,97.1,1
-9.5,98.9,103.5,103.1,107.3,0
+1.5,98.9,103.5,NaN,NaN,1
-14.5,95.9,106.0,112.6,106.4,1
+7.0,95.9,106.0,105.6,99.9,0
-12.5,95.9,106.0,105.3,102.2,0
-9.5,95.9,106.0,104.9,103.3,0
+3.0,95.9,106.0,111.6,117.6,1
+2.0,95.9,106.0,107.1,106.8,0
+4.0,95.9,106.0,104.9,103.3,0
+2.0,97.4,104.7,106.4,107.8,1
+6.0,97.4,104.7,110.1,101.5,1
-11.5,97.4,104.7,110.6,108.1,0
+1.0,97.4,104.7,103.5,102.6,0
-11.5,97.4,104.7,108.6,104.5,0
-6.0,97.4,104.7,103.7,105.4,1
+1.0,97.4,104.7,100.9,106.7,1
-10.0,97.4,104.7,106.7,105.4,0
+5.0,102.5,106.6,105.9,100.7,0
+3.0,102.5,106.6,107.4,102.3,1
-10.5,102.5,106.6,105.1,99.4,1
-11.5,102.5,106.6,105.9,100.7,1
-1.5,102.5,106.6,103.0,108.5,1
-9.0,102.5,106.6,101.8,99.2,0
-11.5,95.9,106.0,107.1,106.8,0
-13.0,95.9,106.0,105.6,99.9,0
-6.0,97.4,104.7,105.9,102.9,0
-6.5,97.4,104.7,103.5,102.6,1
+2.5,97.4,104.7,110.6,108.1,0
-10.0,97.4,104.7,105.9,102.9,1
-7.5,102.5,106.6,101.8,99.2,0
-2.0,102.5,106.6,103.0,108.5,0
+3.5,102.5,106.6,105.1,99.4,1
-5.5,98.9,103.5,106.5,102.7,0
-1.5,98.9,103.5,104.1,106.2,1
+2.5,98.9,103.5,106.5,102.7,0
-5.5,98.9,103.5,104.1,106.2,1
-11.0,98.9,103.5,109.7,103.4,0
-2.0,98.7,105.7,93.0,99.0,0
-6.5,98.7,105.7,96.9,100.8,1
-16.0,98.7,105.7,106.6,97.5,0
-16.5,98.7,105.7,106.8,95.2,0
+2.0,98.7,105.7,107.8,103.4,0
-1.5,102.4,105.1,103.4,106.8,0
+3.5,102.4,105.1,106.6,94.7,0
-8.5,105.5,107.6,103.5,99.5,0
+3.5,105.5,107.6,103.7,99.6,0
+1.0,105.5,107.6,107.4,105.5,1
-9.5,105.5,107.6,104.0,99.1,0
+1.5,103.9,101.1,107.3,99.0,0
+2.0,103.9,101.1,106.6,105.1,1
