Spread,Oeff1,Deff1,Oeff2,Deff2,Result
+5.0,111.5,104.9,118.2,97.5,0
-5.5,111.5,104.9,109.4,93.9,0
-2.5,111.5,104.9,108.4,94.6,1
-8.0,111.5,104.9,117.3,101.7,0
-9.5,111.5,104.9,111.2,94.3,0
+5.0,111.5,104.9,115.1,96.4,1
-11.5,111.5,104.9,118.2,97.5,0
-2.5,111.5,104.9,109.6,97.2,1
-4.5,111.5,104.9,107.8,95.8,0
-10.5,111.5,104.9,114.5,104.0,0
-19.0,111.5,104.9,99.0,110.8,1
-1.5,111.5,104.9,111.9,100.0,0
-11.0,111.5,104.9,109.0,101.8,1
-17.0,111.5,104.9,101.9,113.0,1
-9.0,111.5,104.9,NaN,NaN,1
-2.5,111.5,104.9,105.8,95.8,1
-8.0,111.5,104.9,104.5,100.8,1
-17.5,111.5,104.9,NaN,NaN,1
-9.5,111.5,104.9,105.8,103.7,0
-5.5,111.5,104.9,110.4,96.6,0
+2.0,111.5,104.9,115.0,98.4,0
-9.0,111.5,104.9,116.4,96.0,0
+4.0,111.5,104.9,114.8,92.7,0
-7.5,111.5,104.9,113.3,97.8,1
-7.5,111.5,104.9,109.6,97.2,0
+2.5,111.5,104.9,117.3,101.7,0
-4.5,111.5,104.9,115.6,103.1,0
-1.0,111.5,104.9,113.3,97.8,0
-10.5,111.5,104.9,114.8,92.7,0
+2.5,111.5,104.9,105.8,95.8,0
-3.0,111.5,104.9,115.6,107.5,0
