Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-1.5,108.3,106.0,108.9,102.5,1
-3.5,108.3,106.0,104.8,103.7,0
-9.5,108.3,106.0,103.0,111.1,0
-12.0,108.3,106.0,98.4,102.7,1
-1.5,108.3,106.0,99.6,102.3,1
-4.5,108.3,106.0,108.9,102.5,0
-7.5,108.3,106.0,104.1,103.2,1
-8.5,108.3,106.0,104.8,103.7,0
-8.0,108.3,106.0,107.6,93.6,0
-1.0,100.4,105.8,104.0,99.4,1
-9.0,100.4,105.8,99.4,99.8,0
+1.5,100.4,105.8,107.2,104.4,0
-1.0,100.4,105.8,104.1,112.7,1
-5.5,100.4,105.8,86.6,102.6,1
+13.5,100.4,105.8,111.3,88.7,0
-5.0,100.4,105.8,100.0,101.8,1
+7.0,100.4,105.8,109.6,98.5,1
+7.0,100.4,105.8,108.3,97.8,0
-2.5,98.9,106.5,98.8,103.6,1
-11.5,98.9,106.5,107.7,96.1,0
-4.5,98.9,106.5,93.7,101.3,0
-5.0,108.3,106.0,104.6,104.4,1
-9.0,108.3,106.0,105.8,105.2,1
-6.0,100.4,105.8,110.1,100.5,0
+11.0,100.4,105.8,101.5,104.3,0
+17.5,100.4,105.8,118.0,100.7,0
-4.5,100.4,105.8,107.6,108.6,0
-3.0,98.9,106.5,109.1,110.8,0
-7.0,98.9,106.5,NaN,NaN,1
-9.5,98.9,106.5,111.6,101.6,0
-5.5,98.9,106.5,102.3,101.3,0
-13.5,98.9,106.5,100.3,105.2,1
-11.5,106.5,105.5,114.8,88.3,0
-5.0,106.5,105.5,101.4,95.9,1
-4.5,106.5,105.5,106.1,97.2,1
-1.5,106.5,105.5,100.7,101.4,1
-6.5,108.3,106.0,99.6,102.3,1
-4.5,108.3,106.0,97.6,97.6,1
-5.5,108.3,106.0,103.5,104.5,1
+9.0,108.3,106.0,114.2,100.7,0
-15.5,108.3,106.0,NaN,NaN,1
-13.0,108.3,106.0,104.4,110.7,1
+2.5,108.3,106.0,106.3,100.5,0
-8.5,108.3,106.0,NaN,NaN,1
-3.5,108.3,106.0,104.3,109.5,0
-7.5,100.4,105.8,104.0,99.4,0
-15.5,100.4,105.8,NaN,NaN,0
-13.5,100.4,105.8,107.5,92.0,0
-1.5,100.4,105.8,107.6,108.6,1
+6.0,100.4,105.8,111.2,99.7,0
-5.5,100.4,105.8,99.9,103.9,1
-13.0,100.4,105.8,106.4,98.6,1
+4.5,100.4,105.8,111.2,108.0,0
-4.0,98.9,106.5,98.8,103.6,1
-4.0,98.9,106.5,106.2,109.4,1
-4.0,98.9,106.5,101.8,99.2,0
-9.5,98.9,106.5,102.6,94.9,0
-5.0,98.9,106.5,106.2,109.4,0
+15.0,108.3,106.0,118.7,92.6,0
-3.5,108.3,106.0,98.4,102.7,0
-4.5,108.3,106.0,103.0,111.1,1
+3.5,108.3,106.0,107.6,93.6,0
+1.0,108.3,106.0,97.6,97.6,0
-18.5,108.3,106.0,118.7,92.6,0
-8.0,100.4,105.8,107.2,104.4,0
-6.0,100.4,105.8,104.1,112.7,1
+1.0,100.4,105.8,100.0,101.8,0
-22.0,100.4,105.8,111.3,88.7,0
+1.0,100.4,105.8,99.4,99.8,1
-12.0,100.4,105.8,109.6,98.5,0
-13.5,100.4,105.8,108.3,97.8,0
-14.0,100.4,105.8,86.6,102.6,1
-6.5,98.9,106.5,105.9,102.6,0
-3.0,98.9,106.5,93.7,101.3,1
-2.5,98.9,106.5,105.3,114.3,0
+1.5,98.9,106.5,102.7,103.4,1
+10.5,98.9,106.5,116.3,95.3,0
-7.5,98.9,106.5,106.6,101.3,0
-19.5,98.9,106.5,115.8,93.6,0
-3.5,98.9,106.5,105.9,102.6,0
-17.5,108.3,106.0,118.7,92.6,0
-3.0,108.3,106.0,97.6,97.6,1
-13.5,100.4,105.8,108.3,97.8,0
-2.0,100.4,105.8,104.1,112.7,1
+3.0,98.9,106.5,98.8,103.6,0
-5.0,106.5,105.5,109.0,105.8,0
-15.0,106.5,105.5,117.8,92.4,0
+1.0,106.5,105.5,101.9,99.9,1
-16.0,106.5,105.5,117.8,92.4,0
-13.0,101.0,104.8,111.8,91.5,0
+3.0,101.0,104.8,102.7,103.4,1
-2.5,101.0,104.8,104.4,103.8,1
-2.0,105.3,97.1,110.7,105.6,0
-5.0,114.0,102.9,98.9,102.7,0
-9.0,114.0,102.9,105.0,102.0,1
-5.5,114.0,102.9,102.8,97.4,0
-4.0,114.0,102.9,109.9,103.5,1
-11.0,114.0,102.9,97.0,101.4,1
-6.0,111.8,100.9,106.2,98.3,1
-6.5,111.8,100.9,107.8,102.2,1
-8.0,111.8,100.9,105.4,99.4,1
-9.0,111.8,100.9,101.4,100.7,1
-3.0,111.8,100.9,108.9,96.6,0
-9.5,111.8,100.9,97.8,103.1,1
-4.0,99.4,102.3,102.8,100.4,0
-2.0,108.2,99.8,106.2,93.9,0
-10.5,108.2,99.8,98.8,104.3,1
-2.5,108.2,99.8,105.9,102.7,1
