Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-5.5,113.3,97.8,108.4,94.6,1
-2.0,113.3,97.8,109.6,97.2,0
-1.5,113.3,97.8,118.2,97.5,0
-4.5,113.3,97.8,111.2,94.3,0
-2.0,113.3,97.8,114.8,92.7,1
-4.5,113.3,97.8,117.3,101.7,0
-5.5,113.3,97.8,107.8,95.8,1
-1.0,113.3,97.8,115.1,96.4,0
-1.0,113.3,97.8,105.8,95.8,1
-4.0,113.3,97.8,99.2,93.4,1
-7.5,113.3,97.8,119.1,97.4,0
-1.5,113.3,97.8,106.7,96.6,1
-11.0,113.3,97.8,106.5,108.7,1
-4.0,113.3,97.8,111.9,100.0,0
-18.0,113.3,97.8,103.8,103.9,1
-6.0,113.3,97.8,110.1,103.6,1
-5.0,113.3,97.8,109.8,103.3,0
-14.0,113.3,97.8,105.0,99.4,1
-25.0,113.3,97.8,107.9,118.6,1
-24.0,113.3,97.8,99.8,109.1,1
-23.5,113.3,97.8,99.4,101.9,1
-2.0,113.3,97.8,115.6,107.5,1
-5.0,113.3,97.8,116.4,96.0,0
-7.5,113.3,97.8,111.5,104.9,0
-2.5,113.3,97.8,111.2,94.3,1
-5.0,113.3,97.8,109.6,97.2,1
-1.0,113.3,97.8,111.5,104.9,1
-2.5,113.3,97.8,116.4,96.0,1
-3.0,113.3,97.8,107.8,95.8,0
-3.5,113.3,97.8,117.3,101.7,1
