Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-7.0,99.3,109.4,105.2,107.5,0
-18.5,99.3,109.4,113.1,100.4,0
+1.0,99.3,109.4,98.8,103.9,1
+6.5,99.3,109.4,102.1,100.3,0
-4.5,99.3,109.4,NaN,NaN,1
-4.5,99.3,109.4,NaN,NaN,0
-6.5,99.3,109.4,99.7,113.4,0
-3.5,99.3,109.4,99.3,107.5,0
-21.5,99.3,109.4,115.0,98.4,0
-5.5,99.3,109.4,98.2,109.5,0
+3.5,99.3,109.4,109.3,103.9,1
-27.5,99.3,109.4,120.7,99.0,0
-12.5,99.3,109.4,102.1,100.3,0
-8.5,99.3,109.4,98.8,103.9,0
-23.0,99.3,109.4,115.7,97.9,0
-15.5,99.3,109.4,108.2,100.9,0
-2.0,99.3,109.4,101.9,113.0,1
-3.0,99.3,109.4,NaN,NaN,1
-16.5,99.3,109.4,113.0,104.0,0
-9.0,99.3,109.4,97.8,101.2,0
-3.0,99.3,109.4,101.9,113.0,0
-2.5,99.3,109.4,NaN,NaN,0
+12.0,99.3,109.4,113.0,104.0,0
+1.0,99.3,109.4,97.8,101.2,0
