Spread,Oeff1,Deff1,Oeff2,Deff2,Result
+7.0,105.0,99.8,117.0,93.9,1
-8.5,105.0,99.8,111.3,95.5,0
-2.5,105.0,99.8,101.5,99.3,0
-2.0,105.0,99.8,111.2,101.0,0
-8.5,105.0,99.8,122.3,99.2,0
-2.5,105.0,99.8,113.0,102.5,1
-7.5,105.0,99.8,113.1,98.7,1
-12.0,110.4,101.6,116.9,93.1,0
-15.0,110.4,101.6,123.4,95.5,1
-5.0,110.4,101.6,106.9,103.0,1
-8.0,110.4,101.6,101.5,104.3,1
-6.5,110.4,101.6,97.5,108.1,1
-13.5,110.4,101.6,116.1,95.9,0
+4.5,110.4,101.6,121.7,98.7,0
-7.0,99.6,95.0,112.7,99.7,0
-2.5,99.6,95.0,110.0,100.5,0
+2.0,99.6,95.0,116.6,94.9,1
-2.0,99.6,95.0,112.7,99.7,1
-11.5,105.0,99.8,114.9,100.5,0
+6.5,105.0,99.8,117.3,103.5,0
-9.5,105.0,99.8,124.0,100.4,0
+4.0,105.0,99.8,111.9,96.3,1
-8.5,105.0,99.8,107.9,100.9,1
-17.0,105.0,99.8,100.9,112.2,1
-2.0,110.4,101.6,111.0,103.7,1
+12.5,110.4,101.6,111.2,94.1,0
-15.5,110.4,101.6,98.0,112.4,1
-18.0,110.4,101.6,122.8,90.8,0
-16.5,99.6,95.0,NaN,NaN,1
-14.5,99.6,95.0,102.9,110.5,1
-1.5,99.6,95.0,103.9,92.2,0
-17.5,108.8,96.1,94.4,98.3,1
-3.5,108.8,96.1,109.0,99.6,1
-13.5,105.0,99.8,116.1,101.6,1
-14.0,105.0,99.8,102.7,103.5,0
-19.5,105.0,99.8,121.9,94.5,0
+4.0,105.0,99.8,115.3,96.5,0
-14.0,105.0,99.8,104.2,102.7,1
-3.5,110.4,101.6,111.1,100.1,0
-12.5,110.4,101.6,103.0,108.2,0
-1.0,110.4,101.6,108.4,99.0,1
-5.5,110.4,101.6,113.4,97.6,0
+6.5,110.4,101.6,109.2,96.0,0
-4.0,99.6,95.0,119.8,106.0,0
-5.5,99.6,95.0,103.0,108.5,1
-9.5,99.6,95.0,103.0,111.6,1
-4.0,99.6,95.0,105.1,101.4,0
-5.0,99.6,95.0,108.2,94.0,1
-7.0,99.6,95.0,111.0,102.6,0
-2.5,99.6,95.0,105.6,99.3,1
-14.5,108.8,96.1,120.2,99.8,0
-11.0,108.8,96.1,109.7,90.4,0
-4.0,105.0,99.8,107.2,95.8,0
-4.0,105.0,99.8,111.4,95.9,0
-2.0,105.0,99.8,111.2,101.0,1
-4.5,105.0,99.8,104.5,97.2,1
+8.5,105.0,99.8,115.1,92.1,0
-4.5,105.0,99.8,113.0,102.5,0
+1.5,105.0,99.8,111.4,95.9,0
-1.5,110.4,101.6,103.4,100.8,0
-2.0,110.4,101.6,107.0,97.0,0
-11.5,110.4,101.6,121.7,98.7,0
-7.5,110.4,101.6,103.4,100.8,1
-8.0,110.4,101.6,110.1,93.6,0
-19.0,110.4,101.6,97.5,108.1,1
+6.0,110.4,101.6,116.2,95.9,0
-13.5,99.6,95.0,115.6,94.8,0
+1.5,99.6,95.0,114.2,95.1,0
-8.0,99.6,95.0,111.3,95.7,0
-7.5,99.6,95.0,110.9,97.0,0
+8.0,99.6,95.0,129.0,95.2,0
-3.5,99.6,95.0,105.3,97.2,0
-7.5,99.6,95.0,107.8,103.2,1
-3.0,108.8,96.1,106.5,93.4,0
-5.5,108.8,96.1,108.4,100.5,1
-5.0,108.8,96.1,110.3,101.3,1
+1.5,105.0,99.8,104.5,97.2,0
+5.0,105.0,99.8,122.3,99.2,0
-7.5,105.0,99.8,109.7,93.7,0
-8.0,110.4,101.6,116.2,95.9,0
-5.5,110.4,101.6,110.1,93.6,1
-14.5,110.4,101.6,97.5,108.1,1
-5.0,110.4,101.6,111.1,100.1,0
+3.5,110.4,101.6,116.9,93.1,0
+2.0,99.6,95.0,105.3,97.2,0
+3.0,99.6,95.0,111.3,95.7,0
-8.5,99.6,95.0,108.3,96.7,0
-3.5,108.8,96.1,118.9,99.5,0
+5.5,108.8,96.1,109.3,88.0,0
+3.0,108.8,96.1,122.0,96.1,1
-6.0,108.8,96.1,107.8,96.2,1
-9.0,108.8,96.1,98.3,94.9,1
-14.5,102.1,99.1,115.1,89.7,0
-5.5,102.1,99.1,107.0,96.6,1
-13.0,102.1,99.1,109.8,91.9,0
+8.5,102.1,99.1,114.8,95.0,1
-13.5,102.1,99.1,110.6,94.8,0
-9.0,103.4,101.7,116.2,99.9,0
-9.0,103.4,101.7,108.5,95.8,0
-6.0,104.9,93.1,113.9,95.9,0
-4.0,104.9,93.1,106.7,96.5,0
-4.0,104.9,93.1,117.7,104.3,0
-2.0,104.9,93.1,113.4,97.8,1
-8.0,107.0,98.7,112.6,91.2,0
-10.5,107.0,98.7,111.5,91.5,1
