Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1295,1331,-7.0,104.6,104.4,104.4,110.7,1
1295,1442,-3.0,104.6,104.4,97.1,108.9,1
1295,1236,-1.5,104.6,104.4,108.8,108.0,1
1295,1176,-2.0,104.6,104.4,107.7,109.2,0
1295,1377,-2.0,104.6,104.4,104.2,102.7,1
1295,1237,-5.5,104.6,104.4,107.0,109.8,1
1295,1442,-1.5,101.9,99.8,101.2,107.1,1
1295,NaN,+1.5,101.9,99.8,NaN,NaN,0
1295,1355,+2.0,101.9,99.8,111.4,101.8,1
1295,1377,-7.0,101.9,99.8,106.0,111.0,1
1295,1331,+2.5,101.9,99.8,107.6,108.6,0
1295,1303,-6.0,101.9,99.8,109.7,107.9,0
1295,1176,-8.0,101.9,99.8,102.9,105.9,1
1295,1176,-6.0,103.8,102.4,106.0,110.6,1
1295,NaN,-1.5,103.8,102.4,NaN,NaN,0
1295,1237,-2.5,103.8,102.4,94.0,103.4,1
1295,1442,-12.5,103.8,102.4,91.5,108.1,1
1295,1377,+1.0,103.8,102.4,103.4,107.8,0
1295,1303,+3.0,103.8,102.4,102.9,110.5,1
1295,1355,-4.0,103.8,102.4,108.8,102.0,1
1295,1331,-4.5,103.8,102.4,106.2,109.4,1
1295,1462,+17.0,104.6,104.4,115.7,99.0,0
1295,1283,+5.0,104.6,104.4,108.3,106.0,0
1295,1219,+1.5,104.6,104.4,98.9,108.1,1
1295,1422,-3.5,104.6,104.4,107.7,104.5,0
1295,1117,-12.0,104.6,104.4,106.3,103.3,1
1295,1285,-6.5,101.9,99.8,106.9,104.6,1
1295,1228,+5.5,101.9,99.8,106.9,103.0,0
1295,1413,-3.0,101.9,99.8,93.9,100.5,1
1295,1286,-5.0,103.8,102.4,95.7,110.8,1
1295,1234,+19.5,103.8,102.4,114.2,95.1,0
1295,1400,+18.5,103.8,102.4,112.4,93.4,0
1295,1351,-8.5,115.5,103.7,106.9,111.4,1
1295,1365,-3.5,115.5,103.7,107.3,106.1,1
1295,1315,-5.0,115.5,103.7,104.3,112.1,0
1295,1444,-4.5,115.5,103.7,106.3,103.0,1
1295,1303,-7.5,104.6,104.4,108.6,109.0,1
1295,1116,+15.0,104.6,104.4,116.1,99.8,0
1295,1315,+5.0,104.6,104.4,103.6,103.5,1
1295,1413,-10.5,104.6,104.4,97.8,102.2,1
1295,1315,-5.5,104.6,104.4,103.6,103.5,0
1295,1429,+6.0,101.9,99.8,111.2,108.0,0
1295,NaN,-17.0,101.9,99.8,NaN,NaN,1
1295,1226,-15.5,101.9,99.8,99.1,109.0,1
1295,1286,-13.0,101.9,99.8,106.5,113.7,1
1295,1315,-7.0,101.9,99.8,99.6,103.0,1
1295,1379,-12.0,101.9,99.8,96.5,110.3,0
1295,1117,-5.0,101.9,99.8,100.3,107.8,1
1295,1235,+16.0,101.9,99.8,121.2,100.3,0
1295,1108,-17.0,103.8,102.4,92.9,117.3,1
1295,1245,+3.0,103.8,102.4,107.4,102.3,0
1295,1103,+1.5,103.8,102.4,105.1,99.4,1
1295,1315,-7.5,103.8,102.4,96.9,110.6,1
1295,1285,+6.0,103.8,102.4,106.0,105.8,0
1295,1379,+3.0,103.8,102.4,97.3,111.0,0
1295,1331,-2.0,104.6,104.4,104.4,110.7,1
1295,1442,-11.0,104.6,104.4,97.1,108.9,1
1295,1236,+4.5,104.6,104.4,108.8,108.0,0
1295,1176,-5.0,104.6,104.4,107.7,109.2,1
1295,1355,-5.5,104.6,104.4,110.2,111.4,1
1295,1377,-6.5,104.6,104.4,104.2,102.7,0
1295,1237,-2.0,104.6,104.4,107.0,109.8,0
1295,1355,+11.5,101.9,99.8,111.4,101.8,0
1295,1237,-7.5,101.9,99.8,99.9,103.9,1
1295,1442,-7.5,101.9,99.8,101.2,107.1,1
1295,1303,+4.0,101.9,99.8,109.7,107.9,0
1295,1377,+1.5,101.9,99.8,106.0,111.0,0
1295,NaN,-4.0,101.9,99.8,NaN,NaN,1
1295,1331,-6.0,101.9,99.8,107.6,108.6,1
1295,1331,+1.5,103.8,102.4,106.2,109.4,0
1295,NaN,-5.5,103.8,102.4,NaN,NaN,1
1295,1237,-9.5,103.8,102.4,94.0,103.4,1
1295,1355,+7.0,103.8,102.4,108.8,102.0,0
1295,1176,+3.5,103.8,102.4,106.0,110.6,1
1295,1377,-9.0,103.8,102.4,103.4,107.8,1
1295,1237,-5.0,104.6,104.4,107.0,109.8,0
1295,1355,+5.5,101.9,99.8,111.4,101.8,0
1295,NaN,+3.5,101.9,99.8,NaN,NaN,1
1295,1237,-5.0,101.9,99.8,99.9,103.9,1
1295,1211,+17.0,103.8,102.4,121.7,93.9,0
1295,1355,+4.5,103.8,102.4,108.8,102.0,1
1295,1331,-3.0,103.8,102.4,106.2,109.4,1
1295,1176,-2.5,103.8,102.4,106.0,110.6,1
1295,1355,+4.0,115.5,103.7,107.0,104.2,0
1295,1328,+3.5,115.5,103.7,117.9,100.0,1
1295,NaN,-8.0,115.5,103.7,NaN,NaN,1
1295,1176,-7.0,115.5,103.7,110.6,107.7,1
1295,1176,-10.5,115.5,103.7,110.6,107.7,1
1295,1444,-1.0,105.5,95.4,102.6,100.0,0
1295,1355,-1.0,105.5,95.4,112.0,105.2,0
1295,1442,-6.0,105.5,95.4,97.3,96.6,1
1295,1282,-16.0,105.5,95.4,93.7,109.1,1
1295,1303,-15.5,105.5,95.4,101.8,118.1,1
1295,1461,+9.5,106.0,105.4,101.7,93.7,0
1295,1442,-3.5,106.0,105.4,97.1,98.4,0
1295,1331,+3.0,104.8,104.4,110.2,106.4,0
1295,1331,+8.5,96.6,104.3,102.3,99.4,0
1295,1242,+8.5,114.3,102.0,114.5,90.7,0
1295,1324,-4.5,114.3,102.0,114.2,107.8,1
