Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1317,1330,+9.0,96.3,110.8,100.7,97.2,0
1317,1150,+3.0,96.3,110.8,103.1,109.5,0
1317,1256,+16.5,96.3,110.8,107.9,100.9,0
1317,1379,+1.5,96.3,110.8,93.0,108.5,0
1317,1349,+13.0,96.3,110.8,107.8,107.1,0
1317,1292,+12.0,96.3,110.8,112.2,97.2,0
1317,1412,+6.5,96.3,110.8,103.9,106.4,0
1317,1330,+13.0,96.3,110.8,100.7,97.2,0
1317,1349,+7.5,100.8,112.7,105.7,115.8,0
1317,1412,+16.0,100.8,112.7,109.3,104.2,0
1317,1292,+13.5,100.8,112.7,104.6,99.9,0
1317,1443,+4.0,100.8,112.7,108.6,109.2,0
1317,1267,+5.0,100.8,112.7,111.0,109.1,0
1317,1349,-1.0,100.8,112.7,105.7,115.8,1
1317,1431,+9.0,100.8,112.7,102.6,107.6,0
1317,1427,-2.5,100.8,112.7,97.9,116.9,1
1317,1349,-5.0,98.6,105.2,102.0,105.6,1
1317,1379,-7.5,98.6,105.2,97.3,111.0,0
1317,1256,+10.0,98.6,105.2,109.0,99.8,1
1317,1330,+14.5,98.6,105.2,106.5,96.3,0
1317,1150,+11.0,98.6,105.2,109.9,108.0,0
1317,1349,+2.0,98.6,105.2,102.0,105.6,1
1317,1427,-6.0,98.6,105.2,106.4,110.0,0
1317,1310,-3.0,96.3,110.8,101.4,109.3,1
1317,1180,-4.0,96.3,110.8,102.9,110.1,0
1317,1403,+19.5,96.3,110.8,112.6,97.5,0
1317,1320,+20.0,100.8,112.7,109.6,98.5,0
1317,1407,-4.5,100.8,112.7,98.3,109.0,0
1317,1359,-4.5,100.8,112.7,103.0,108.2,0
1317,1225,-5.5,100.8,112.7,98.6,103.5,0
1317,1116,+26.0,98.6,105.2,114.7,98.3,0
1317,1233,+6.0,98.6,105.2,113.6,107.4,0
1317,1339,+12.5,99.4,104.9,109.2,103.8,1
1317,1225,-2.0,99.4,104.9,105.4,112.5,0
1317,1150,+7.5,96.3,110.8,103.1,109.5,0
1317,1360,-6.5,96.3,110.8,100.0,108.4,0
1317,1426,+12.5,96.3,110.8,110.6,100.8,0
1317,1166,+19.5,100.8,112.7,113.4,97.6,0
1317,1356,+13.5,100.8,112.7,107.2,104.4,0
1317,1356,+6.0,100.8,112.7,107.2,104.4,0
1317,1426,+16.5,100.8,112.7,106.9,99.5,0
1317,1403,+11.5,98.6,105.2,102.3,101.3,0
1317,1166,+8.5,98.6,105.2,111.0,102.6,1
1317,1329,+20.5,98.6,105.2,111.8,96.8,0
1317,1401,+14.0,99.4,104.9,101.4,95.9,1
1317,1379,-5.0,96.3,110.8,93.0,108.5,0
1317,1256,+10.5,96.3,110.8,107.9,100.9,0
1317,1427,-1.5,96.3,110.8,95.4,102.7,1
1317,1431,+4.0,96.3,110.8,99.7,102.7,0
1317,1198,+6.0,96.3,110.8,102.9,112.5,0
1317,1194,+6.5,96.3,110.8,98.6,107.9,1
1317,1349,+8.0,96.3,110.8,107.8,107.1,0
1317,1379,+1.5,100.8,112.7,96.5,110.3,0
1317,1256,+10.5,100.8,112.7,104.6,103.7,0
1317,1194,-5.0,100.8,112.7,95.7,108.1,1
1317,1198,+2.0,100.8,112.7,103.2,108.8,1
1317,1150,+11.0,100.8,112.7,105.8,108.7,0
1317,1330,+12.5,100.8,112.7,107.0,99.5,0
1317,1256,+5.5,100.8,112.7,104.6,103.7,1
1317,1379,-4.5,100.8,112.7,96.5,110.3,1
1317,1330,+5.5,98.6,105.2,106.5,96.3,0
1317,1150,+3.5,98.6,105.2,109.9,108.0,1
1317,1198,+1.5,98.6,105.2,96.0,104.6,1
1317,1194,+2.0,98.6,105.2,98.7,109.0,1
1317,1292,+2.0,98.6,105.2,102.3,101.7,1
1317,1412,+4.0,98.6,105.2,104.9,101.9,1
1317,1267,+2.5,98.6,105.2,96.3,104.3,0
1317,1443,+9.5,98.6,105.2,105.0,102.7,0
1317,1267,+14.5,96.3,110.8,110.8,109.7,0
1317,1443,+10.5,96.3,110.8,103.0,109.1,0
1317,1443,+8.0,100.8,112.7,108.6,109.2,0
1317,1150,+6.5,100.8,112.7,105.8,108.7,1
1317,1330,+7.0,100.8,112.7,107.0,99.5,0
1317,1349,-2.5,98.6,105.2,102.0,105.6,0
1317,1427,+4.5,98.6,105.2,106.4,110.0,0
1317,1431,+11.5,98.6,105.2,106.2,99.6,0
1317,1408,-2.5,99.4,104.9,99.7,111.1,0
1317,1349,-6.0,99.4,104.9,94.7,107.9,1
1317,1409,+7.0,99.4,104.9,106.1,97.2,0
1317,1431,+4.5,99.4,104.9,105.3,99.3,0
1317,1418,-3.5,97.2,105.5,NaN,NaN,0
1317,1443,-3.0,100.7,100.3,97.8,100.5,0
1317,1117,-1.5,100.7,100.3,102.6,105.3,1
1317,1418,-3.0,100.7,100.3,NaN,NaN,1
1317,1114,-3.5,109.0,109.8,NaN,NaN,0
1317,1443,+1.5,109.0,109.8,100.5,105.1,1
1317,1194,+4.0,109.0,109.8,102.9,104.8,1
1317,1407,-5.5,109.0,109.8,97.8,108.0,1
1317,1114,+1.5,109.0,109.8,NaN,NaN,1
1317,1243,+15.5,103.4,103.8,116.1,90.6,0
1317,1407,-1.0,103.4,103.8,105.1,105.8,1
1317,1176,-1.0,103.4,103.8,106.2,107.7,1
1317,1419,-8.0,103.4,103.8,NaN,NaN,1
1317,1443,+4.5,109.0,108.0,111.1,103.0,0
1317,1292,-1.0,109.0,108.0,104.5,104.6,1
