Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-7.5,109.2,101.0,115.9,92.7,0
-2.0,109.2,101.0,109.0,104.0,1
-3.0,109.2,101.0,113.0,95.9,1
+3.5,109.2,101.0,116.1,95.0,0
-3.0,109.2,101.0,109.7,99.3,0
-4.0,109.2,101.0,109.0,104.0,1
-5.5,109.2,101.0,113.0,95.9,0
-7.5,109.2,101.0,110.9,97.5,0
-2.0,109.2,101.0,103.9,98.9,0
+3.0,109.2,101.0,114.0,92.1,0
-7.5,109.2,101.0,105.1,104.1,1
-5.0,109.2,101.0,116.4,99.2,0
-18.0,109.2,101.0,95.9,100.8,1
-17.0,109.2,101.0,101.1,110.3,1
-9.5,109.2,101.0,115.1,100.7,0
-5.5,109.2,101.0,104.7,98.0,1
-10.5,109.2,101.0,103.2,101.6,1
-27.0,109.2,101.0,96.9,119.4,1
-13.5,109.2,101.0,123.2,96.6,0
-5.0,109.2,101.0,109.8,103.3,1
-3.5,109.2,101.0,116.7,108.8,0
-3.0,109.2,101.0,110.0,99.4,0
-1.5,109.2,101.0,114.1,99.4,0
+9.0,109.2,101.0,120.0,93.6,0
-3.0,109.2,101.0,99.4,96.5,0
-4.5,109.2,101.0,114.1,99.4,0
+1.5,109.2,101.0,115.9,92.7,1
-2.5,109.2,101.0,110.0,99.4,1
-5.5,109.2,101.0,113.0,95.9,0
