Spread,Oeff1,Deff1,Oeff2,Deff2,Result
+1.0,112.1,98.6,120.6,101.7,0
-7.0,112.1,98.6,117.3,101.7,0
-9.5,112.1,98.6,114.0,92.1,0
+2.0,112.1,98.6,115.1,100.7,1
-4.5,112.1,98.6,111.2,95.0,0
-2.0,112.1,98.6,109.4,93.9,1
-3.0,112.1,98.6,112.2,97.4,0
-7.5,112.1,98.6,110.1,103.6,1
-9.5,112.1,98.6,115.1,100.7,0
-23.0,112.1,98.6,105.2,107.5,1
-12.0,112.1,98.6,99.2,104.8,1
+5.0,112.1,98.6,111.2,94.3,0
-19.0,112.1,98.6,106.3,112.3,1
-14.5,112.1,98.6,99.2,112.8,1
-15.5,112.1,98.6,105.7,114.5,1
+3.0,112.1,98.6,119.1,97.4,0
-12.5,112.1,98.6,108.6,102.4,1
-6.0,112.1,98.6,115.8,100.0,1
+5.5,112.1,98.6,121.9,101.8,0
-2.0,112.1,98.6,110.1,103.6,1
-5.0,112.1,98.6,109.4,93.9,0
+4.0,112.1,98.6,114.0,92.1,1
-7.0,112.1,98.6,120.6,101.7,0
-3.5,112.1,98.6,112.2,97.4,0
-12.5,112.1,98.6,119.1,97.4,1
-2.0,112.1,98.6,111.2,95.0,0
-11.5,112.1,98.6,120.9,97.7,1
-6.0,112.1,98.6,120.9,97.7,0
+1.5,112.1,98.6,115.1,100.7,1
+3.0,112.1,98.6,120.9,97.7,1
