Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1330,1150,-13.5,108.7,97.4,99.2,112.8,1
1330,1194,-8.0,108.7,97.4,95.8,102.8,1
1330,1198,-10.0,108.7,97.4,98.3,104.5,1
1330,1267,-9.5,108.7,97.4,109.3,103.9,1
1330,1443,-2.5,108.7,97.4,113.6,101.1,0
1330,1317,-7.0,108.7,97.4,103.2,105.3,1
1330,1349,-15.5,108.7,97.4,99.0,110.8,1
1330,1456,-6.5,108.7,97.4,115.4,115.5,0
1330,1173,-2.0,108.7,97.4,108.6,108.6,1
1330,1232,-4.5,108.7,97.4,104.8,102.6,1
1330,1396,-3.5,108.7,97.4,109.0,100.8,0
1330,1241,-5.0,108.7,97.4,101.5,107.7,1
1330,1406,-5.0,108.7,97.4,106.1,105.1,1
1330,1150,-17.0,108.7,97.4,99.2,112.8,1
1330,1193,-7.5,108.7,97.4,102.4,106.6,1
1330,1132,-13.5,108.7,97.4,102.4,108.6,1
1330,1350,-11.0,108.7,97.4,107.6,108.4,1
1330,1433,-2.0,108.7,97.4,106.4,104.1,0
1330,1443,-3.5,108.7,97.4,113.6,101.1,0
1330,1267,-3.0,108.7,97.4,109.3,103.9,1
1330,1431,-15.5,108.7,97.4,97.9,105.1,1
1330,1427,-12.5,108.7,97.4,105.3,105.6,1
1330,1256,-2.5,108.7,97.4,106.9,105.7,1
1330,1379,-7.5,108.7,97.4,105.7,110.6,1
1330,1412,-5.5,108.7,97.4,109.5,104.0,1
1330,1292,-3.0,108.7,97.4,110.4,96.6,0
1330,1443,+1.5,108.7,97.4,113.6,101.1,0
1330,1256,-7.5,108.7,97.4,106.9,105.7,1
1330,1198,-15.0,108.7,97.4,98.3,104.5,1
1330,1194,-16.0,108.7,97.4,95.8,102.8,1
