Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-8.0,108.8,101.4,110.9,100.3,0
+3.0,108.8,101.4,115.4,100.1,0
-12.0,108.8,101.4,117.6,102.9,0
-15.5,108.8,101.4,119.0,99.6,0
+2.5,108.8,101.4,110.9,100.3,1
-13.5,108.8,101.4,98.8,113.2,1
-9.0,108.8,101.4,106.5,108.7,0
+6.0,108.8,101.4,106.7,96.6,0
-11.5,108.8,101.4,106.5,108.7,1
-7.5,108.8,101.4,105.9,100.8,0
-23.5,108.8,101.4,102.7,110.1,1
-4.5,108.8,101.4,105.4,99.7,1
-4.5,108.8,101.4,102.4,106.9,0
-7.5,108.8,101.4,102.4,100.3,1
-6.0,108.8,101.4,102.1,100.3,1
-24.5,108.8,101.4,NaN,NaN,1
-15.0,108.8,101.4,101.9,113.0,1
-10.0,108.8,101.4,107.9,113.3,1
+1.5,108.8,101.4,117.6,102.9,1
+4.5,108.8,101.4,119.0,99.6,0
-7.5,108.8,101.4,115.4,100.1,0
-7.0,108.8,101.4,116.4,102.0,0
-6.5,108.8,101.4,106.3,99.2,1
-9.0,108.8,101.4,108.8,110.2,1
-3.5,108.8,101.4,98.7,105.5,0
-4.5,108.8,101.4,108.5,99.7,0
-6.0,108.8,101.4,115.4,100.1,0
-2.5,108.8,101.4,106.3,99.2,1
-3.0,108.8,101.4,108.8,110.2,1
-3.0,108.8,101.4,106.3,99.2,0
