Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-11.0,107.6,108.4,117.4,102.5,1
-3.5,107.6,108.4,104.9,108.5,1
+1.0,107.6,108.4,105.1,104.1,1
-8.5,107.6,108.4,106.4,104.1,1
-2.0,107.6,108.4,103.7,106.4,1
+2.5,107.6,108.4,108.6,108.6,0
-5.0,107.6,108.4,102.4,100.3,0
-1.0,107.6,108.4,94.7,106.4,0
+3.5,107.6,108.4,113.5,102.1,0
+6.5,107.6,108.4,NaN,NaN,0
-17.5,107.6,108.4,113.1,86.1,0
-9.5,107.6,108.4,109.5,104.0,1
-3.0,107.6,108.4,102.1,100.3,0
-9.5,107.6,108.4,102.2,109.9,0
+6.5,107.6,108.4,117.4,102.5,1
-10.5,107.6,108.4,113.8,103.1,0
-4.5,107.6,108.4,101.5,107.7,1
-11.0,107.6,108.4,108.7,97.4,0
-9.0,107.6,108.4,111.1,103.1,0
-6.0,107.6,108.4,106.7,110.8,1
-1.0,107.6,108.4,105.7,100.7,0
-3.5,107.6,108.4,103.7,106.4,0
-2.5,107.6,108.4,102.4,100.3,0
-13.5,107.6,108.4,111.7,97.3,0
-10.5,107.6,108.4,112.3,101.1,0
-7.0,107.6,108.4,102.4,107.6,0
-7.5,107.6,108.4,112.3,101.1,0
-2.0,107.6,108.4,104.9,108.5,1
-1.0,107.6,108.4,102.4,107.6,1
