Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1170,1340,-1.5,100.9,112.2,104.3,110.8,1
1170,1285,+6.0,100.9,112.2,106.1,108.2,1
1170,1319,-2.0,100.9,112.2,95.1,110.4,1
1170,1381,-2.5,100.9,112.2,101.3,119.7,1
1170,1340,-9.5,100.9,112.2,104.3,110.8,0
1170,1186,-8.0,98.8,108.9,111.8,115.1,0
1170,1225,-4.5,98.8,108.9,98.6,103.5,1
1170,1340,-4.0,98.8,108.9,102.1,110.4,0
1170,1451,+6.0,98.8,108.9,103.4,100.9,0
1170,1226,-10.0,98.8,108.9,99.1,109.0,1
1170,1285,-8.5,98.8,108.9,106.9,104.6,0
1170,1286,-2.5,98.8,108.9,106.5,113.7,0
1170,1340,-2.0,98.8,108.9,102.1,110.4,0
1170,1285,-3.0,109.0,111.3,106.0,105.8,1
1170,1286,-10.0,109.0,111.3,95.7,110.8,1
1170,1451,-4.0,109.0,111.3,99.9,108.3,1
1170,1226,-4.0,109.0,111.3,97.5,111.3,1
1170,1186,+1.0,109.0,111.3,112.9,109.6,1
1170,1225,-4.5,109.0,111.3,107.7,112.9,1
1170,1294,-4.0,109.0,111.3,110.4,117.9,0
1170,1315,-2.5,109.0,111.3,96.9,110.6,1
1170,1381,-11.5,109.0,111.3,98.7,111.8,1
1170,1176,+1.5,100.9,112.2,107.7,109.2,0
1170,1362,+4.0,100.9,112.2,102.8,98.0,0
1170,1413,-2.5,100.9,112.2,97.8,102.2,0
1170,1304,-17.0,100.9,112.2,105.0,99.8,0
1170,1160,-20.5,100.9,112.2,112.6,102.3,0
1170,1334,-4.5,98.8,108.9,100.6,106.3,1
1170,1377,-6.5,98.8,108.9,106.0,111.0,0
1170,1413,-2.5,98.8,108.9,93.9,100.5,1
1170,1113,-18.0,98.8,108.9,109.6,101.2,1
1170,1415,-1.0,109.0,111.3,98.5,102.8,1
1170,1211,-23.5,109.0,111.3,121.7,93.9,0
1170,1414,+10.5,103.4,112.8,103.9,95.7,0
1170,1413,-7.5,103.4,112.8,101.3,116.4,1
1170,1417,-22.0,103.4,112.8,118.7,96.1,0
1170,1315,+6.5,100.9,112.2,103.6,103.5,0
1170,1294,-3.0,100.9,112.2,96.6,106.9,0
1170,1450,-9.5,100.9,112.2,104.4,106.1,0
1170,1101,+5.0,100.9,112.2,97.0,108.8,1
1170,1377,-8.5,100.9,112.2,104.2,102.7,0
1170,1334,-10.0,100.9,112.2,99.5,106.5,0
1170,1390,-11.5,98.8,108.9,108.0,100.5,0
1170,1339,-5.5,98.8,108.9,107.1,111.1,0
1170,1413,-6.0,98.8,108.9,93.9,100.5,0
1170,1339,+1.0,109.0,111.3,109.0,105.8,0
1170,1168,-4.0,109.0,111.3,99.1,109.7,1
1170,1414,-14.5,109.0,111.3,106.3,99.2,0
1170,1415,-1.5,103.4,112.8,98.7,107.7,1
1170,1168,-10.0,103.4,112.8,100.9,107.5,0
1170,1431,-17.0,103.4,112.8,105.3,99.3,0
1170,1381,-8.5,100.9,112.2,101.3,119.7,1
1170,1319,-8.5,100.9,112.2,95.1,110.4,0
1170,1286,-6.5,100.9,112.2,103.1,109.6,0
1170,1285,-10.5,100.9,112.2,106.1,108.2,1
1170,1226,-5.5,100.9,112.2,97.9,115.8,1
1170,1451,+7.0,100.9,112.2,108.5,109.0,1
1170,1225,-8.0,100.9,112.2,101.8,106.0,0
1170,1186,-9.5,100.9,112.2,109.6,110.8,0
1170,1315,-5.0,98.8,108.9,99.6,103.0,0
1170,1294,-2.0,98.8,108.9,103.3,118.0,0
1170,1225,-1.5,98.8,108.9,98.6,103.5,1
1170,1186,+2.5,98.8,108.9,111.8,115.1,0
1170,1226,-2.5,98.8,108.9,99.1,109.0,0
1170,1451,-13.5,98.8,108.9,103.4,100.9,0
1170,1286,-5.5,98.8,108.9,106.5,113.7,0
1170,1285,+3.5,98.8,108.9,106.9,104.6,1
1170,1340,-2.5,109.0,111.3,102.9,110.7,1
1170,1315,-10.5,109.0,111.3,96.9,110.6,1
1170,1294,-5.0,109.0,111.3,110.4,117.9,1
1170,1225,-2.0,109.0,111.3,107.7,112.9,0
1170,1186,-8.0,109.0,111.3,112.9,109.6,0
1170,1340,-7.5,109.0,111.3,102.9,110.7,1
1170,1186,-6.0,100.9,112.2,109.6,110.8,0
1170,1226,-4.0,100.9,112.2,97.9,115.8,1
1170,1294,-3.5,100.9,112.2,96.6,106.9,0
1170,1315,-9.5,100.9,112.2,103.6,103.5,1
1170,1285,-8.5,98.8,108.9,106.9,104.6,0
1170,1286,-2.5,98.8,108.9,106.5,113.7,1
1170,1319,-8.5,98.8,108.9,92.5,113.1,1
1170,1381,-9.5,98.8,108.9,98.2,118.5,1
1170,1319,-3.5,109.0,111.3,102.2,103.4,0
1170,1339,-8.5,109.0,111.3,109.0,105.8,1
1170,1186,-5.5,109.0,111.3,112.9,109.6,0
1170,1340,-3.5,109.0,111.3,102.9,110.7,1
1170,1319,-5.0,109.0,111.3,102.2,103.4,0
1170,1381,-4.5,109.0,111.3,98.7,111.8,0
1170,1315,-5.5,103.4,112.8,104.3,112.1,0
1170,1286,-4.5,103.4,112.8,95.0,108.5,1
1170,1285,+1.0,103.4,112.8,107.4,111.9,0
1170,1226,-4.5,103.4,112.8,104.0,111.6,0
1170,1286,-3.0,97.0,107.9,100.4,113.8,0
1170,1285,-10.5,97.0,107.9,104.9,102.8,0
1170,1226,-7.0,97.0,107.9,91.9,108.1,1
1170,1294,-15.5,93.5,109.9,106.3,102.2,0
1170,1451,+6.0,90.0,112.4,99.6,102.4,0
1170,1413,-6.0,90.0,112.4,97.9,115.6,0
1170,1319,-6.5,106.7,106.7,103.9,104.0,0
1170,1286,-1.5,106.7,106.7,103.4,108.7,1
1170,1451,-2.5,95.4,108.0,101.2,109.6,0
