Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-2.5,95.9,100.8,96.8,109.0,0
-6.5,95.9,100.8,109.3,106.8,0
-4.5,95.9,100.8,99.6,104.5,0
-3.5,95.9,100.8,109.3,106.8,0
-1.5,95.9,100.8,110.6,114.1,0
-4.0,95.9,100.8,107.8,104.3,0
-6.5,95.9,100.8,102.1,112.4,1
-5.5,95.9,100.8,110.2,107.4,0
-4.0,95.9,100.8,97.2,102.5,0
-6.0,95.9,100.8,96.4,108.8,1
-18.0,95.9,100.8,109.2,101.0,0
-9.0,95.9,100.8,105.1,104.1,0
+1.5,95.9,100.8,103.9,105.0,1
-2.5,95.9,100.8,102.4,106.6,0
-21.0,95.9,100.8,116.3,99.0,0
-4.5,95.9,100.8,103.8,111.6,0
-7.5,95.9,100.8,96.8,109.0,1
-1.5,95.9,100.8,102.1,112.4,1
-3.5,95.9,100.8,98.8,113.2,0
-3.0,95.9,100.8,103.9,105.0,0
+2.5,95.9,100.8,110.2,107.4,0
-9.0,95.9,100.8,98.8,113.2,1
-2.5,95.9,100.8,110.6,114.1,1
-5.0,95.9,100.8,110.2,107.4,0
-6.0,95.9,100.8,109.3,106.8,1
-3.0,95.9,100.8,103.9,105.0,1
