Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1365,1337,+3.0,99.8,109.5,105.7,114.5,1
1365,1360,+8.0,99.8,109.5,104.7,100.4,0
1365,1211,+19.5,99.8,109.5,119.8,95.0,0
1365,1362,+10.0,99.8,109.5,103.1,100.8,1
1365,1140,+8.5,99.8,109.5,109.0,98.0,0
1365,,+13.0,99.8,109.5,113.5,102.1,0
1365,1339,-7.5,99.8,109.5,99.6,108.5,1
1365,1258,+4.5,99.8,109.5,107.9,113.3,1
1365,1319,-11.5,99.8,109.5,93.9,109.5,1
1365,1358,-5.5,99.8,109.5,102.1,106.6,0
1365,NaN,-9.5,99.8,109.5,NaN,NaN,0
1365,1142,-9.5,99.8,109.5,98.7,113.3,0
1365,1305,+5.0,99.8,109.5,119.9,101.7,0
1365,1211,+23.5,99.8,109.5,119.8,95.0,0
1365,1337,-5.0,99.8,109.5,105.7,114.5,1
1365,1363,-8.0,99.8,109.5,95.9,107.9,0
1365,1434,+2.0,99.8,109.5,103.2,101.6,0
1365,1425,+15.5,99.8,109.5,115.4,100.1,0
1365,1340,-2.5,99.8,109.5,108.6,107.9,0
1365,,+17.5,99.8,109.5,113.5,102.1,0
1365,1258,-4.0,99.8,109.5,107.9,113.3,0
1365,1334,+8.5,99.8,109.5,107.2,106.9,1
1365,1339,+2.0,99.8,109.5,99.6,108.5,1
1365,1360,+5.0,99.8,109.5,104.7,100.4,1
1365,1140,+15.5,99.8,109.5,109.0,98.0,0
1365,1362,+3.5,99.8,109.5,103.1,100.8,0
1365,1334,+2.0,99.8,109.5,107.2,106.9,0
1365,1337,-2.0,99.8,109.5,105.7,114.5,0
