Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1375,1209,+4.5,98.7,105.5,103.9,101.5,0
1375,1204,-1.5,98.7,105.5,105.2,107.3,1
1375,1117,-8.5,98.7,105.5,106.3,103.3,0
1375,1114,-6.0,98.7,105.5,98.3,105.2,0
1375,1426,+4.5,98.7,105.5,110.6,100.8,0
1375,1402,-4.5,98.7,105.5,101.3,101.7,1
1375,1204,-7.0,98.7,105.5,105.2,107.3,0
1375,1209,-6.5,98.7,105.5,103.9,101.5,0
1375,1407,-1.5,98.7,105.5,109.7,107.6,1
1375,1111,-1.5,95.8,104.1,102.7,110.9,1
1375,1407,-6.5,95.8,104.1,98.3,109.0,1
1375,1419,-7.5,95.8,104.1,NaN,NaN,0
1375,1418,-17.5,95.8,104.1,NaN,NaN,0
1375,1426,+12.0,95.8,104.1,106.9,99.5,1
1375,1402,+1.0,95.8,104.1,99.5,103.9,0
1375,1209,-13.5,95.8,104.1,99.9,101.2,0
1375,1204,-4.0,95.8,104.1,105.0,109.3,1
1375,1117,-4.0,95.8,104.1,100.3,107.8,0
1375,1419,-6.5,101.0,112.2,NaN,NaN,0
1375,1418,+6.0,101.0,112.2,NaN,NaN,1
1375,1111,-4.0,101.0,112.2,98.3,107.9,0
1375,1379,-3.5,98.7,105.5,93.0,108.5,1
1375,1183,-4.0,98.7,105.5,100.1,105.0,0
1375,1464,-4.5,98.7,105.5,102.6,112.9,1
1375,1198,-8.0,98.7,105.5,102.9,112.5,1
1375,1424,-6.0,98.7,105.5,98.3,105.3,1
1375,1176,-6.5,95.8,104.1,102.9,105.9,0
1375,1237,-2.0,95.8,104.1,99.9,103.9,1
1375,1125,+10.5,95.8,104.1,114.0,110.5,0
1375,1261,-18.0,95.8,104.1,111.9,102.3,0
1375,1301,-15.5,95.8,104.1,114.1,103.7,0
1375,,-21.0,101.0,112.2,106.0,102.4,0
1375,1178,-11.0,101.0,112.2,103.3,104.6,0
1375,1379,-11.0,101.0,112.2,97.3,111.0,0
1375,1292,-8.0,101.1,108.1,105.3,97.0,0
1375,1223,-13.5,101.1,108.1,91.5,112.2,1
1375,1460,-2.0,101.1,108.1,100.4,97.1,1
1375,1379,+5.0,101.1,108.1,110.9,99.4,0
1375,1279,-13.0,98.7,105.5,111.1,100.9,0
1375,1359,-4.0,98.7,105.5,107.8,107.5,0
1375,1176,-7.0,98.7,105.5,107.7,109.2,0
1375,1292,+3.0,98.7,105.5,112.2,97.2,0
1375,1114,+8.0,95.8,104.1,NaN,NaN,0
1375,1349,-2.5,95.8,104.1,105.7,115.8,1
1375,1359,-5.5,95.8,104.1,103.0,108.2,1
1375,1379,-9.5,95.8,104.1,96.5,110.3,0
1375,1292,-11.5,95.8,104.1,104.6,99.9,0
1375,1117,+3.0,101.0,112.2,96.2,107.0,0
1375,1237,-1.0,101.0,112.2,94.0,103.4,0
1375,1350,-14.5,101.0,112.2,108.6,96.8,0
1375,1337,-10.5,101.0,112.2,100.5,96.4,0
1375,1292,+3.0,101.0,112.2,102.3,101.7,0
1375,1308,-11.0,101.1,108.1,112.9,102.4,0
1375,1116,-11.5,101.1,108.1,111.1,96.9,0
1375,1211,-17.0,101.1,108.1,114.0,93.8,0
1375,1349,-5.0,101.1,108.1,94.7,107.9,0
1375,1402,-4.5,98.7,105.5,101.3,101.7,0
1375,1426,-13.0,98.7,105.5,110.6,100.8,0
1375,1157,-2.5,98.7,105.5,101.8,105.4,0
1375,1111,-3.0,98.7,105.5,99.5,109.2,1
1375,1418,-7.0,98.7,105.5,NaN,NaN,0
1375,1407,-6.5,98.7,105.5,109.7,107.6,1
1375,1418,+10.5,95.8,104.1,NaN,NaN,1
1375,1419,+5.0,95.8,104.1,NaN,NaN,0
1375,1111,-5.5,95.8,104.1,102.7,110.9,1
1375,1407,-2.5,95.8,104.1,98.3,109.0,0
1375,1204,+1.0,95.8,104.1,105.0,109.3,1
1375,1209,+4.0,95.8,104.1,99.9,101.2,1
1375,1114,-15.5,95.8,104.1,NaN,NaN,0
1375,1117,-7.5,95.8,104.1,100.3,107.8,0
1375,1419,+2.5,101.0,112.2,NaN,NaN,0
1375,1204,-10.0,101.0,112.2,100.5,98.6,0
1375,1209,-16.0,101.0,112.2,111.6,101.3,0
1375,1426,+4.0,101.0,112.2,103.4,105.9,1
1375,1407,-4.5,101.0,112.2,99.8,109.5,1
1375,1209,+11.0,101.0,112.2,111.6,101.3,0
1375,1402,+2.0,101.0,112.2,93.7,98.9,0
1375,1419,-2.0,101.1,108.1,NaN,NaN,0
1375,1157,-2.5,98.7,105.5,101.8,105.4,0
1375,1117,+2.5,98.7,105.5,106.3,103.3,1
1375,1114,-1.5,98.7,105.5,98.3,105.2,0
1375,1418,-13.0,95.8,104.1,NaN,NaN,0
1375,1204,-4.0,95.8,104.1,105.0,109.3,1
1375,1402,-6.5,95.8,104.1,99.5,103.9,0
1375,1426,-14.5,95.8,104.1,106.9,99.5,0
1375,1419,-7.5,101.0,112.2,NaN,NaN,0
1375,1114,+5.5,101.0,112.2,NaN,NaN,1
1375,1407,-2.5,101.0,112.2,99.8,109.5,1
1375,1117,-5.0,101.0,112.2,96.2,107.0,1
1375,1426,-2.0,101.1,108.1,105.9,110.3,1
1375,1402,-3.0,101.1,108.1,94.9,104.3,1
1375,1418,-9.0,101.1,108.1,NaN,NaN,0
1375,1408,-5.5,99.1,101.4,107.2,105.3,0
1375,1443,+2.0,99.1,101.4,101.8,102.2,0
1375,1407,-1.5,99.1,101.4,99.1,109.4,1
1375,1176,-9.5,101.1,104.6,110.9,100.5,0
1375,1407,-3.5,101.1,104.6,105.1,114.2,1
1375,1114,+2.0,99.8,112.2,NaN,NaN,0
1375,1407,-4.5,96.2,104.7,105.1,105.8,0
1375,1194,-3.5,96.2,104.7,103.8,107.2,1
1375,1443,-5.0,102.8,104.1,111.1,103.0,0
1375,1114,-2.0,102.8,104.1,NaN,NaN,1
1375,1407,-1.0,102.8,104.1,108.8,110.2,1
1375,1309,-11.5,102.8,104.1,91.8,103.1,1
1375,1139,-4.0,112.6,100.8,116.2,96.2,0
