Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1369,1240,+9.5,NaN,NaN,102.1,100.3,0
1369,1399,+4.0,NaN,NaN,98.8,103.9,0
1369,1183,+3.5,NaN,NaN,99.3,107.5,1
1369,1188,-1.5,NaN,NaN,99.7,113.4,1
1369,1184,-4.0,NaN,NaN,101.9,113.0,0
1369,1287,-4.5,NaN,NaN,99.3,109.4,1
1369,1122,+6.0,NaN,NaN,105.2,107.5,0
1369,1293,+14.5,NaN,NaN,113.1,100.4,0
1369,1286,+6.5,NaN,NaN,102.4,111.6,0
1369,,+1.0,NaN,NaN,113.5,102.1,1
1369,1191,+10.5,NaN,NaN,99.5,96.9,0
1369,1256,+17.5,NaN,NaN,106.9,105.7,0
1369,1398,+1.5,NaN,NaN,97.8,101.2,1
1369,1125,+8.0,NaN,NaN,113.0,104.0,0
1369,1387,+7.5,NaN,NaN,102.4,100.3,0
1369,1133,+4.0,NaN,NaN,104.5,100.8,0
1369,1243,+19.5,NaN,NaN,112.2,97.4,0
1369,1356,+9.5,NaN,NaN,106.3,103.7,1
1369,1404,-5.5,NaN,NaN,NaN,NaN,0
1369,1184,+1.5,NaN,NaN,101.9,113.0,0
1369,1188,-7.5,NaN,NaN,99.7,113.4,1
1369,1183,-3.5,NaN,NaN,99.3,107.5,1
1369,1404,+1.5,NaN,NaN,NaN,NaN,1
1369,1287,+2.5,NaN,NaN,99.3,109.4,1
1369,1122,+1.5,NaN,NaN,105.2,107.5,0
1369,1293,+11.0,NaN,NaN,113.1,100.4,0
