Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-18.0,95.0,109.2,110.8,102.7,0
-8.5,95.0,109.2,100.1,105.0,0
+7.5,95.0,109.2,100.3,99.7,0
-9.0,95.0,109.2,NaN,NaN,0
-6.5,95.0,109.2,NaN,NaN,0
+7.5,95.0,109.2,107.2,109.8,0
-2.0,95.0,109.2,106.2,117.3,0
-10.5,95.0,109.2,106.7,109.8,0
-6.0,95.0,109.2,98.4,107.9,0
-1.0,95.2,109.6,100.5,109.8,0
-8.0,95.2,109.6,NaN,NaN,0
-10.0,95.2,109.6,106.3,106.4,0
-6.5,95.2,109.6,104.5,109.6,0
+2.5,95.2,109.6,107.4,111.0,1
+6.5,95.2,109.6,106.6,102.8,0
-7.5,95.2,109.6,101.5,101.6,0
+11.0,95.2,109.6,114.0,110.5,0
-7.5,95.2,109.6,108.5,111.6,0
-3.5,97.9,104.8,100.3,105.2,0
-6.0,97.9,104.8,NaN,NaN,1
+10.5,97.9,104.8,116.5,104.5,0
-5.0,97.9,104.8,94.8,109.0,1
+6.5,95.0,109.2,107.0,109.8,1
-7.5,95.0,109.2,106.3,103.3,0
+3.0,95.0,109.2,104.8,103.7,0
-3.5,95.0,109.2,101.3,101.7,0
+5.0,95.0,109.2,98.6,107.9,1
+4.5,95.2,109.6,108.3,104.6,0
-28.0,95.2,109.6,118.0,100.7,0
-11.0,95.2,109.6,NaN,NaN,0
+6.5,95.2,109.6,96.9,102.4,0
+4.5,95.2,109.6,100.3,107.8,1
-9.0,97.9,104.8,102.9,110.7,0
-13.5,97.9,104.8,109.0,105.8,0
+1.0,97.9,104.8,NaN,NaN,0
-18.5,100.6,112.5,112.5,106.7,0
-6.0,100.6,112.5,102.2,108.7,0
-8.5,100.6,112.5,102.3,111.7,0
-7.5,100.6,112.5,101.3,116.4,0
+19.5,100.6,112.5,105.7,90.0,0
-22.5,100.6,112.5,111.1,96.9,0
-24.5,95.0,109.2,120.8,104.2,0
-14.0,95.0,109.2,102.0,103.4,0
-4.5,95.0,109.2,95.4,105.0,0
-25.5,95.0,109.2,116.1,101.6,0
-3.0,95.2,109.6,98.3,110.9,0
-21.0,95.2,109.6,113.9,99.7,0
-1.0,95.2,109.6,102.1,110.4,1
-14.5,95.2,109.6,107.2,104.4,1
-21.0,95.2,109.6,111.1,100.1,0
-16.0,95.2,109.6,112.5,107.3,0
+1.0,97.9,104.8,103.1,106.9,1
-9.5,97.9,104.8,95.9,105.8,0
-8.5,97.9,104.8,114.9,106.6,0
+2.5,97.9,104.8,98.8,103.6,0
+6.0,95.0,109.2,100.1,105.0,1
-6.0,95.0,109.2,106.2,117.3,0
-14.0,95.0,109.2,107.2,109.8,0
+7.0,95.0,109.2,NaN,NaN,0
+4.5,95.0,109.2,NaN,NaN,0
+8.5,95.0,109.2,105.8,105.2,0
+2.0,95.2,109.6,104.5,109.6,0
-8.0,95.2,109.6,NaN,NaN,0
-2.0,95.2,109.6,NaN,NaN,1
-6.5,95.2,109.6,100.5,109.8,1
+6.5,95.2,109.6,106.3,106.4,0
+2.5,95.2,109.6,NaN,NaN,0
-1.0,97.9,104.8,94.8,109.0,0
-1.0,97.9,104.8,NaN,NaN,1
-1.0,97.9,104.8,NaN,NaN,1
-3.0,97.9,104.8,100.3,105.2,1
-13.5,97.9,104.8,116.5,104.5,0
-8.0,97.9,104.8,NaN,NaN,0
+9.0,100.6,112.5,113.9,106.8,0
-3.0,100.6,112.5,101.9,113.6,0
-5.5,100.6,112.5,99.6,111.2,1
-2.0,97.9,104.8,100.3,105.2,0
-5.0,100.6,112.5,100.2,108.5,0
-3.0,100.6,112.5,98.7,112.0,0
-7.5,92.9,106.6,100.0,110.2,0
