Team,Opponent,Spread,TeamOeff,TeamDeff,OppOeff2,OppDeff2,Result
1398,1183,-5.0,97.8,101.2,99.3,107.5,1
1398,1188,-8.0,97.8,101.2,99.7,113.4,1
1398,1293,+7.0,97.8,101.2,113.1,100.4,0
1398,1122,-1.0,97.8,101.2,105.2,107.5,1
1398,1188,-2.5,97.8,101.2,99.7,113.4,0
1398,1183,-2.0,97.8,101.2,99.3,107.5,1
1398,1399,-3.0,97.8,101.2,98.8,103.9,0
1398,1240,+5.5,97.8,101.2,102.1,100.3,1
1398,1145,-2.5,97.8,101.2,107.8,104.3,1
1398,1292,+7.0,97.8,101.2,110.4,96.6,0
1398,1242,-27.0,97.8,101.2,120.9,97.7,0
1398,1369,-1.5,97.8,101.2,NaN,NaN,0
1398,1404,-1.5,97.8,101.2,NaN,NaN,0
1398,1345,-27.0,97.8,101.2,123.2,96.6,0
1398,1400,-18.5,97.8,101.2,109.4,93.9,0
1398,1183,-3.0,97.8,101.2,99.3,107.5,0
1398,1125,-11.5,97.8,101.2,113.0,104.0,0
1398,1399,-1.0,97.8,101.2,98.8,103.9,0
1398,1184,-9.0,97.8,101.2,101.9,113.0,0
1398,1287,-9.0,97.8,101.2,99.3,109.4,1
1398,1240,-7.0,97.8,101.2,102.1,100.3,1
1398,1125,+9.0,97.8,101.2,113.0,104.0,1
1398,1184,-1.5,97.8,101.2,101.9,113.0,1
1398,1287,-1.0,97.8,101.2,99.3,109.4,1
