Spread,Oeff1,Deff1,Oeff2,Deff2,Result
-14.0,NaN,NaN,98.0,112.4,1
-3.5,NaN,NaN,NaN,NaN,1
+1.5,NaN,NaN,100.2,108.5,0
+2.5,NaN,NaN,NaN,NaN,1
-13.5,NaN,NaN,110.1,93.6,0
-25.0,NaN,NaN,113.8,99.9,0
+3.5,NaN,NaN,102.5,95.9,0
-2.0,NaN,NaN,107.9,110.9,1
+1.5,NaN,NaN,108.8,108.0,1
-1.5,NaN,NaN,108.5,109.0,1
+3.0,NaN,NaN,103.9,101.5,1
-1.5,NaN,NaN,101.3,101.8,0
+1.5,NaN,NaN,96.7,102.9,1
-8.5,NaN,NaN,NaN,NaN,0
-10.5,NaN,NaN,112.2,96.6,0
-3.5,NaN,NaN,102.6,107.2,1
+3.5,NaN,NaN,107.4,102.3,0
-6.5,NaN,NaN,101.6,103.6,1
-7.5,NaN,NaN,103.4,96.5,0
-6.0,NaN,NaN,96.9,110.2,1
-8.5,NaN,NaN,109.5,107.5,0
-7.0,NaN,NaN,108.8,114.1,1
+3.0,NaN,NaN,105.8,108.4,0
